JST,TempMax,TempMed,TempMin,rocio,roMed,roMin,MaxHum,MedHum,MinHum,MaxHpa,MedHpa,MinHpa,MaxVis,MedVis,MinVis,MaxVientoKm/h,MedVientoKm/h,MaxRafagasKm/h,Precipitacionmm,CloudCover,Eventos,vientoDir
01-01-2014,15,9,3,1,-1,-3,81,47,34,1008,1005,1001,10,10,10,40,19,58,0.00,1, ,231
02-01-2014,12,8,4,0,-3,-7,65,46,35,1017,1011,1006,10,10,10,29,16,,0.00,1, ,323
03-01-2014,8,7,5,-2,-4,-7,53,46,39,1018,1015,1010,10,10,10,21,13,,0.00,3, ,24
04-01-2014,11,7,3,0,-3,-6,65,51,37,1012,1009,1007,10,10,10,35,13,53,0.00,2, ,334
05-01-2014,7,6,5,-4,-6,-8,53,44,36,1018,1016,1012,10,10,10,37,27,53,0.00,5,Lluvia,16
06-01-2014,10,7,4,-5,-7,-11,49,40,22,1024,1021,1018,10,10,10,42,26,58,0.00,1, ,348
07-01-2014,10,7,3,3,-4,-9,66,51,36,1029,1025,1022,10,10,10,26,16, ,0.00,3, ,42
08-01-2014,14,8,3,10,2,-7,94,71,45,1021,1013,1004,10,8,2,29,11, ,0.00,5,Lluvia,353
09-01-2014,9,7,4,6,1,-10,93,68,36,1014,1007,1000,10,8,2,45,24,66,0.00,6,Lluvia,3
10-01-2014,6,3,1,-7,-11,-15,48,34,21,1023,1019,1014,10,10,10,45,34,64,0.00,3, ,345
11-01-2014,7,3,0,-2,-5,-9,65,51,39,1025,1023,1022,10,10,10,16,8, ,0.00,1, ,48
12-01-2014,10,6,1,0,-3,-6,65,53,43,1024,1018,1013,10,10,10,19,10, ,0.00,2, ,300
13-01-2014,8,6,3,-3,-7,-12,57,40,29,1023,1019,1014,10,10,10,37,21, ,0.00,3, ,346
14-01-2014,7,4,2,-5,-10,-12,46,36,27,1027,1025,1023,10,10,10,37,26,52,0.00,5, ,354
15-01-2014,5,4,3,-3,-6,-8,61,49,45,1027,1025,1023,10,10,10,27,21, ,0.00,5, ,7
16-01-2014,8,4,0,0,-6,-8,66,49,32,1024,1022,1020,10,10,10,23,14, ,0.00,2,Lluvia,354
17-01-2014,9,7,4,-1,-5,-10,65,45,29,1019,1018,1017,10,10,10,32,18, ,0.00,4,Lluvia,3
18-01-2014,7,6,4,1,-4,-8,70,50,39,1019,1015,1011,10,10,10,26,16, ,0.00,4, ,60
19-01-2014,7,4,2,0,-8,-13,81,43,23,1022,1017,1011,10,10,10,42,27,66,0.00,2,Lluvia,344
20-01-2014,8,4,2,3,-6,-14,71,47,26,1023,1018,1010,10,10,10,21,11, ,0.00,2, ,20
21-01-2014,10,6,2,2,-3,-6,87,54,40,1014,1010,1008,10,10,10,32,13, ,0.00,4,Lluvia,22
22-01-2014,8,4,2,2,-3,-10,93,60,31,1019,1016,1014,10,9,5,26,18, ,0.00,4,Lluvia-Nieve,17
23-01-2014,10,6,2,0,-7,-11,61,39,24,1025,1021,1019,10,10,10,29,14, ,0.00,1, ,315
24-01-2014,13,7,2,1,-2,-7,61,50,36,1025,1021,1018,10,10,10,34,11,48,0.00,3, ,293
25-01-2014,13,8,3,5,1,-3,76,64,54,1019,1016,1010,10,7,5,52,8,71,0.00,3, ,18
26-01-2014,15,9,4,10,1,-10,88,56,34,1017,1009,1005,10,10,9,52,35,76,0.00,4,Lluvia,292
27-01-2014,7,3,1,1,-8,-13,66,41,29,1024,1022,1017,10,10,10,47,29,55,0.00,3, ,34
28-01-2014,15,8,2,1,-4,-8,61,41,22,1022,1016,1012,10,10,10,45,18,61,0.00,2, ,242
29-01-2014,11,8,5,6,-2,-9,76,48,32,1023,1021,1016,10,10,10,35,23,53,0.00,2, ,3
30-01-2014,17,11,5,11,6,-1,88,69,52,1022,1015,1004,10,10,7,47,19,66,0.00,3,Lluvia,221
31-01-2014,14,10,6,9,0,-8,77,49,30,1022,1013,1004,10,10,10,35,19, ,0.00,1, ,343
01-02-2014,10,7,4,5,-2,-7,81,55,37,1023,1021,1018,10,10,10,23,11, ,0.00,1, ,46
02-02-2014,12,9,6,10,6,0,94,80,61,1018,1010,1005,10,7,2,16,8, ,0.00,5,Niebla-Lluvia,331
03-02-2014,18,13,9,13,9,6,100,86,64,1006,1003,998,10,4,0,34,11,50,0.00,5,Niebla,276
04-02-2014,13,7,1,9,2,-10,93,80,44,1011,1005,999,10,7,1,45,29,58,0.00,5,Lluvia-Nieve,25
05-02-2014,4,2,0,-9,-12,-14,48,38,26,1021,1016,1011,10,10,10,42,34,64,0.00,2, ,337
06-02-2014,6,3,0,-8,-11,-13,48,38,33,1023,1021,1019,10,10,10,34,24,52,0.00,5, ,348
07-02-2014,6,3,2,-4,-8,-11,53,43,29,1022,1020,1018,10,10,10,29,24, ,0.00,4, ,27
08-02-2014,4,2,0,1,-1,-4,100,90,56,1019,1011,1002,10,2,0,55,32,82,0.00,6,Nieve,354
09-02-2014,9,4,1,1,-2,-4,93,63,43,1012,1006,1002,10,9,4,58,39,80,0.00,4,Lluvia-Nieve,351
10-02-2014,9,7,4,-1,-6,-8,57,44,32,1018,1016,1012,10,10,10,32,21,50,0.00,5, ,2
11-02-2014,5,3,2,-1,-4,-8,75,58,42,1020,1019,1017,10,10,10,37,26, ,0.00,6,Lluvia-Nieve,17
12-02-2014,7,4,3,0,-3,-7,61,55,48,1021,1020,1018,10,10,10,39,32,50,0.00,5, ,17
13-02-2014,7,4,3,-3,-4,-6,65,52,42,1026,1023,1020,10,10,10,21,14, ,0.00,6, ,54
14-02-2014,6,3,0,1,-1,-6,100,88,42,1028,1024,1017,10,3,0,39,27,55,0.00,6,Lluvia-Nieve,352
15-02-2014,7,3,0,3,1,-3,100,84,49,1017,1004,998,10,7,0,53,37,74,0.00,6,Lluvia-Nieve,325
16-02-2014,11,8,5,-2,-6,-10,57,40,26,1021,1013,1002,10,10,10,64,29,77,0.00,2, ,316
17-02-2014,13,8,4,-1,-6,-9,46,38,27,1021,1019,1016,10,10,10,47,27,63,0.00,1, ,316
18-02-2014,8,6,3,-6,-8,-11,49,39,27,1018,1017,1015,10,10,10,39,31,58,0.00,4, ,341
19-02-2014,9,6,2,-6,-8,-10,52,40,27,1020,1018,1017,10,10,10,37,27,53,0.00,5, ,345
20-02-2014,7,4,2,-1,-6,-9,61,47,34,1023,1021,1019,10,10,10,32,18, ,0.00,4, ,23
21-02-2014,9,6,3,-3,-8,-10,57,39,27,1024,1021,1019,10,10,10,35,23, ,0.00,2, ,349
22-02-2014,9,6,2,-4,-8,-10,48,40,27,1027,1025,1024,10,10,10,27,19, ,0.00,3, ,8
23-02-2014,8,6,4,1,-4,-8,66,50,39,1029,1027,1025,10,10,10,23,18, ,0.00,5,Lluvia,9
24-02-2014,8,7,5,2,-2,-6,70,57,42,1028,1026,1024,10,10,10,23,16, ,0.00,5,Lluvia,28
25-02-2014,12,8,4,1,-2,-5,70,53,37,1025,1024,1021,10,10,10,26,13, ,0.00,2, ,26
26-02-2014,13,9,6,5,0,-6,81,56,40,1030,1028,1026,10,9,8,23,11, ,0.00,1, ,100
27-02-2014,14,11,8,12,7,2,94,82,66,1028,1022,1015,10,6,3,35,11,53,0.00,6,Lluvia,159
28-02-2014,17,13,10,13,8,2,94,75,37,1019,1015,1011,10,8,4,47,24,64,0.00,5,Lluvia,25
01-03-2014,11,9,7,7,6,5,93,82,71,1019,1017,1015,10,8,5,24,18, ,0.00,6,Lluvia,33
02-03-2014,7,6,5,5,4,3,93,89,81,1015,1014,1012,10,7,4,34,23, ,0.00,6,Lluvia,9
03-03-2014,10,8,5,4,-1,-9,93,63,32,1027,1021,1015,10,10,9,34,23, ,0.00,5,Lluvia,4
04-03-2014,9,6,3,3,-3,-8,71,53,39,1030,1027,1023,10,10,10,27,19, ,0.00,4,Lluvia,57
05-03-2014,10,8,5,6,4,-1,93,86,50,1023,1010,1000,10,5,2,42,18,60,0.00,5,Lluvia,353
06-03-2014,9,7,4,-2,-8,-12,50,36,27,1018,1012,1003,10,10,10,55,42,84,0.00,2, ,343
07-03-2014,8,4,2,-2,-8,-15,65,41,21,1021,1019,1017,10,10,10,37,27,58,0.00,4, ,347
08-03-2014,9,4,1,-1,-7,-9,53,42,30,1019,1017,1015,10,10,10,32,14, ,0.00,2, ,325
09-03-2014,9,7,4,2,-4,-9,81,51,36,1017,1012,1006,10,10,10,32,19, ,0.00,3, ,57
10-03-2014,8,6,2,3,-8,-14,81,40,20,1019,1011,1006,10,10,10,45,27,63,0.00,3, ,332
11-03-2014,10,6,1,1,-9,-17,70,37,15,1025,1022,1020,10,10,10,39,21,48,0.00,1, ,248
12-03-2014,16,10,4,4,-1,-5,61,47,27,1021,1018,1015,10,10,10,32,13, ,0.00,1, ,222
13-03-2014,18,13,8,16,10,2,100,86,58,1016,1004,991,10,6,1,60,21,82,0.00,5,Lluvia,188
14-03-2014,13,10,7,10,1,-8,88,56,32,1011,1003,993,10,10,9,37,21,52,0.00,5,Lluvia,10
15-03-2014,11,8,5,3,-4,-8,71,44,26,1020,1016,1012,10,10,10,39,29,55,0.00,3, ,354
16-03-2014,18,11,4,4,1,-1,81,52,32,1020,1016,1012,10,10,10,42,18,61,0.00,1, ,276
17-03-2014,16,11,7,8,2,-3,87,55,42,1025,1023,1021,10,10,10,29,13, ,0.00,1, ,118
18-03-2014,20,14,8,12,9,4,82,66,46,1021,1011,1004,10,9,4,52,21,72,0.00,3,Lluvia,228
19-03-2014,13,11,10,5,1,-3,71,52,40,1020,1015,1008,10,10,10,42,31,55,0.00,4, ,56
20-03-2014,10,8,7,8,6,4,93,86,66,1018,1006,992,10,7,4,29,18, ,0.00,6,Lluvia,345
21-03-2014,14,10,7,5,-3,-10,76,41,21,1010,1000,992,10,10,10,55,24,69,0.00,3,Lluvia,330
22-03-2014,13,9,5,3,-4,-9,62,39,26,1020,1017,1011,10,10,10,34,24, ,0.00,2, ,307
23-03-2014,16,11,7,4,-3,-7,62,38,20,1022,1021,1020,10,10,10,34,23,52,0.00,1, ,303
24-03-2014,18,13,8,7,1,-7,66,45,19,1025,1022,1019,10,10,10,34,14,50,0.00,1, ,192
25-03-2014,22,16,11,9,5,0,67,50,23,1019,1015,1011,10,10,10,34,19, ,0.00,1, ,199
26-03-2014,19,16,12,14,9,3,88,68,43,1015,1011,1007,10,10,10,37,13,58,0.00,6,Lluvia,200
27-03-2014,16,13,10,13,9,5,94,82,62,1017,1009,1005,10,7,3,35,18, ,0.00,6,Lluvia,20
28-03-2014,20,14,8,9,6,-2,87,62,24,1021,1019,1017,10,9,8,34,13, ,0.00,1, ,203
29-03-2014,21,17,14,11,8,5,72,54,38,1018,1014,1010,10,10,10,40,26,55,0.00,2, ,203
30-03-2014,19,17,14,17,13,4,94,82,45,1009,995,984,10,8,2,61,35,84,0.00,6,Lluvia-Tormenta,205
31-03-2014,20,16,12,4,-1,-6,54,35,20,1011,1004,992,10,10,10,53,32,69,0.00,1, ,326
01-04-2014,16,13,11,5,1,-3,62,43,29,1020,1017,1012,10,10,10,27,19, ,0.00,2, ,79
02-04-2014,18,14,10,12,7,3,82,62,45,1023,1021,1020,10,10,10,23,10, ,0.00,4,Lluvia,40
03-04-2014,15,14,13,14,12,10,100,92,82,1020,1013,1005,10,5,1,19,10, ,0.00,6,Lluvia,328
04-04-2014,21,16,11,13,9,-2,100,71,41,1004,995,988,10,7,3,55,21,77,0.00,4,Lluvia,299
05-04-2014,14,11,8,7,-1,-5,67,43,30,1010,1007,1000,10,10,10,40,31,64,0.00,4,Lluvia,343
06-04-2014,11,9,7,6,2,-6,93,65,35,1013,1008,1005,10,9,5,37,18,55,0.00,5,Lluvia-Tormenta,346
07-04-2014,15,10,5,6,-1,-7,67,47,30,1015,1013,1011,10,10,10,32,21,48,0.00,1, ,217
08-04-2014,21,14,8,11,6,1,88,59,28,1015,1012,1010,10,10,10,21,10, ,0.00,1, ,164
09-04-2014,18,14,12,12,8,1,82,67,44,1018,1015,1013,10,10,10,23,14, ,0.00,3, ,51
10-04-2014,22,16,10,13,6,-4,82,54,33,1013,1009,1003,10,10,8,58,19,77,0.00,2,Lluvia,346
11-04-2014,17,12,8,3,-4,-10,48,33,16,1018,1016,1012,10,10,10,55,32,85,0.00,1, ,328
12-04-2014,18,13,9,3,-4,-8,42,30,21,1019,1017,1015,10,10,10,27,16, ,0.00,1, ,331
13-04-2014,17,13,11,7,1,-6,67,42,23,1019,1017,1016,10,10,10,29,11, ,0.00,1, ,94
14-04-2014,16,13,12,9,6,4,72,60,51,1017,1016,1015,10,10,10,26,13, ,0.00,4,Lluvia,52
15-04-2014,20,15,10,9,7,5,72,56,40,1017,1013,1009,10,10,10,39,16,55,0.00,1, ,209
16-04-2014,23,18,13,13,8,3,82,57,27,1014,1011,1009,9,8,7,35,11,29,0.00, , ,172
17-04-2014,20,17,13,15,10,4,88,67,48,1015,1012,1011,10,8,5,26,14, ,0.00,1, ,73
18-04-2014,17,13,9,15,9,7,94,83,67,1015,1013,1011,10,9,5,34,18, ,0.00,6,Lluvia,33
19-04-2014,16,12,9,7,6,3,87,68,45,1023,1017,1013,10,10,10,37,24, ,0.00,5,Lluvia,47
20-04-2014,13,10,7,8,5,3,77,68,54,1024,1023,1021,10,10,10,32,19, ,0.00,6,Lluvia,70
21-04-2014,17,13,10,14,12,9,100,91,72,1021,1016,1009,10,5,1,27,11,48,0.00,6,Lluvia,119
22-04-2014,17,14,13,13,12,11,100,86,68,1013,1010,1007,10,9,3,27,19, ,0.00,5,Lluvia,52
23-04-2014,19,16,12,12,7,0,88,61,28,1018,1015,1013,10,10,7,29,14, ,0.00,3,Lluvia,161
24-04-2014,19,16,13,10,8,4,77,62,37,1025,1022,1019,10,10,10,29,14, ,0.00,1, ,122
25-04-2014,22,17,13,12,9,0,82,60,23,1025,1024,1023,10,9,7,32,16, ,0.00,1, ,205
26-04-2014,22,18,14,13,10,6,77,63,38,1028,1026,1024,10,9,6,32,14, ,0.00,1, ,194
27-04-2014,21,17,14,11,10,6,82,62,46,1027,1024,1021,10,10,10,39,21,55,0.00,1, ,191
28-04-2014,22,18,15,12,9,7,68,58,43,1021,1019,1016,10,10,10,42,26,48,0.00,3, ,202
