EST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees
2013-1-1,0,-8,-16,-4,-14,-19,86,73,60,1016,1014,1008,16,16,14,26,14,42,0.00,7,Nieve,351
2013-1-2,-5,-13,-21,-8,-16,-25,83,74,55,1026,1018,1013,16,16,13,27,11,34,0.00,5,Nieve,307
2013-1-3,-2,-13,-23,-3,-8,-26,100,91,71,1025,1016,1013,16,6,1,24,13,27,0.00,7,Nieve,213
2013-1-4,0,-1,-2,-3,-4,-6,87,76,69,1013,1011,1008,16,14,3,37,24,63,0.25,8,Lluvia-Nieve,261
2013-1-5,1,-2,-4,-2,-6,-10,87,72,50,1025,1019,1012,16,15,6,32,21,48,0.51,6,Lluvia-Nieve,262
2013-1-6,1,-2,-4,1,-1,-6,100,94,74,1018,1014,1011,16,8,2,23,16,34,8.64,8,Lluvia-Nieve,227
2013-1-7,-4,-8,-11,-5,-9,-12,100,88,80,1030,1026,1018,16,16,16,27,11,29,0.00,7,,334
2013-1-8,1,-2,-5,-1,-4,-8,90,77,61,1028,1025,1022,16,16,16,21,16,32,2.03,5,,193
2013-1-9,6,0,-6,1,-2,-8,87,78,63,1026,1019,1013,16,16,11,35,23,50,0.00,5,Lluvia,213
2013-1-10,3,-1,-5,-2,-5,-7,88,73,56,1035,1032,1024,16,16,16,23,14,35,0.25,0,,249
2013-1-11,3,-1,-6,2,-1,-7,100,85,60,1033,1019,1015,16,16,11,32,23,40,1.27,6,Lluvia,148
2013-1-12,7,4,2,4,3,2,100,96,81,1017,1016,1015,16,16,14,26,23,,0.00,4,,144
2013-1-13,13,8,4,12,8,4,100,97,82,1017,1012,1008,16,16,13,35,21,42,1.27,7,Lluvia,157
2013-1-14,12,6,-2,11,3,-6,100,88,52,1028,1017,1007,16,16,11,50,23,77,1.78,8,Lluvia,255
2013-1-15,-1,-2,-4,-5,-6,-7,86,72,61,1029,1027,1023,16,16,16,14,5,,0.00,7,,236
2013-1-16,1,-1,-3,-2,-3,-6,87,81,75,1022,1012,1008,16,16,11,26,13,39,0.00,7,Lluvia-Nieve,190
2013-1-17,1,-7,-15,0,-6,-20,100,83,48,1023,1013,1009,16,11,4,32,19,42,0.25,8,Lluvia-Nieve,281
2013-1-18,-4,-11,-17,-11,-14,-20,83,66,41,1030,1026,1019,16,16,16,27,11,37,0.00,5,Nieve,203
2013-1-19,8,2,-5,-1,-6,-11,68,54,40,1018,1012,1002,16,16,16,34,23,55,0.00,5,Lluvia,203
2013-1-20,8,-2,-12,2,-3,-17,100,84,41,1018,1000,994,16,10,1,52,31,80,1.02,7,Lluvia-Nieve,250
2013-1-21,-9,-12,-14,-12,-14,-21,92,81,53,1018,1013,1011,16,12,2,19,8,,0.00,8,Nieve,38
2013-1-22,-12,-15,-18,-15,-18,-27,92,77,40,1022,1013,1010,16,14,3,24,5,37,0.00,4,Nieve,257
2013-1-23,-18,-22,-26,-24,-26,-29,79,64,44,1025,1023,1022,16,16,16,14,6,,0.00,0,,30
2013-1-24,-14,-19,-24,-21,-24,-27,82,66,50,1032,1027,1022,16,16,16,16,10,29,0.00,2,,303
2013-1-25,-12,-17,-22,-15,-20,-24,85,71,51,1033,1026,1021,16,14,10,13,5,,0.00,3,Nieve,116
2013-1-26,-9,-14,-19,-12,-17,-21,92,78,53,1029,1025,1021,11,11,5,11,5,,0.00,3,Nieve,269
2013-1-27,-8,-14,-20,-13,-17,-22,92,68,40,1036,1033,1030,16,13,11,13,5,,0.00,3,,118
