Yahoo,Facebook,Apple,Microsoft,Adobe,IBM,Amazon,Oracle,avg,dif,avg /6,rot pi/360,
33.849998,108,115.650002,53.189999,90.839996,133.039993,665.599976,38.630001,154.8499956,,25.8083326,0.225106012,0.450212024
34.23,107.110001,115.209999,53.459999,91.209999,135.020004,673.25,39.040001,156.0662504,-1.21625475,26.01104173,,
34.130001,105.239998,116.059998,53.27,90.279999,135.470001,659.679993,39.919998,154.2562485,1.810001875,25.70937475,,
34.080002,105.860001,120.050003,53.560001,89.800003,135.309998,655.48999,40.099998,154.2812495,-0.025001,25.71354158,,
35.200001,105.910004,120.620003,53.959999,90.690002,138.25,659.369995,40.619999,155.5775004,-1.296250875,25.9295834,,
35.299999,107.949997,120.18,54,90.550003,139.889999,655.650024,40.349998,155.4837525,0.093747875,25.91395875,,
35.240002,102.480003,121.620003,54.060001,91.010002,141.630005,640.950012,40.48,153.4337535,2.049999,25.57229225,,
35.34,102.400002,120.699997,52.900002,90.360001,141.880005,625.309998,40.200001,151.1362508,2.29750275,25.18937513,,
35.48,101.18,119.610001,52.619999,89.910004,140.369995,628.349976,39.75,150.9087469,0.227503875,25.15145781,,
35.700001,101.650002,119.449997,52.619999,88.660004,140.080002,625.900024,38.84,150.3625036,0.54624325,25.06041727,,
35.150002,103.519997,118.269997,53.220001,88.120003,140.550003,626.549988,38.860001,150.529999,-0.167495375,25.08833317,,
35.27,102.919998,116.059998,52.860001,88.5,140.830002,617.099976,38.880001,149.052497,1.477502,24.84208283,,
35.470001,102.400002,113.989998,53.580002,88.050003,137.860001,611.01001,38.34,147.5875021,1.464994875,24.59791702,,
33.490002,101.550003,114.919998,52.5,88.839996,143.660004,608.609985,38.369999,147.7424984,-0.15499625,24.62374973,,
33.360001,100.160004,116.330002,52.25,87.860001,144.679993,599.030029,38.07,146.4675038,1.274994625,24.41125063,,
31.9,97.550003,114.099998,47.09,88.459999,144.089996,563.909973,37.790001,140.6112463,5.8562575,23.43520771,,
32.43,96.470001,113.699997,47.110001,86.129997,140.919998,555.77002,36.619999,138.6437516,1.967494625,23.10729194,,
33.59,96.559998,110.82,47.02,86.839996,140.639999,560.880005,36.860001,139.1512499,-0.50749825,23.19187498,,
33.630001,96.919998,110.110001,47.02,88.400002,149.220001,573.150024,36.869999,141.9150033,-2.763753375,23.65250054,,
33.860001,95.349998,110.529999,46.900002,88.669998,150.389999,570.76001,37.369999,141.7287508,0.1862525,23.62145846,,
33.490002,94.900002,110.489998,46.529999,86.769997,150.089996,562.440002,37.549999,140.2824994,1.446251375,23.38041656,,
32.490002,93.610001,109.559998,46.529999,83.800003,150.009995,544.830017,37.259998,137.2612516,3.02124775,22.87687527,,
32.830002,93.550003,110.68,46.560001,83.650002,149.619995,548.900024,37.82,137.9512534,-0.69000175,22.99187556,,
33.02,92.669998,111.440002,46.5,83.919998,151.139999,550.190002,38.040001,138.365,-0.413746625,23.06083333,,
32.689999,92.239998,109.489998,46.919998,83.82,152.389999,539.799988,38.099998,136.9312473,1.43375275,22.82187454,,
32.5,90.470001,108.209999,46.5,82.260002,152.279999,533.159973,37.889999,135.4087466,1.522500625,22.56812444,,
31.99,91.370003,109.410004,45.950001,80.650002,150.089996,541.940002,37.66,136.132501,-0.723754375,22.68875017,,
31.190001,92.339996,109.769997,46.220001,85.150002,148.779999,537.47998,37.73,136.082497,0.050004,22.68041617,,
31.200001,92.660004,109.07,45.700001,85.839996,149.039993,543.679993,37.59,136.8474985,-0.7650015,22.80791642,,
30.709999,88.370003,107.550003,43.919998,83.989998,144.580002,532.539978,36.889999,133.5687475,3.278751,22.26145792,,
29,88.360001,107.309998,43.75,83.75,143.589996,520.719971,36.240002,131.589996,1.9787515,21.931666,,
29.110001,88.010002,108.730003,43.66,82.220001,144.970001,511.890015,36.119999,130.5887528,1.00124325,21.76479213,,
