KST,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad,Mean Humedad,Min Humedad,Max Presi—n al nivel del marhPa,Mean Presi—n al nivel del marhPa,Min Presi—n al nivel del marhPa,Max VisibilidadKm,Mean VisibilidadKm,Min VisibilidadkM,Max Velocidad del vientoKm/h,Mean Velocidad del vientoKm/h,Max Velocidad de r‡fagasKm/h,Precipitaci—nmm,CloudCover,Eventos,WindDirDegrees<br>
22/06/2014,28,24,20,17,17,15,83,65,48,1008,1007,1005,10,8,5,19,6,,0.00,5,,355<br>
23/06/2014,24,22,20,19,17,15,83,75,64,1007,1006,1004,10,6,1,23,10,,0.00,6,Lluvia-Tormenta,192<br>
24/06/2014,26,23,20,17,16,14,83,67,50,1007,1006,1005,10,8,4,21,6,,0.00,4,Lluvia,263<br>
25/06/2014,27,23,19,18,17,15,88,69,48,1009,1008,1007,10,5,2,19,6,,0.00,5,,307<br>
26/06/2014,28,24,20,18,17,13,88,65,42,1009,1007,1006,10,6,3,21,6,,0.00,4,,301<br>
27/06/2014,28,24,20,18,17,15,88,69,48,1007,1005,1003,10,7,3,21,8,,0.00,4,,305<br>
28/06/2014,27,23,21,18,17,12,83,67,39,1004,1003,1001,10,9,6,23,10,,0.00,5,,259<br>
29/06/2014,29,24,20,18,16,14,83,65,40,1007,1005,1003,10,9,5,19,6,,0.00,3,,240<br>
30/06/2014,28,23,19,19,17,15,88,67,45,1010,1008,1007,10,6,4,21,6,,0.00,5,,277<br>
1/07/2014,30,25,20,20,18,15,88,66,48,1011,1010,1008,9,5,2,14,6,,0.00,3,,309<br>
2/07/2014,31,26,22,20,19,17,88,70,48,1009,1007,1005,6,3,1,16,8,,0.00,6,Lluvia,237<br>
3/07/2014,24,22,21,20,18,17,88,79,69,1004,1002,1000,10,7,3,21,11,,0.00,8,Lluvia-Tormenta,38<br>
4/07/2014,31,26,22,19,17,14,78,59,35,1009,1006,1003,10,10,10,16,10,,0.00,4,,360<br>
5/07/2014,28,24,20,19,18,17,88,69,54,1011,1010,1009,9,7,5,16,6,,0.00,,,289<br>
6/07/2014,30,26,22,20,16,12,83,60,33,1009,1006,1004,10,8,6,23,8,,0.00,5,,202<br>
7/07/2014,32,26,20,19,17,15,83,62,38,1007,1005,1004,10,9,6,19,6,,0.00,2,,325<br>
8/07/2014,28,24,22,21,19,17,83,71,58,1008,1007,1005,10,7,3,16,6,,0.00,6,Lluvia,259<br>
9/07/2014,32,28,24,23,22,19,89,76,55,1007,1002,998,10,7,1,35,6,69,0.00,7,Lluvia-Tormenta,26<br>
10/07/2014,33,28,24,22,19,12,89,62,28,998,996,994,10,10,9,24,10,,0.00,6,,319<br>
11/07/2014,31,26,21,20,18,13,88,63,33,1003,1000,998,6,4,2,24,8,,0.00,4,,242<br>
12/07/2014,28,24,22,20,19,17,83,71,54,1004,1003,1002,5,4,2,16,10,,0.00,5,,245<br>
13/07/2014,28,24,22,21,19,16,88,73,54,1005,1003,1002,8,5,2,21,8,37,0.00,6,,269<br>
14/07/2014,30,26,21,20,19,16,88,69,48,1010,1007,1005,7,4,2,14,8,,0.00,3,,240<br>
15/07/2014,31,27,23,21,19,16,83,66,40,1011,1010,1007,5,3,1,23,6,,0.00,4,,258<br>
16/07/2014,30,26,22,20,18,15,88,66,40,1012,1010,1008,10,6,2,16,8,,0.00,3,,264<br>
17/07/2014,28,24,22,21,19,18,83,71,58,1012,1011,1010,10,8,6,19,10,,0.00,6,,213<br>
18/07/2014,30,26,21,21,20,19,88,74,51,1013,1011,1010,10,10,6,16,10,,0.00,6,Lluvia-Tormenta,198<br>
19/07/2014,30,27,24,23,21,21,89,75,58,1013,1012,1011,6,4,3,16,6,,0.00,5,,312<br>
20/07/2014,30,27,23,22,21,21,89,74,58,1013,1011,1009,5,4,2,21,6,,0.00,6,,303<br>
21/07/2014,30,26,22,21,20,19,88,70,51,1010,1009,1007,10,6,3,16,5,,0.00,5,,277<br>
22/07/2014,28,27,25,22,21,20,83,76,65,1008,1006,1005,10,9,3,26,14,37,0.00,7,Lluvia,211<br>
23/07/2014,26,23,21,23,21,16,94,82,61,1007,1005,1003,10,5,1,26,16,,0.00,8,Lluvia,206<br>
24/07/2014,25,22,19,20,18,17,88,82,65,1008,1007,1006,10,7,1,19,8,,0.00,8,Lluvia-Tormenta,99<br>
25/07/2014,34,28,22,24,22,20,94,77,49,1008,1004,999,10,8,2,32,11,60,0.00,7,Lluvia-Tormenta,148<br>
26/07/2014,27,23,21,22,18,16,88,75,61,1010,1006,1000,10,7,3,50,34,82,0.00,6,Lluvia,224<br>
27/07/2014,30,25,20,19,18,15,88,69,40,1012,1011,1008,7,4,2,13,8,,0.00,3,,207<br>
28/07/2014,30,25,20,21,19,17,94,71,45,1010,1009,1007,5,3,2,14,5,,0.00,6,,318<br>
29/07/2014,29,26,23,21,18,14,83,63,45,1010,1009,1008,10,7,2,23,8,,0.00,5,,195<br>
30/07/2014,33,28,24,22,21,19,83,68,46,1011,1010,1009,10,8,4,16,8,,0.00,5,,211<br>
31/07/2014,33,28,24,23,22,21,83,68,52,1011,1010,1008,10,9,6,19,6,,0.00,5,Lluvia,320<br>
1/08/2014,35,29,24,21,20,16,83,57,34,1009,1007,1005,10,9,6,16,6,,0.00,4,,70<br>
2/08/2014,35,31,28,20,19,16,58,47,38,1005,1002,999,10,10,10,29,14,40,0.00,6,,92<br>
3/08/2014,31,28,25,23,21,17,89,72,45,1000,997,995,10,8,5,34,19,,0.00,8,Lluvia,87<br>
4/08/2014,29,27,24,24,23,21,94,83,70,1001,999,997,10,7,3,11,6,,0.00,7,Lluvia,148<br>
5/08/2014,29,27,24,23,22,21,89,76,62,1005,1003,1001,10,5,2,14,10,,0.00,5,,226<br>
6/08/2014,25,23,22,22,21,19,88,82,74,1007,1006,1005,9,6,2,14,8,,0.00,8,Lluvia,275<br>
7/08/2014,28,24,22,21,21,19,88,80,66,1008,1007,1005,5,4,3,11,5,,0.00,6,Lluvia,288<br>
8/08/2014,30,26,21,20,17,13,94,62,40,1009,1008,1007,10,6,1,24,10,,0.00,2,,69<br>
9/08/2014,31,26,21,14,12,10,64,44,29,1008,1006,1004,10,10,10,26,13,35,0.00,1,,61<br>
10/08/2014,26,23,19,19,17,12,88,72,47,1005,1001,997,10,8,1,45,16,66,0.00,7,Lluvia-Tormenta,355<br>
11/08/2014,27,22,17,19,17,15,88,71,51,1003,1002,1001,10,9,6,16,6,,0.00,4,,291<br>
12/08/2014,29,24,21,20,19,17,88,71,48,1007,1004,1003,8,5,2,16,6,,0.00,4,,275<br>
13/08/2014,27,24,22,21,19,16,88,76,61,1011,1008,1007,8,3,1,13,5,,0.00,7,Lluvia,249<br>
14/08/2014,24,22,21,18,17,15,83,71,57,1011,1009,1008,10,8,5,13,8,,0.00,7,Lluvia,118<br>
15/08/2014,29,24,19,20,18,16,88,70,48,1009,1009,1007,10,7,3,13,5,,0.00,3,,316<br>
16/08/2014,30,26,21,20,19,17,88,69,48,1011,1010,1009,10,7,4,19,5,,0.00,4,,290<br>
17/08/2014,25,23,22,21,19,17,88,78,65,1014,1012,1011,10,7,3,13,6,,0.00,7,Lluvia,50<br>
18/08/2014,24,22,21,19,18,16,88,79,69,1012,1010,1008,10,7,3,19,8,,0.00,8,Lluvia,45<br>
19/08/2014,24,22,20,20,19,18,94,85,73,1011,1010,1008,7,5,4,11,6,,0.00,7,Lluvia,341<br>
20/08/2014,27,24,22,20,20,19,88,77,61,1012,1011,1009,7,5,4,10,5,,0.00,6,,317<br>
21/08/2014,25,23,22,21,20,18,88,83,65,1010,1007,1004,10,5,2,24,8,,0.00,8,Lluvia-Tormenta,9<br>
22/08/2014,28,24,21,21,19,17,88,76,57,1011,1010,1009,6,4,1,14,8,,0.00,5,Lluvia-Tormenta,250<br>
23/08/2014,28,24,22,21,20,17,88,75,51,1011,1010,1008,7,4,2,14,10,,0.00,6,,239<br>
24/08/2014,31,26,20,21,19,17,94,75,43,1010,1009,1007,7,4,2,14,5,,0.00,6,Lluvia,324<br>
25/08/2014,28,26,23,21,19,17,88,68,54,1009,1007,1005,10,7,3,16,8,,0.00,7,Lluvia,57<br>
26/08/2014,30,26,21,19,18,16,83,65,45,1013,1011,1009,10,9,6,23,6,,0.00,6,,360<br>
27/08/2014,28,23,19,18,16,14,83,64,45,1016,1015,1013,10,10,10,13,8,,0.00,5,,34<br>
28/08/2014,31,26,20,19,16,14,78,60,40,1017,1016,1014,10,10,10,14,8,,0.00,2,,51<br>
29/08/2014,29,24,19,19,17,16,88,70,48,1016,1015,1013,10,9,6,16,5,37,0.00,5,Lluvia-Tormenta,357<br>
30/08/2014,29,24,19,19,17,14,88,69,40,1016,1015,1013,10,8,5,16,6,,0.00,5,,329<br>
31/08/2014,27,23,20,18,17,14,88,66,45,1014,1013,1012,10,7,4,10,5,,0.00,6,,273<br>
1/09/2014,29,24,19,19,17,15,88,69,45,1015,1014,1012,10,7,3,13,6,,0.00,5,,341<br>
2/09/2014,27,24,21,18,16,14,83,64,45,1014,1012,1009,10,8,6,23,10,,0.00,6,Lluvia,124<br>
3/09/2014,22,19,17,18,17,14,94,85,73,1008,1003,1000,10,7,3,29,14,39,0.00,8,Lluvia,22<br>
4/09/2014,27,22,18,17,16,15,88,71,51,1011,1007,1005,10,10,10,16,6,,0.00,2,,257<br>
5/09/2014,28,23,19,19,17,16,88,72,48,1014,1012,1011,10,8,3,16,6,,0.00,4,,213<br>
6/09/2014,30,25,20,19,16,11,94,65,31,1013,1012,1010,10,5,3,14,5,,0.00,6,,331<br>
7/09/2014,30,24,18,20,18,15,88,72,40,1011,1009,1007,9,7,4,16,6,,0.00,5,,323<br>
8/09/2014,29,24,19,21,18,13,94,75,44,1008,1007,1005,10,5,0,23,5,,0.00,2,Niebla,299<br>
9/09/2014,27,22,18,20,14,7,88,63,30,1009,1007,1006,10,3,1,14,6,,0.00,4,Niebla,309<br>
10/09/2014,27,21,15,14,12,6,82,58,26,1012,1010,1009,10,10,10,13,5,,0.00,1,,322<br>
11/09/2014,28,22,16,15,13,10,88,62,34,1014,1013,1011,10,9,6,14,6,,0.00,4,,323<br>
12/09/2014,27,22,17,16,15,13,83,67,45,1014,1013,1012,10,7,4,24,6,53,0.00,5,Lluvia,293<br>
13/09/2014,28,23,18,17,13,10,83,59,32,1016,1014,1013,10,8,4,16,8,,0.00,2,,47<br>
14/09/2014,27,23,19,16,12,9,73,52,34,1016,1015,1014,10,10,10,16,11,,0.00,5,,69<br>
15/09/2014,27,23,18,17,15,8,83,65,34,1014,1013,1011,10,9,6,19,6,,0.00,6,,309<br>
16/09/2014,26,20,14,11,7,1,77,46,20,1016,1015,1014,10,10,10,14,8,,0.00,7,,324<br>
17/09/2014,22,19,16,13,9,7,77,53,38,1017,1016,1015,10,10,10,11,8,,0.00,7,,323<br>
18/09/2014,26,20,14,13,10,5,82,59,26,1019,1017,1016,0,0,0,10,6,,0.00,,,333<br>
