CET,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi—n al nivel del marhPa, Mean Presi—n al nivel del marhPa, Min Presi—n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r‡fagasKm/h,Precipitaci—nmm, CloudCover, Eventos,WindDirDegrees
2010-1-1,-2,-3,-3,-3,-4,-4,100,92,86,1004,998,994,10,6,2,13,10,,0.00,6,Nieve,17
2010-1-2,-1,-3,-5,-2,-4,-7,100,89,80,1016,1014,1009,10,7,3,21,10,,0.00,6,Nieve,244
2010-1-3,-1,-3,-6,-2,-5,-7,100,95,80,1020,1017,1015,4,2,1,21,8,,0.00,7,Nieve,293
2010-1-4,-5,-6,-7,-6,-7,-8,100,92,86,1020,1015,1011,10,8,4,14,5,,0.00,5,Nieve,195
2010-1-5,0,-3,-6,-3,-5,-7,93,85,80,1008,1005,1003,10,10,2,19,13,,0.00,6,,154
2010-1-6,-3,-4,-5,-5,-6,-6,93,89,80,1004,1003,1001,9,8,6,6,3,,0.00,7,Nieve,187
2010-1-7,-2,-4,-8,-3,-5,-9,100,93,93,1014,1009,1006,6,2,1,8,3,,0.00,6,Nieve,160
2010-1-8,-5,-6,-6,-6,-7,-8,93,88,80,1018,1018,1017,10,9,5,26,10,,0.00,6,Nieve,49
2010-1-9,-3,-4,-5,-4,-5,-7,100,87,80,1017,1014,1011,10,6,2,27,19,,0.00,6,Nieve,52
2010-1-10,-2,-3,-4,-4,-5,-6,100,90,80,1016,1014,1011,10,6,3,21,10,,0.00,6,Nieve,49
2010-1-11,-3,-4,-5,-4,-5,-6,100,89,80,1017,1016,1015,10,6,1,11,5,,0.00,6,Nieve,62
2010-1-12,-4,-6,-6,-6,-7,-8,86,84,80,1016,1014,1009,10,8,6,32,13,,0.00,5,Nieve,121
2010-1-13,-4,-7,-8,-6,-8,-10,86,82,80,1007,1006,1005,10,8,4,34,24,37,0.00,4,Nieve,132
2010-1-14,3,0,-2,0,-2,-3,93,86,81,1012,1009,1007,9,8,6,23,16,,0.00,6,,137
2010-1-15,1,0,-1,-2,-2,-3,93,85,80,1025,1022,1016,10,10,2,13,8,,0.00,6,,183
2010-1-16,0,-2,-3,-3,-4,-4,93,85,80,1023,1016,1009,10,8,4,37,23,55,0.00,5,Lluvia-Nieve,140
2010-1-17,4,2,0,3,2,-2,100,93,81,1019,1011,1007,10,6,2,26,16,47,0.00,7,Lluvia,228
2010-1-18,5,4,3,3,2,2,100,93,87,1024,1023,1022,10,5,1,16,13,,0.00,7,Lluvia,251
2010-1-19,4,3,2,3,3,1,100,94,87,1022,1021,1020,9,4,1,13,8,,0.00,6,Lluvia,263
2010-1-20,4,2,1,1,1,-1,100,88,81,1019,1015,1014,10,9,6,21,11,,0.00,5,,122
2010-1-21,2,0,-2,-1,-2,-4,100,87,75,1024,1022,1019,9,8,6,19,11,,0.00,6,,112
2010-1-22,1,-1,-3,-2,-3,-5,93,88,81,1025,1025,1024,8,7,4,23,16,,0.00,4,,134
2010-1-23,-2,-3,-5,-4,-5,-6,93,88,86,1024,1023,1022,10,9,2,26,16,37,0.00,3,,134
2010-1-24,-1,-2,-3,-2,-3,-5,93,89,80,1023,1023,1022,10,5,1,14,11,,0.00,6,Nieve,138
2010-1-25,-2,-3,-6,-3,-4,-7,100,92,86,1032,1028,1024,4,3,2,13,11,,0.00,7,Nieve,105
2010-1-26,-4,-9,-14,-9,-12,-15,100,84,68,1040,1038,1035,6,5,2,10,3,,0.00,0,,112
2010-1-27,0,-7,-12,-1,-9,-14,93,72,47,1034,1022,1006,10,7,1,39,11,58,0.00,6,Nieve,232
2010-1-28,1,0,0,0,-1,-1,100,93,87,1003,1001,998,10,8,3,23,19,40,0.00,6,Lluvia-Nieve,273
2010-1-29,1,0,-1,0,-2,-5,100,88,75,993,983,978,10,4,1,26,19,37,0.00,6,Lluvia-Nieve,238
2010-1-30,-1,-3,-5,-2,-4,-7,100,89,69,998,992,985,10,6,0,16,11,,0.00,6,Nieve,275
2010-1-31,1,-2,-5,0,-3,-7,100,86,75,1004,1001,998,10,9,1,26,19,40,0.00,5,Nieve,246
2010-2-1,1,-1,-3,-1,-2,-6,93,87,80,1012,1006,1004,10,7,1,26,21,,0.00,6,Nieve,250
2010-2-2,2,-1,-3,1,-2,-6,93,83,75,1012,1003,996,10,9,5,45,34,71,0.00,5,Lluvia-Nieve,209
2010-2-3,3,1,-1,0,-3,-8,93,82,55,1013,1008,1001,10,7,3,21,13,35,0.00,5,Nieve,240
2010-2-4,6,2,-2,3,2,-4,93,86,80,1013,1012,1010,10,10,10,26,18,,0.00,5,Lluvia,166
2010-2-5,4,2,1,1,0,-1,93,84,75,1008,1007,1006,10,10,10,34,21,,0.00,3,,142
2010-2-6,3,1,0,2,-2,-7,93,80,60,1017,1012,1009,1,0,0,8,3,,0.00,6,Niebla,252
2010-2-7,2,-1,-3,0,-2,-5,93,86,69,1021,1020,1018,8,4,1,13,8,,0.00,6,,105
2010-2-8,-4,-6,-7,-7,-8,-8,93,87,80,1014,1011,1008,8,6,4,26,19,,0.00,7,,121
2010-2-9,-5,-6,-7,-7,-8,-9,93,84,74,1006,1006,1005,10,7,2,19,10,,0.00,6,Nieve,103
2010-2-10,-5,-6,-7,-6,-7,-9,100,93,86,1011,1008,1006,6,3,1,10,5,,0.00,6,Nieve,1
2010-2-11,-3,-6,-7,-4,-6,-9,93,90,80,1013,1012,1011,8,5,1,23,10,,0.00,6,Nieve,10
2010-2-12,-3,-4,-5,-5,-6,-6,100,93,86,1017,1016,1014,8,4,1,11,8,,0.00,6,Nieve,329
2010-2-13,-3,-4,-6,-4,-6,-7,100,95,93,1017,1015,1014,6,3,1,10,5,,0.00,7,Niebla-Nieve,273
2010-2-14,-2,-6,-8,-4,-7,-9,100,87,74,1013,1012,1011,10,7,4,13,8,,0.00,5,Nieve,125
2010-2-15,0,-4,-8,-5,-7,-9,93,80,69,1009,1006,1004,10,9,8,19,14,,0.00,5,,148
