CST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2014-1-1,18,8,-1,8,2,-4,93,71,48,1023,1017,1011,16,15,6,39,18,64,0.00,0,,172
2014-1-2,4,-1,-6,-4,-8,-10,80,61,39,1031,1028,1019,16,16,16,47,27,64,0.00,0,,333
2014-1-3,8,1,-5,-4,-7,-9,80,60,37,1031,1026,1018,16,16,16,29,14,34,0.00,0,,121
2014-1-4,19,9,0,11,4,-4,87,69,49,1018,1011,1007,16,16,16,45,23,55,0.00,3,,170
2014-1-5,14,3,-8,11,-6,-17,88,66,49,1032,1019,1007,16,16,11,48,29,63,0.00,5,,325
2014-1-6,-3,-7,-11,-15,-17,-18,67,47,31,1039,1036,1033,16,16,16,45,21,45,0.00,0,,335
2014-1-7,7,-2,-10,-8,-12,-16,79,49,25,1034,1030,1026,16,16,16,27,14,37,0.00,0,,175
2014-1-8,5,1,-3,-2,-6,-11,75,55,41,1026,1024,1021,16,16,16,27,19,32,0.00,8,,123
2014-1-9,4,2,1,3,1,-3,100,91,70,1024,1021,1017,16,6,0,24,18,29,3.05,8,,95
2014-1-10,17,10,4,15,10,3,100,90,72,1016,1009,1004,16,10,0,34,18,45,11.94,6,Thunderstorm,174
2014-1-11,17,9,2,3,0,-2,93,56,27,1017,1015,1009,16,16,16,29,10,37,0.00,0,,273
2014-1-12,22,13,4,8,0,-2,65,46,22,1017,1013,1008,16,16,16,48,19,63,0.00,0,,185
2014-1-13,16,10,4,12,2,-4,88,51,27,1017,1013,1008,16,16,16,39,23,50,0.00,2,,281
2014-1-14,16,9,2,2,-3,-8,65,48,27,1025,1019,1015,16,16,16,35,14,47,0.00,0,,290
2014-1-15,11,4,-2,-5,-7,-8,69,48,30,1028,1024,1018,16,16,16,24,13,32,0.00,0,,284
2014-1-16,18,10,2,0,-5,-12,70,43,15,1020,1017,1015,16,16,16,35,16,50,0.00,0,,269
2014-1-17,10,6,1,-8,-10,-11,48,33,22,1027,1024,1020,16,16,16,34,19,45,0.00,0,,309
2014-1-18,18,9,0,-1,-4,-8,60,41,26,1022,1018,1014,16,16,16,47,19,58,0.00,0,,244
2014-1-19,16,7,-1,-3,-4,-5,80,47,27,1025,1021,1017,16,16,16,23,14,26,0.00,0,,247
2014-1-20,21,12,3,4,0,-5,65,45,31,1021,1014,1010,16,16,16,40,14,50,0.00,0,,238
2014-1-21,10,3,-3,-5,-11,-14,64,37,24,1029,1025,1021,16,16,16,45,24,55,0.00,0,,344
2014-1-22,12,3,-4,-4,-8,-12,64,45,28,1022,1020,1018,16,16,16,26,11,,0.00,0,,75
2014-1-23,5,0,-6,-6,-12,-18,52,40,29,1041,1033,1023,16,16,16,37,24,50,0.00,3,,11
2014-1-24,4,-3,-11,-10,-14,-16,68,45,22,1040,1033,1022,16,16,16,24,13,29,0.00,0,,251
2014-1-25,17,7,-2,1,-4,-10,69,48,30,1022,1017,1014,16,16,5,21,13,,0.00,0,,231
2014-1-26,21,12,3,2,-1,-2,75,50,23,1014,1009,1004,16,16,16,24,11,34,0.00,0,,154
2014-1-27,8,2,-3,1,-12,-18,70,35,21,1026,1021,1009,16,16,16,45,27,55,0.00,0,,6
2014-1-28,1,-3,-7,-11,-15,-19,54,41,31,1032,1029,1027,16,16,16,32,21,40,0.00,4,,359
2014-1-29,7,-2,-10,-12,-14,-16,73,44,23,1030,1027,1022,16,16,16,19,6,27,0.00,0,,186
2014-1-30,12,3,-4,4,-3,-13,76,56,44,1022,1015,1011,16,16,16,45,21,61,0.00,4,,165
2014-1-31,22,16,9,13,10,5,94,73,46,1012,1010,1008,16,15,8,37,21,45,0.00,5,,171
2014-2-1,17,9,2,14,7,-1,93,85,77,1015,1011,1008,16,12,2,35,23,45,2.54,8,,294
2014-2-2,2,0,-1,0,-2,-3,93,86,81,1024,1019,1015,16,10,3,35,26,40,10.16,8,,354
2014-2-3,9,3,-3,1,-2,-5,93,73,57,1025,1022,1016,16,15,6,26,13,35,0.00,2,,64
2014-2-4,4,2,0,3,0,-4,93,87,60,1018,1014,1011,16,11,3,27,14,34,8.13,8,,106
2014-2-5,3,-2,-6,1,-7,-11,87,68,59,1033,1028,1018,16,16,16,37,26,50,0.00,4,,345
2014-2-6,-3,-6,-8,-7,-10,-13,86,72,63,1034,1032,1029,16,14,4,34,18,34,0.00,5,,356
2014-2-7,0,-2,-4,-2,-6,-9,93,77,64,1029,1026,1024,16,14,2,19,11,,0.00,8,,88
2014-2-8,6,2,-1,3,1,-2,100,91,81,1023,1020,1017,13,6,0,21,11,27,0.00,8,,123
2014-2-9,6,4,3,5,3,2,100,92,87,1021,1019,1017,16,5,0,19,11,,0.00,8,,73
2014-2-10,3,1,0,2,0,-2,93,89,81,1025,1023,1020,16,8,4,24,16,,0.00,8,,47
2014-2-11,3,1,-1,-2,-6,-10,87,64,41,1027,1024,1022,16,16,11,26,14,29,0.00,7,,33
