HoraCEST,TemperaturaC,Punto de rocíoC,Humedad,Presión al nivel del marhPa,VisibilidadKm,Wind Direction,Velocidad del vientoKm/h,Velocidad de ráfagasKm/h,Precipitaciónmm,Eventos,Conditions,WindDirDegrees,DateUTC
12:00 AM,18.0,14.0,77,1020,10.0,Variable,1.9,-,N/A,,Nubes dispersas,0,2011-10-21 22:00:00
12:30 AM,17.0,14.0,82,1019,10.0,Variable,3.7,-,N/A,,Nubes dispersas,0,2011-10-21 22:30:00
1:00 AM,17.0,14.0,82,1019,10.0,Variable,1.9,-,N/A,,Nubes dispersas,0,2011-10-21 23:00:00
1:30 AM,17.0,14.0,82,1019,10.0,Calm,Calm,-,N/A,,Nubes dispersas,0,2011-10-21 23:30:00
2:00 AM,16,11,67,1019,14,ONO,3.7,,,,Parcialmente nublado,290,2011-10-22 00:00:00
2:00 AM,17.0,14.0,82,1019,10.0,Variable,3.7,-,N/A,,Nubes dispersas,0,2011-10-22 00:00:00
2:30 AM,17.0,14.0,82,1019,10.0,Variable,3.7,-,N/A,,Nubes dispersas,0,2011-10-22 00:30:00
3:00 AM,16.0,14.0,88,1019,10.0,Variable,1.9,-,N/A,,Nubes dispersas,0,2011-10-22 01:00:00
3:30 AM,16.0,14.0,88,1019,10.0,Variable,1.9,-,N/A,,Nubes dispersas,0,2011-10-22 01:30:00
4:00 AM,16.0,14.0,88,1018,10.0,Calm,Calm,-,N/A,,Nubes dispersas,0,2011-10-22 02:00:00
4:30 AM,15.0,13.0,88,1018,10.0,Oeste,5.6,-,N/A,,Parcialmente nublado,260,2011-10-22 02:30:00
5:00 AM,15.0,13.0,88,1018,10.0,Variable,1.9,-,N/A,,Parcialmente nublado,0,2011-10-22 03:00:00
5:30 AM,15.0,13.0,88,1018,10.0,Calm,Calm,-,N/A,,Parcialmente nublado,0,2011-10-22 03:30:00
6:00 AM,14.0,12.0,88,1018,10.0,Variable,3.7,-,N/A,,Parcialmente nublado,0,2011-10-22 04:00:00
6:30 AM,14.0,13.0,94,1018,10.0,Variable,3.7,-,N/A,,Parcialmente nublado,0,2011-10-22 04:30:00
7:00 AM,14.0,13.0,94,1018,10.0,Variable,1.9,-,N/A,,Parcialmente nublado,0,2011-10-22 05:00:00
7:30 AM,14.0,12.0,88,1018,10.0,Variable,3.7,-,N/A,,Parcialmente nublado,0,2011-10-22 05:30:00
8:00 AM,12,9,77,1018,13,Oeste,3.7,,,,Nubes dispersas,270,2011-10-22 06:00:00
8:00 AM,14.0,12.0,88,1018,10.0,Variable,1.9,-,N/A,,Parcialmente nublado,0,2011-10-22 06:00:00
8:30 AM,13.0,12.0,94,1018,10.0,Variable,1.9,-,N/A,,Parcialmente nublado,0,2011-10-22 06:30:00
9:00 AM,14.0,13.0,94,1018,10.0,Calm,Calm,-,N/A,,Parcialmente nublado,0,2011-10-22 07:00:00
9:30 AM,15.0,13.0,88,1019,10.0,Variable,3.7,-,N/A,,Parcialmente nublado,0,2011-10-22 07:30:00
