
BRST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees 
2005-1-1,30,28,25,24,23,22,94,82,66,1015,1013,1011,10,7,4,26,10,,0.00,3,,150 
2005-1-2,29,27,24,23,22,19,83,74,61,1016,1014,1013,10,10,10,23,8,,0.00,2,Tormenta,129 
2005-1-3,32,28,24,23,22,19,89,70,46,1015,1013,1011,10,10,10,23,10,,0.00,2,,78 
2005-1-4,31,28,25,22,21,19,78,66,49,1013,1011,1008,10,10,10,19,8,,0.00,5,,126 
2005-1-5,30,28,25,24,22,21,89,73,58,1011,1010,1007,10,10,8,23,8,,0.00,7,Lluvia,35 
2005-1-6,33,29,26,24,23,21,89,71,49,1011,1010,1009,10,10,9,21,8,,0.00,6,Lluvia,16 
2005-1-7,33,29,26,24,23,20,89,71,52,1012,1011,1009,10,10,10,26,11,,0.00,6,Lluvia,6 
2005-1-8,32,29,26,25,23,22,89,76,55,1012,1010,1009,10,10,8,24,11,,0.00,4,,4 
2005-1-9,32,28,25,25,23,22,89,77,58,1010,1008,1006,10,10,7,37,10,,0.00,2,Lluvia-Tormenta,130 
2005-1-10,36,30,25,24,23,21,94,68,47,1008,1006,1004,10,10,10,24,13,,0.00,5,Tormenta,1 
2005-1-11,30,27,23,24,23,22,100,86,66,1009,1008,1007,10,7,2,19,10,,0.00,7,Lluvia-Tormenta,137 
2005-1-12,25,24,23,23,22,21,100,91,78,1011,1009,1007,10,8,1,23,10,,0.00,7,,159 
2005-1-13,28,24,22,22,21,19,100,78,58,1012,1010,1009,10,9,4,19,10,,0.00,3,Niebla,123 
2005-1-14,27,24,22,22,21,20,89,79,69,1012,1009,1008,10,10,10,23,10,,0.00,4,,163 
2005-1-15,35,29,24,24,22,20,89,70,44,1008,1005,1002,10,10,10,19,8,,0.00,1,,49 
2005-1-16,36,32,28,24,23,22,74,62,49,1006,1003,1001,10,10,10,27,13,,0.00,4,,316 
2005-1-17,28,27,25,24,23,23,89,80,74,1009,1007,1004,10,9,7,19,10,,0.00,7,,152 
2005-1-18,28,26,24,24,23,23,100,88,74,1009,1007,1005,10,6,4,26,11,,0.00,7,Lluvia-Tormenta,153 
2005-1-19,29,27,24,24,23,23,100,87,70,1009,1007,1006,10,8,3,21,10,,0.00,7,Lluvia,166 
2005-1-20,35,30,25,25,24,23,94,79,52,1008,1006,1005,10,9,4,47,10,64,0.00,6,Lluvia,79 
2005-1-21,29,27,26,26,24,24,94,88,79,1013,1009,1006,10,9,5,23,10,,0.00,6,,140 
2005-1-22,30,28,25,25,24,23,94,83,66,1016,1013,1011,10,10,10,23,11,,0.00,5,,162 
2005-1-23,29,27,24,24,24,23,100,87,74,1014,1012,1010,10,8,3,23,13,,0.00,5,Lluvia,146 
2005-1-24,30,28,25,24,23,22,89,78,66,1012,1009,1006,10,9,5,23,13,,0.00,4,Lluvia-Tormenta,144 
2005-1-25,37,31,25,25,23,22,89,73,42,1008,1005,1001,10,10,2,40,14,60,0.00,4,Lluvia-Tormenta,15 
