
BRST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2012-1-1,27,26,24,24,24,23,94,92,84,1005,1004,1003,10,8,6,14,6,,0.00,8,Lluvia,320<br />
2012-1-2,22,21,21,21,21,20,100,95,94,1009,1007,1004,9,5,2,11,6,,0.00,8,Lluvia,80<br />
2012-1-3,27,23,20,21,20,18,88,77,61,1012,1011,1009,10,10,10,26,11,,0.00,2,,133<br />
2012-1-4,26,23,22,23,21,20,94,83,74,1015,1013,1011,10,10,10,24,13,,0.00,3,,161<br />
2012-1-5,27,23,21,23,22,20,94,84,78,1015,1013,1012,10,10,10,26,11,,0.00,2,,154<br />
2012-1-6,29,26,23,24,23,21,94,85,66,1013,1012,1009,10,7,1,24,10,42,0.00,6,Lluvia-Tormenta,223<br />
2012-1-7,31,27,23,24,22,20,94,79,52,1015,1012,1011,10,10,10,26,10,,0.00,4,,122<br />
2012-1-8,27,24,23,23,22,21,94,88,79,1016,1015,1013,10,8,6,23,8,,0.00,6,Lluvia-Tormenta,138<br />
2012-1-9,26,23,22,23,22,21,94,85,78,1016,1015,1013,10,9,7,13,6,,0.00,7,Lluvia,57<br />
2012-1-10,29,26,22,24,22,21,94,84,74,1018,1016,1014,10,10,9,21,8,,0.00,7,Lluvia,187<br />
2012-1-11,27,24,22,24,22,21,94,85,78,1017,1016,1015,10,10,10,13,6,,0.00,6,Lluvia,143<br />
2012-1-12,28,24,22,24,22,21,94,81,70,1016,1014,1012,10,10,10,19,8,,0.00,5,,153<br />
2012-1-13,33,28,23,24,22,20,94,72,49,1013,1011,1009,10,10,10,21,10,39,0.00,3,Tormenta,15<br />
2012-1-14,35,30,25,25,22,20,83,63,44,1011,1009,1007,10,10,10,21,10,,0.00,3,Tormenta,36<br />
2012-1-15,33,28,24,24,22,20,89,68,49,1012,1011,1009,10,9,4,26,16,,0.00,6,Lluvia-Tormenta,295<br />
2012-1-16,29,26,23,24,23,22,94,87,74,1014,1013,1012,10,9,6,27,10,,0.00,4,Lluvia-Tormenta,136<br />
2012-1-17,28,26,23,23,23,22,100,86,74,1013,1012,1010,10,8,4,27,11,,0.00,2,,146<br />
2012-1-18,28,26,23,25,23,21,100,84,74,1013,1012,1010,10,9,5,29,10,,0.00,2,Tormenta,149<br />
2012-1-19,29,26,23,24,22,21,94,80,66,1014,1012,1010,10,8,2,34,13,40,0.00,4,Lluvia-Tormenta,304<br />
2012-1-20,30,27,23,24,22,21,94,76,62,1014,1013,1012,10,10,10,24,10,,0.00,2,,121<br />
2012-1-21,29,26,23,24,22,21,88,76,66,1014,1012,1010,10,10,10,21,8,,0.00,3,,151<br />
2012-1-22,31,27,23,22,22,20,94,75,52,1013,1012,1010,10,10,10,23,8,,0.00,1,,132<br />
2012-1-23,32,27,23,24,22,21,89,70,58,1013,1011,1009,10,10,10,21,10,,0.00,1,,124<br />
2012-1-24,33,28,24,23,22,20,83,66,46,1012,1011,1009,10,10,10,21,8,,0.00,1,,122<br />
2012-1-25,33,28,23,24,22,21,94,65,52,1012,1009,1007,10,10,10,19,11,39,0.00,1,,62<br />
2012-1-26,31,26,22,23,22,20,94,78,62,1013,1011,1009,10,9,5,35,16,40,0.00,5,Lluvia,181<br />
2012-1-27,23,21,20,21,21,20,100,93,83,1014,1013,1012,10,7,4,13,6,,0.00,8,Lluvia,138<br />
2012-1-28,23,21,19,21,20,18,100,94,83,1014,1013,1012,9,7,5,19,8,,0.00,8,Lluvia,154<br />
2012-1-29,22,21,20,21,20,19,100,95,88,1014,1013,1012,10,7,3,19,8,,0.00,8,Lluvia,156<br />
2012-1-30,26,23,21,21,21,20,94,86,74,1013,1012,1011,10,9,6,21,8,,0.00,5,,128<br />
2012-1-31,25,23,21,24,22,21,100,94,83,1013,1012,1010,10,6,1,13,8,,0.00,5,Niebla-Lluvia-Tormenta,140<br />
2012-2-1,31,26,22,23,22,20,94,75,62,1014,1012,1010,10,10,10,16,10,,0.00,1,,73<br />
2012-2-2,31,27,24,23,22,21,83,72,55,1016,1014,1012,10,10,10,19,8,,0.00,1,,125<br />
2012-2-3,31,27,23,23,22,20,88,71,55,1017,1015,1013,10,10,10,23,11,,0.00,1,,49<br />
2012-2-4,31,27,23,23,21,19,83,69,51,1016,1015,1013,10,10,10,19,10,,0.00,1,,134<br />
