EST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees
2011-1-1,12,8,4,8,2,-2,83,67,50,1021,1018,1015,11,10,8,19,5,26,0.00,3, ,250
2011-1-2,11,7,2,9,5,-7,100,73,45,1015,1014,1011,16,9,1,32,8,45,0.25,8,Niebla-Lluvia,299
2011-1-3,2,0,-2,-8,-11,-13,53,44,35,1022,1020,1015,16,16,16,34,14,48,0.00,0, ,288
2011-1-4,4,2,0,-7,-9,-11,52,47,40,1020,1014,1009,16,16,13,16,10,29,0.00,1, ,231
2011-1-5,4,1,-2,-6,-8,-12,61,50,39,1012,1010,1009,16,16,16,24,10,32,0.00,1, ,279
2011-1-6,1,-1,-3,-9,-9,-11,63,54,45,1008,1005,1002,16,16,16,14,4,21,0.00,5, ,302
2011-1-7,1,-2,-4,0,-4,-9,92,71,49,1000,997,994,16,6,0,19,8,26,4.83,7,Niebla-Nieve,194
2011-1-8,-1,-3,-5,-6,-7,-8,81,75,69,1000,998,996,16,11,3,19,6,24,T,6,Nieve,282
2011-1-9,0,-2,-3,-8,-11,-11,75,61,47,1019,1011,1000,16,16,16,34,18,47,0.00,1, ,281
2011-1-10,2,-1,-4,-9,-10,-12,63,53,43,1024,1022,1019,16,16,16,29,14,42,0.00,0, ,284
2011-1-11,-1,-3,-5,-4,-7,-9,92,75,58,1025,1018,1009,16,10,0,24,9,29,6.35,5,Niebla-Nieve,43
2011-1-12,-1,-2,-4,-4,-7,-12,92,73,53,1011,1005,1002,16,7,0,34,18,48,15.49,7,Niebla-Nieve,288
2011-1-13,-1,-4,-8,-11,-12,-15,61,52,42,1026,1020,1011,16,16,16,27,17,40,0.00,0, ,289
2011-1-14,-1,-4,-8,-11,-12,-14,67,57,46,1027,1026,1025,16,16,16,16,9,23,0.00,0, ,280
2011-1-15,3,-1,-5,-4,-8,-12,68,58,47,1026,1019,1012,16,15,11,26,8,39,0.00,5, ,215
2011-1-16,3,0,-3,-6,-11,-14,61,48,35,1023,1018,1012,16,16,14,27,13,39,0.00,1, ,286
2011-1-17,-3,-5,-7,-12,-14,-16,54,48,42,1029,1026,1024,16,16,13,23,11,32,T,7, ,28
2011-1-18,5,1,-4,4,-2,-11,100,78,55,1026,1013,1003,16,5,1,35,16,50,32.26,8,Lluvia-Nieve,47
2011-1-19,5,3,2,2,0,-4,92,81,70,1013,1007,1003,16,13,6,23,9,29,1.78,8,Lluvia,272
2011-1-20,2,1,-1,-6,-8,-11,69,56,43,1019,1015,1008,16,16,16,23,11,35,0.00,4, ,285
2011-1-21,0,-4,-8,-3,-8,-17,92,66,40,1012,1004,1000,16,9,1,34,14,45,10.41,5,Niebla-Nieve,298
2011-1-22,-4,-7,-11,-15,-17,-18,58,49,40,1016,1013,1011,16,16,16,23,9,32,0.00,0, ,279
2011-1-23,-4,-8,-12,-16,-17,-22,59,47,34,1028,1017,1012,16,16,16,32,15,42,0.00,0, ,282
2011-1-24,-4,-9,-14,-13,-19,-22,60,46,31,1033,1030,1027,16,16,16,23,9,29,0.00,2, ,286
2011-1-25,3,-1,-4,-3,-6,-12,85,68,50,1027,1022,1019,16,8,0,23,6,32,1.27,7,Niebla-Nieve,240
2011-1-26,2,1,-1,-2,-2,-4,92,78,64,1019,1010,1000,11,3,0,35,15,60,32.77,7,Niebla-Lluvia-Nieve,41
2011-1-27,2,1,-2,-2,-4,-8,92,73,54,1011,1007,1001,16,7,0,23,5,35,21.84,5,Niebla-Nieve,262
2011-1-28,1,-1,-2,-2,-4,-7,85,73,61,1012,1011,1009,14,9,3,16,6,23,T,7,Nieve,241
2011-1-29,2,1,-2,-3,-4,-8,85,66,47,1016,1014,1011,14,9,2,19,7,26,0.25,6,Nieve,255
2011-1-30,4,1,-3,-4,-6,-11,85,69,52,1026,1019,1015,16,13,8,24,9,34,0.00,3, ,275
2011-1-31,-1,-3,-6,-11,-12,-17,68,51,33,1033,1030,1026,16,16,10,19,9,26,T,2,Nieve,10
2011-2-1,-1,-2,-4,-3,-4,-11,92,80,68,1031,1026,1021,13,5,1,26,14,35,4.32,8,Lluvia-Nieve,49
2011-2-2,3,1,-3,1,-2,-7,96,74,52,1023,1011,1004,16,5,1,35,10,61,17.78,7,Lluvia,43
2011-2-3,1,-2,-4,-7,-12,-14,59,48,36,1028,1024,1016,16,16,16,32,14,42,0.00,2, ,283
2011-2-4,1,-2,-5,-7,-11,-14,59,49,38,1027,1023,1019,16,16,16,26,10,35,0.00,0, ,240
2011-2-5,6,3,-1,5,0,-7,100,78,56,1019,1006,994,16,6,0,32,9,48,5.33,8,Niebla-Lluvia-Nieve,83
2011-2-6,7,5,3,-1,-3,-4,76,61,45,1017,1011,998,16,16,16,35,11,53,0.00,1, ,271
2011-2-7,7,5,2,3,-1,-4,92,71,49,1018,1013,1006,16,12,5,21,7,26,3.30,5,Lluvia,183
2011-2-8,5,-1,-8,3,-4,-18,92,64,36,1021,1006,1000,16,12,5,37,20,63,2.79,6,Lluvia,249
2011-2-9,-2,-6,-9,-12,-16,-18,54,45,35,1025,1021,1017,16,16,16,26,13,45,0.00,2, ,254
2011-2-10,-2,-3,-6,-11,-16,-21,50,39,27,1021,1017,1014,16,16,16,26,13,35,0.00,1, ,279
2011-2-11,3,-2,-7,-12,-15,-17,45,39,32,1023,1020,1017,16,16,16,24,10,32,0.00,0, ,234
2011-2-12,4,2,-1,-6,-9,-13,61,47,32,1019,1013,1009,16,16,11,32,14,56,0.00,4, ,262
2011-2-13,8,3,-2,-4,-8,-13,47,42,37,1020,1015,1008,16,16,16,27,13,40,0.00,2, ,214
2011-2-14,14,9,3,-2,-3,-7,57,44,30,1010,1002,996,16,16,16,50,21,69,0.00,2, ,246
2011-2-15,3,-1,-4,-7,-16,-20,52,36,20,1030,1024,1012,16,16,16,45,19,61,0.00,1, ,290
2011-2-16,9,3,-3,-4,-12,-21,42,30,17,1030,1026,1021,16,16,16,26,7,40,0.00,3, ,239
2011-2-17,17,13,8,5,-1,-4,59,46,32,1021,1019,1015,16,16,13,21,7,29,0.00,4, ,236
2011-2-18,19,14,8,8,4,-14,77,48,18,1014,1007,1002,16,15,13,37,11,58,0.00,0, ,259
2011-2-19,12,4,-5,-8,-12,-16,46,31,15,1017,1008,1004,16,16,16,50,26,76,T,5, ,287
2011-2-20,4,-1,-6,-12,-14,-15,52,40,27,1022,1019,1016,16,16,16,35,14,50,0.00,2, ,290
2011-2-21,3,-1,-4,-2,-4,-13,100,66,32,1015,1011,1007,16,7,1,29,13,40,8.64,7,Niebla-Nieve,36
2011-2-22,2,-3,-9,-11,-14,-17,52,44,35,1025,1019,1013,16,16,16,29,12,39,0.00,2, ,360
2011-2-23,4,-1,-6,-13,-14,-16,52,37,22,1028,1026,1025,16,16,16,16,6,24,0.00,0, ,348
2011-2-24,7,3,-1,3,-6,-15,79,54,29,1026,1021,1015,16,15,10,19,7,27,1.27,4,Lluvia,147
2011-2-25,14,8,1,12,5,-8,100,76,51,1016,1002,989,16,7,1,34,8,52,33.53,7,Niebla-Lluvia,166
2011-2-26,6,3,-1,-2,-8,-11,70,50,30,1023,1020,1015,16,16,16,21,9,26,0.00,3, ,177
2011-2-27,10,7,3,2,-2,-5,85,59,33,1020,1015,1011,16,16,13,26,10,37,0.00,4, ,273
2011-2-28,16,10,4,11,6,-4,93,75,57,1019,1006,999,16,10,2,32,15,50,11.18,6,Lluvia,184
2011-3-1,8,4,1,-6,-11,-16,52,35,18,1026,1022,1013,16,16,16,26,11,42,0.00,0, ,298
2011-3-2,12,4,-4,-4,-8,-17,59,41,22,1029,1021,1015,16,16,16,34,18,52,0.00,1, ,256
2011-3-3,1,-3,-7,-15,-18,-20,47,34,21,1039,1036,1030,16,16,16,24,9,37,0.00,0, ,11
