CST,Temperatura m\'e1ximaC,Temperatura mediaC,Temperatura m\'ednimaC,Punto de roc\'edoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi\'f3n al nivel del marhPa, Mean Presi\'f3n al nivel del marhPa, Min Presi\'f3n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r\'e1fagasKm/h,Precipitaci\'f3nmm, CloudCover, Eventos,WindDirDegrees\
2013-1-1,-2,-7,-12,-9,-21,-28,79,36,8,1033,1024,1017,31,16,6,32,18,47,0.00, , ,333\
2013-1-2,-7,-10,-13,-26,-27,-29,31,23,7,1046,1040,1033,31,31,31,40,29,64,0.00, , ,315\
2013-1-3,-4,-9,-14,-20,-24,-28,57,30,7,1046,1043,1040,31,27,14,35,21, ,0.00, , ,356\
2013-1-4,-3,-10,-17,-18,-21,-23,72,44,13,1039,1033,1028,11,8,4,11,8,29,0.00, , ,336\
2013-1-5,0,-7,-14,-17,-21,-23,72,36,9,1030,1029,1027,19,10,5,21,10, ,0.00, , ,14\
2013-1-6,0,-7,-13,-14,-18,-19,73,43,13,1030,1028,1025,19,7,4,18,10, ,0.00, , ,333\
2013-1-7,1,-7,-14,-13,-16,-19,79,54,19,1028,1025,1024,11,7,4,18,6, ,0.00, , ,4\
2013-1-8,-1,-7,-13,-11,-18,-23,85,45,8,1034,1031,1028,31,8,3,35,11,43,0.00, , ,342\
2013-1-9,1,-7,-15,-14,-19,-23,73,39,15,1034,1031,1028,31,23,11,18,8,35,0.00, , ,330\
2013-1-10,-3,-9,-15,-7,-13,-18,93,69,30,1029,1028,1026,11,5,1,14,6, ,0.00, , ,60\
2013-1-11,1,-4,-10,-6,-8,-12,93,75,44,1026,1024,1021,5,2,1,14,5, ,0.00,7,Nieve,353\
2013-1-12,-1,-7,-13,-6,-10,-15,100,81,57,1025,1023,1021,7,2,0,11,5, ,0.00, ,Niebla,105\
2013-1-13,0,-4,-8,-5,-7,-9,93,79,50,1026,1024,1023,5,1,1,14,6, ,0.00,8,Niebla-Nieve,266\
2013-1-14,0,-6,-11,-4,-8,-12,100,81,64,1030,1027,1024,7,3,1,18,6, ,0.00,8,Nieve,136\
2013-1-15,-1,-6,-9,-5,-8,-10,93,81,55,1029,1026,1023,14,6,3,14,8, ,0.00,4,Nieve,128\
2013-1-16,1,-4,-10,-8,-13,-18,93,51,23,1038,1033,1028,10,5,2,21,10, ,0.00, , ,21\
2013-1-17,3,-3,-10,-12,-16,-18,73,41,13,1040,1037,1033,26,12,6,18,10, ,0.00, , ,35\
2013-1-18,2,-6,-12,-8,-12,-14,85,63,30,1033,1028,1023,6,5,3,11,5, ,0.00, , ,15\
2013-1-19,3,-3,-10,-7,-10,-14,86,56,20,1032,1029,1026,14,5,2,14,6, ,0.00,8, ,77\
2013-1-20,-1,-3,-4,-3,-6,-13,100,78,27,1032,1031,1029,14,5,1,11,6, ,1.02,7,Nieve,77\
2013-1-21,4,-1,-6,-4,-6,-9,100,76,31,1031,1029,1027,11,4,2,14,6, ,0.00,8,Nieve,8\
2013-1-22,-1,-8,-14,-5,-8,-15,100,88,42,1032,1029,1024,8,2,0,14,6, ,0.00,6,Niebla-Nieve,137\
2013-1-23,-1,-6,-8,-5,-7,-10,100,89,51,1024,1020,1016,5,1,1,18,6, ,0.00,3,Niebla-Nieve,112\
2013-1-24,5,-2,-8,-11,-16,-21,68,32,15,1025,1023,1021,31,24,6,35,21,55,0.00, , ,333\
2013-1-25,-1,-7,-13,-12,-16,-19,79,50,19,1026,1024,1021,26,20,14,11,6, ,0.00, , ,19\
2013-1-26,2,-6,-13,-7,-11,-15,92,68,30,1030,1027,1025,14,6,3,14,5, ,0.00, , ,27\
2013-1-27,0,-5,-10,-5,-7,-11,100,85,53,1030,1028,1024,8,2,0,6,5, ,0.00,8,Niebla-Nieve,80\
2013-1-28,4,-1,-6,-4,-5,-7,100,80,49,1024,1022,1019,3,2,1,18,5, ,0.00,5, ,99\
2013-1-29,-2,-5,-8,-3,-5,-9,100,94,75,1028,1025,1024,2,1,0,11,5, ,0.00,8,Niebla-Nieve,124\
2013-1-30,-2,-3,-4,-4,-4,-6,93,88,76,1028,1026,1024,3,2,1,11,6, ,0.00,8,Nieve,62\
2013-1-31,0,-1,-2,0,-2,-4,100,93,75,1026,1024,1022,3,2,0,14,5, ,0.51,8,Niebla-Lluvia-Nieve,5\
2013-2-1,3,-2,-6,-3,-12,-18,100,50,11,1033,1028,1022,31,11,2,32,16, ,0.00,1, ,12\
2013-2-2,4,-3,-11,-8,-14,-18,69,42,12,1034,1032,1028,31,18,6,14,8, ,0.00, , ,28\
2013-2-3,-1,-3,-7,-2,-4,-10,100,89,47,1027,1021,1017,14,3,1,11,6, ,2.03,8,Niebla-Nieve,71\
2013-2-4,1,-4,-8,-5,-12,-16,100,54,18,1033,1028,1020,31,13,1,35,13, ,0.00,8,Niebla,34\
2013-2-5,-1,-4,-9,-3,-6,-10,100,84,62,1027,1024,1022,31,7,1,11,8, ,1.02,6,Nieve,155\
2013-2-6,4,-3,-11,-4,-16,-29,100,54,6,1035,1026,1023,31,7,2,47,14,58,0.00, , ,347\
2013-2-7,-3,-10,-16,-22,-25,-29,43,27,5,1041,1038,1036,31,31,31,35,19, ,0.00,8, ,17\
2013-2-8,-3,-9,-14,-13,-20,-24,73,39,11,1041,1036,1030,31,25,14,18,10,26,0.00, , ,83\
2013-2-9,3,-6,-13,-11,-14,-18,92,52,21,1030,1026,1022,14,7,5,14,6, ,0.00, , ,51\
2013-2-10,1,-4,-9,-15,-19,-24,50,29,9,1034,1031,1028,31,22,11,21,11, ,0.00,8, ,21\
2013-2-11,-1,-6,-9,-9,-14,-20,74,50,33,1035,1033,1030,19,8,5,14,8, ,0.00,3, ,33\
2013-2-12,6,-2,-9,-6,-12,-21,93,52,11,1029,1026,1023,14,6,3,29,8,47,0.00, ,Nieve,213\
2013-2-13,5,-2,-9,-5,-7,-10,100,75,34,1024,1022,1019,8,3,1,14,6, ,0.00, , ,118\
2013-2-14,3,-1,-4,-6,-16,-24,86,30,9,1031,1026,1023,31,18,4,26,14, ,0.00,8, ,17\
2013-2-15,3,-4,-11,-10,-15,-22,62,37,11,1031,1028,1025,31,24,8,21,11, ,0.00, , ,208\
2013-2-16,3,-3,-8,-3,-8,-12,75,61,37,1025,1022,1019,19,7,5,14,6, ,0.00,5, ,132\
2013-2-17,6,1,-4,-1,-12,-25,100,53,4,1027,1020,1017,26,3,0,35,10, ,0.00,6,Niebla-Lluvia,1\
2013-2-18,4,-1,-6,-11,-17,-21,50,29,11,1030,1027,1025,31,21,19,26,10,32,0.00, , ,18\
2013-2-19,2,-4,-9,-12,-20,-26,59,27,6,1033,1030,1027,31,30,26,26,14, ,0.00, , ,83\
2013-2-20,7,-2,-10,-9,-14,-20,86,45,10,1030,1027,1025,26,11,5,11,6, ,0.00, , ,59\
2013-2-21,3,-2,-6,-4,-6,-17,93,74,39,1031,1028,1024,8,4,3,14,6, ,0.00,6,Nieve,102\
2013-2-22,7,0,-7,-6,-17,-26,93,36,4,1033,1030,1027,31,9,3,26,11,40,0.00, , ,319\
2013-2-23,10,0,-9,-7,-13,-18,68,39,14,1029,1028,1025,19,7,4,11,5, ,0.00, , ,47\
2013-2-24,4,0,-5,-5,-7,-10,80,56,32,1028,1026,1023,8,4,2,11,5, ,0.00,8, ,42\
2013-2-25,2,0,-2,-2,-4,-9,93,76,37,1030,1027,1024,10,4,3,14,5, ,0.00,7,Nieve,47\
2013-2-26,11,2,-7,-2,-5,-8,100,65,23,1024,1020,1017,10,4,2,14,8,32,0.00,5, ,301\
2013-2-27,16,4,-6,-2,-8,-18,100,51,5,1020,1017,1013,19,4,2,21,8, ,0.00, , ,25\
2013-2-28,11,6,0,3,-11,-23,100,46,7,1028,1015,1008,31,5,0,61,18,84,0.00,3,Niebla,341\
2013-3-1,6,1,-3,-19,-23,-26,23,16,5,1036,1032,1028,31,31,31,58,32,79,0.00, , ,358\
2013-3-2,4,-1,-5,-13,-17,-19,46,27,9,1037,1033,1027,31,22,14,14,8, ,0.00,8, ,35\
2013-3-3,17,4,-7,-8,-13,-18,74,34,6,1027,1021,1016,19,9,7,21,6,35,0.00, , ,340\
2013-3-4,17,7,-2,-9,-15,-20,59,20,4,1027,1023,1020,31,31,31,32,14,35,0.00, , ,284\
2013-3-5,14,6,-3,-5,-8,-12,74,36,12,1021,1016,1013,14,7,5,14,6, ,0.00, , ,76\
2013-3-6,14,7,1,-3,-5,-6,70,44,18,1015,1013,1011,10,5,3,14,8, ,0.00,8, ,342\
