
CET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,6,4,2,4,3,1,100,93,83,1020,1019,1017,7,5,3,32,24,,0.00,5,,136<br />
2014-1-2,8,4,2,3,2,-1,100,82,60,1017,1012,1009,26,10,5,35,23,48,0.51,6,Lluvia,165<br />
2014-1-3,3,1,-1,3,1,-1,100,96,83,1019,1017,1015,11,5,0,19,8,,0.00,5,Niebla-Lluvia,142<br />
2014-1-4,9,4,-1,6,4,2,100,98,82,1021,1015,1007,16,3,0,32,14,,0.00,7,Niebla-Lluvia,146<br />
2014-1-5,11,8,6,8,6,3,87,80,63,1017,1008,1003,31,12,10,34,26,,0.00,6,Lluvia,229<br />
2014-1-6,10,6,2,5,3,2,100,82,56,1021,1018,1016,10,10,3,19,11,,0.00,4,,138<br />
2014-1-7,5,3,1,5,4,3,100,95,87,1025,1022,1017,9,5,0,19,11,,0.00,7,Niebla,111<br />
2014-1-8,4,3,3,4,3,2,100,99,91,1027,1024,1022,11,4,0,21,13,,0.00,6,Niebla,162<br />
2014-1-9,4,3,2,4,3,2,100,99,93,1025,1019,1012,4,1,0,23,13,,0.00,7,Niebla,139<br />
2014-1-10,9,6,3,4,2,-1,100,73,46,1022,1017,1011,10,8,1,48,23,66,0.00,3,Niebla,261<br />
2014-1-11,8,2,-3,6,1,-4,100,87,62,1022,1019,1017,31,10,3,27,8,,0.00,5,Lluvia,177<br />
2014-1-12,7,2,-2,5,-1,-5,86,66,45,1026,1022,1018,26,10,10,32,19,50,0.00,4,,297<br />
2014-1-13,4,0,-5,0,-3,-6,100,83,58,1023,1017,1013,31,14,10,11,6,,0.00,6,,146<br />
2014-1-14,7,3,-1,4,2,-1,100,88,75,1014,1008,1006,14,8,2,29,11,,2.03,6,Lluvia,130<br />
2014-1-15,8,3,-1,3,1,-3,93,74,51,1015,1012,1008,31,11,10,29,16,40,0.00,4,Lluvia,290<br />
2014-1-16,7,2,-4,4,1,-4,100,89,72,1015,1010,1006,19,9,0,29,10,,0.00,5,Niebla,136<br />
2014-1-17,5,2,-1,3,2,0,100,93,84,1010,1008,1006,10,6,3,14,8,,0.00,6,,152<br />
2014-1-18,10,6,2,7,3,1,100,95,76,1012,1008,1004,10,4,0,21,8,,0.00,6,Niebla,71<br />
2014-1-19,12,8,4,6,6,4,93,72,51,1004,1003,1001,10,10,10,40,29,,0.00,6,,144<br />
2014-1-20,9,7,6,8,6,2,93,88,64,1004,1001,999,10,9,5,26,19,,0.76,7,Lluvia,127<br />
2014-1-21,6,4,3,3,2,1,93,83,72,1011,1007,1003,31,12,10,29,24,,0.25,7,Lluvia,302<br />
2014-1-22,3,1,-1,1,-1,-3,93,83,66,1017,1013,1010,31,11,9,23,18,,0.00,6,Lluvia-Nieve,352<br />
2014-1-23,-1,-1,-2,-3,-4,-5,86,80,69,1020,1018,1016,14,10,8,16,13,,0.00,6,,6<br />
2014-1-24,0,-1,-2,0,-2,-5,100,92,72,1018,1015,1014,11,5,1,27,10,,1.02,6,Nieve,59<br />
2014-1-25,-1,-6,-9,-4,-9,-13,86,69,43,1019,1016,1015,31,11,6,37,27,52,0.00,5,,353<br />
