
CET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,12,8,3,7,5,3,100,91,62,1021,1019,1017,10,7,1,10,3,,0.00,3,,57<br />
2014-1-2,13,7,2,11,7,1,100,91,68,1020,1018,1017,14,10,10,19,5,,0.00,4,,130<br />
2014-1-3,15,12,9,13,10,8,100,87,69,1022,1020,1018,14,10,10,19,6,,0.00,3,Lluvia,153<br />
2014-1-4,16,12,9,14,12,9,100,95,86,1022,1018,1013,11,8,6,35,11,50,0.51,5,Lluvia,161<br />
2014-1-5,14,11,8,13,10,7,100,93,78,1014,1008,1006,11,9,2,39,26,55,20.07,5,Lluvia-Tormenta,164<br />
2014-1-6,13,9,4,8,6,3,100,88,59,1022,1017,1010,19,10,10,55,5,,0.00,2,,53<br />
2014-1-7,13,8,3,11,6,3,100,90,60,1027,1024,1022,14,10,10,6,2,,0.00,2,,38<br />
2014-1-8,12,8,3,9,7,3,100,91,73,1029,1027,1026,10,9,7,8,3,,0.00,2,,34<br />
2014-1-9,11,7,3,9,6,3,100,93,80,1027,1024,1022,10,7,3,3,2,,0.00,2,Niebla,35<br />
2014-1-10,12,10,8,10,9,8,100,91,80,1022,1021,1020,10,9,6,8,2,,0.00,5,,25<br />
2014-1-11,13,9,4,10,7,4,100,90,71,1023,1022,1021,10,8,6,3,2,,0.00,2,,24<br />
2014-1-12,12,9,5,9,7,5,100,93,73,1023,1021,1020,11,8,5,8,2,,0.00,5,,23<br />
2014-1-13,14,9,4,9,7,3,100,90,61,1021,1018,1015,10,7,3,8,2,,0.00,3,,21<br />
2014-1-14,12,11,8,11,9,7,94,91,73,1015,1009,1006,14,8,3,35,13,,14.99,5,Lluvia,161<br />
2014-1-15,12,8,5,10,7,4,94,91,78,1014,1010,1007,14,10,10,10,5,,3.05,2,Lluvia,63<br />
2014-1-16,12,8,3,10,6,2,94,87,74,1018,1016,1014,10,9,2,21,5,,0.00,3,,124<br />
2014-1-17,13,11,9,12,10,8,94,86,75,1017,1014,1012,10,9,6,35,26,50,0.25,5,Lluvia,154<br />
2014-1-18,16,13,12,11,9,6,94,73,43,1013,1009,1005,19,10,8,40,24,66,0.00,3,Lluvia,147<br />
2014-1-19,17,13,10,13,11,8,94,82,55,1006,1003,1000,11,9,5,39,29,61,7.11,3,Lluvia-Tormenta,149<br />
2014-1-20,14,12,9,11,9,7,94,88,67,1002,999,997,14,9,6,23,11,,4.06,3,Lluvia-Tormenta,117<br />
2014-1-21,12,10,8,9,8,7,93,86,62,1008,1002,997,14,9,5,11,5,,0.25,4,Lluvia,351<br />
2014-1-22,11,9,7,10,8,5,94,90,77,1015,1012,1008,11,10,6,14,5,,3.05,4,Lluvia,165<br />
2014-1-23,13,9,6,9,7,4,94,84,63,1016,1015,1013,19,10,8,19,10,,0.25,4,Lluvia,117<br />
2014-1-24,11,9,7,9,7,3,94,88,73,1012,1003,998,19,9,6,21,11,35,4.06,5,Lluvia-Tormenta,250<br />
2014-1-25,11,7,3,3,-1,-4,81,59,34,1010,1003,998,19,12,10,29,21,58,0.00,2,,360<br />
2014-1-26,9,4,0,3,-1,-3,87,70,40,1011,1008,1005,10,10,10,19,6,,0.00,3,,33<br />
2014-1-27,10,5,0,8,2,-4,93,79,34,1008,1000,995,11,9,5,32,6,52,5.08,5,Lluvia,107<br />
2014-1-28,11,7,3,5,3,1,100,81,50,1000,996,995,31,10,2,14,5,,0.00,2,,353<br />
2014-1-29,11,5,-1,9,3,-2,94,86,58,1007,1004,1000,11,9,6,27,8,34,5.08,4,Lluvia,119<br />
2014-1-30,13,12,10,10,9,8,94,82,66,1008,1007,1005,10,8,4,55,29,85,4.06,4,Lluvia,145<br />
2014-1-31,14,12,10,13,11,9,100,92,75,1009,1007,1005,8,5,1,60,35,85,22.10,5,Lluvia-Tormenta,134<br />
2014-2-1,14,12,10,12,10,8,94,89,71,1010,1008,1006,11,8,4,29,16,50,0.76,5,Lluvia,162<br />
2014-2-2,11,10,9,10,9,8,94,92,85,1008,1006,1005,8,5,1,13,3,,26.92,6,Lluvia,8<br />
2014-2-3,13,11,9,11,9,8,94,89,80,1012,1008,1005,10,7,4,26,6,37,5.08,5,Lluvia,166<br />
