
CET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,11,8,6,8,6,4,93,83,66,1012,1006,996,31,14,8,35,18,58,0.76,7,Lluvia,192<br />
2014-1-2,11,9,8,8,7,6,93,81,61,1006,1002,995,31,15,9,37,24,63,2.03,5,Lluvia,210<br />
2014-1-3,13,11,8,9,7,3,88,76,54,1012,1006,1003,31,14,10,37,23,61,0.00,6,Lluvia,213<br />
2014-1-4,13,10,7,8,6,3,87,78,59,1012,1001,995,26,16,10,26,16,,0.25,5,Lluvia,190<br />
2014-1-5,9,6,3,7,4,2,93,82,64,1011,1007,1001,31,14,6,26,14,40,0.00,6,Lluvia,205<br />
2014-1-6,13,10,8,10,9,7,100,83,65,1010,1007,1005,31,15,6,29,23,55,0.51,6,Lluvia,205<br />
2014-1-7,13,11,9,10,8,7,93,82,62,1015,1013,1010,31,17,10,23,18,,0.00,6,Lluvia,203<br />
2014-1-8,14,11,8,10,9,7,100,85,71,1021,1018,1015,31,16,10,16,11,,0.51,5,Lluvia,193<br />
2014-1-9,11,8,6,9,7,4,88,79,63,1017,1013,1011,26,16,10,27,16,,0.25,6,Lluvia,226<br />
2014-1-10,6,4,3,5,4,3,100,90,79,1021,1019,1017,26,11,3,13,8,,0.00,7,,210<br />
2014-1-11,10,6,1,7,4,0,100,92,77,1026,1020,1016,18,6,0,19,5,,0.51,6,Niebla-Lluvia,285<br />
2014-1-12,6,3,0,6,3,0,100,97,92,1026,1021,1014,8,3,0,16,6,,0.00,7,Niebla,131<br />
2014-1-13,11,8,5,7,6,4,100,88,61,1015,1012,1006,26,12,1,19,11,32,0.51,4,Lluvia,202<br />
2014-1-14,8,4,1,5,2,-1,93,81,53,1013,1007,1002,26,14,6,24,14,39,0.51,5,Lluvia,240<br />
2014-1-15,8,4,1,8,4,1,100,93,83,1012,1008,1003,19,9,3,21,13,,1.02,7,Lluvia,193<br />
2014-1-16,10,8,7,7,7,5,95,87,72,1003,999,997,26,14,10,24,16,,6.10,7,Lluvia,199<br />
2014-1-17,11,8,5,5,4,1,87,75,58,1001,999,998,26,16,10,26,18,,0.00,4,,190<br />
2014-1-18,11,7,2,5,3,1,93,76,45,1001,996,992,31,25,19,11,5,,0.25,,,143<br />
2014-1-19,10,7,4,7,5,2,100,86,63,1002,997,992,26,12,5,10,5,,3.05,6,Lluvia,231<br />
2014-1-20,7,4,2,5,3,1,93,83,70,1013,1007,1002,31,15,10,14,8,27,1.02,6,Lluvia,320<br />
2014-1-21,4,2,1,3,2,1,100,93,79,1016,1014,1012,26,8,0,16,11,,0.00,8,Niebla-Lluvia,214<br />
2014-1-22,4,2,1,4,2,-1,100,89,69,1014,1011,1010,26,11,3,14,11,,1.02,6,Lluvia,168<br />
2014-1-23,9,7,4,6,4,2,100,90,72,1017,1015,1013,27,9,0,32,11,,1.02,6,Niebla-Lluvia,249<br />
2014-1-24,7,4,2,4,3,1,93,84,69,1018,1016,1015,26,16,10,19,11,,0.00,7,Lluvia,207<br />
2014-1-25,10,7,3,7,3,2,100,88,49,1020,1017,1015,26,11,6,34,11,53,0.51,7,Lluvia,197<br />
2014-1-26,10,6,2,9,4,0,100,85,51,1020,1009,996,31,12,5,34,18,55,7.11,6,Lluvia,238<br />
2014-1-27,8,6,3,3,1,0,87,76,57,1001,999,996,31,15,10,29,23,52,0.25,5,Lluvia,235<br />
2014-1-28,7,4,2,4,3,1,93,85,72,998,994,990,27,14,10,23,18,,0.00,7,Lluvia,187<br />
2014-1-29,5,4,3,4,3,1,93,88,73,999,992,990,26,11,3,16,11,,0.51,7,Lluvia,136<br />
2014-1-30,6,4,3,5,4,2,100,91,80,1006,1002,999,14,10,8,10,5,,0.51,6,Lluvia,168<br />
2014-1-31,8,4,-1,4,2,-1,100,85,57,1009,1006,1000,27,7,0,26,8,47,4.06,6,Niebla-Lluvia,188<br />
2014-2-1,9,6,3,7,4,1,100,80,51,1006,1000,994,31,14,6,29,21,48,4.06,6,Lluvia,217<br />
2014-2-2,9,6,2,4,2,0,93,81,56,1016,1012,1006,31,18,10,19,13,,0.00,1,,202<br />
2014-2-3,9,4,0,2,1,-1,100,79,48,1016,1008,1002,26,16,10,19,8,,0.00,2,,146<br />
2014-2-4,9,7,3,4,2,1,93,71,49,1009,1004,996,31,15,10,34,19,48,2.03,5,,188<br />
2014-2-5,10,8,5,5,3,0,87,73,50,1002,995,992,31,14,6,35,26,61,2.03,6,Lluvia,198<br />
2014-2-6,13,9,5,5,4,3,93,77,47,1006,1000,989,31,16,8,26,19,,2.03,5,Lluvia,184<br />
2014-2-7,11,9,7,7,3,0,82,61,38,1005,997,987,31,17,10,48,32,84,0.00,5,Lluvia,224<br />
2014-2-8,9,6,3,7,4,1,93,78,61,1001,993,989,31,15,10,37,26,58,6.10,6,Lluvia,206<br />
2014-2-9,9,7,4,4,2,1,87,73,48,999,996,993,31,16,10,35,27,58,0.00,5,Lluvia,215<br />
2014-2-10,9,7,4,4,2,0,81,71,51,1004,994,989,31,17,10,21,10,,0.00,6,Lluvia,353<br />
2014-2-11,8,4,2,4,2,1,93,79,58,1008,1005,1002,26,14,8,29,14,50,0.25,5,Lluvia,218<br />
2014-2-12,9,4,1,6,2,0,100,80,50,1012,1006,999,31,15,6,35,16,55,2.03,6,Lluvia,209<br />
2014-2-13,8,6,3,6,3,0,93,80,50,1007,999,991,26,14,6,37,21,52,6.10,5,Lluvia,234<br />
2014-2-14,14,8,2,9,5,1,94,84,61,1008,1001,993,31,16,5,37,16,60,2.03,7,Lluvia,184<br />
2014-2-15,11,9,7,6,5,2,82,71,58,1008,1001,994,31,17,10,37,29,61,0.00,6,,221<br />
2014-2-16,11,8,4,5,4,2,93,77,49,1014,1011,1008,31,14,6,23,16,,3.05,3,Lluvia,207<br />
2014-2-17,11,7,3,5,3,2,100,81,48,1014,1013,1011,31,15,2,19,10,,0.00,4,,181<br />
2014-2-18,9,6,3,6,3,1,93,81,60,1014,1013,1012,31,19,10,19,6,,0.00,5,Lluvia,191<br />
2014-2-19,12,8,4,8,6,4,100,82,57,1017,1015,1013,31,11,6,19,11,,0.51,6,Lluvia,237<br />
2014-2-20,11,9,8,10,8,5,100,89,73,1017,1010,1006,31,11,2,24,14,42,4.06,6,Lluvia,203<br />
2014-2-21,11,8,5,6,3,1,87,72,40,1013,1010,1007,31,17,10,27,18,,0.00,4,Lluvia,229<br />
2014-2-22,11,7,4,6,4,2,93,82,56,1019,1014,1012,31,14,8,16,11,,6.10,5,Lluvia,209<br />
2014-2-23,13,8,4,6,4,4,100,79,48,1021,1018,1014,31,12,0,23,10,,0.00,6,Niebla,179<br />
2014-2-24,14,9,3,6,4,2,93,69,44,1014,1011,1010,31,26,26,23,11,,0.00,,,180<br />
2014-2-25,12,9,7,8,6,3,93,73,56,1011,1008,1006,31,16,5,34,16,52,3.05,6,Lluvia,202<br />
2014-2-26,11,8,4,5,4,1,93,79,43,1022,1017,1010,31,15,10,16,11,,0.00,5,,229<br />
2014-2-27,11,7,3,7,4,2,93,86,71,1022,1015,1010,31,13,4,27,13,53,10.92,6,Lluvia-Tormenta,212<br />
2014-2-28,10,7,3,6,4,2,100,87,56,1011,1000,996,31,13,4,23,11,,2.03,6,Lluvia,201<br />
2014-3-1,9,4,0,5,2,-1,93,82,50,1005,1002,1000,31,12,6,16,11,,0.51,5,Lluvia,294<br />
2014-3-2,11,4,-2,3,0,-3,100,72,40,1007,1002,990,31,11,6,26,8,42,2.03,6,Niebla,200<br />
2014-3-3,9,7,4,6,3,1,93,81,52,994,989,987,31,13,6,26,19,45,3.05,5,Lluvia,207<br />
2014-3-4,12,7,2,5,3,1,93,75,35,1011,1004,994,31,16,10,19,8,39,0.00,5,,274<br />
2014-3-5,12,6,-1,5,2,-1,100,72,31,1027,1020,1011,31,16,2,13,3,,0.00,2,Niebla,12<br />
2014-3-6,13,7,0,4,1,-2,100,66,23,1030,1027,1026,31,18,10,13,5,,0.00,,,137<br />
2014-3-7,16,8,0,4,2,-1,100,66,25,1029,1026,1024,18,9,3,11,3,,0.00,6,Niebla,249<br />
2014-3-8,17,10,2,5,3,1,93,60,29,1030,1027,1024,14,10,6,19,6,,0.00,,Niebla,98<br />
2014-3-9,21,13,4,4,3,1,81,52,18,1028,1026,1024,31,17,6,14,5,,0.00,,,144<br />
2014-3-10,19,11,3,8,4,1,96,64,21,1025,1024,1022,18,10,6,26,8,,0.00,,Niebla,3<br />
2014-3-11,16,11,7,7,6,6,93,73,43,1029,1027,1025,8,5,3,24,18,,0.00,5,,21<br />
2014-3-12,17,11,6,6,3,-1,87,59,20,1030,1028,1027,14,7,3,19,11,,0.00,,,51<br />
2014-3-13,18,10,2,6,3,1,100,64,25,1029,1028,1027,11,7,5,11,3,,0.00,,,15<br />
2014-3-14,19,12,4,8,5,3,100,66,24,1029,1027,1024,8,5,2,14,3,,0.00,2,Niebla,338<br />
2014-3-15,15,11,7,7,5,3,93,69,36,1029,1027,1026,31,8,1,26,14,,0.00,6,Niebla,309<br />
2014-3-16,19,11,4,9,6,3,100,69,34,1027,1025,1023,31,18,6,21,11,,0.00,2,,283<br />
2014-3-17,12,8,4,8,6,3,100,82,60,1025,1023,1021,26,11,3,13,8,,0.00,4,,300<br />
2014-3-18,14,9,4,7,6,3,100,76,48,1025,1020,1019,26,10,4,24,10,,0.00,6,,273<br />
2014-3-19,16,11,6,7,6,5,87,69,42,1029,1026,1024,26,16,10,21,11,,0.00,5,,236<br />
2014-3-20,20,11,3,7,5,3,100,62,26,1024,1016,1011,27,18,6,34,8,,0.00,,Niebla,211<br />
2014-3-21,14,11,8,9,4,0,88,64,30,1013,1011,1009,31,16,8,29,19,40,0.00,6,Lluvia,235<br />
2014-3-22,13,9,5,5,2,-1,87,61,27,1009,1005,1004,31,15,10,32,18,,0.00,5,Lluvia,231<br />
2014-3-23,12,7,2,4,2,-1,93,74,30,1014,1009,1006,31,15,10,23,14,,0.51,3,Lluvia-Tormenta,265<br />
2014-3-24,12,6,-1,3,-1,-3,100,65,27,1016,1014,1012,27,17,10,16,8,,0.00,3,,234<br />
2014-3-25,7,6,5,5,3,-2,93,79,46,1012,1008,1006,27,14,10,19,10,,2.03,7,Lluvia,145<br />
2014-3-26,11,7,2,2,0,-3,87,64,25,1015,1013,1009,19,14,10,24,13,,0.00,4,Lluvia,14<br />
2014-3-27,12,6,0,2,-1,-4,100,62,23,1014,1011,1009,19,11,3,16,6,,0.00,5,,91<br />
2014-3-28,16,9,2,2,-1,-3,75,49,16,1015,1013,1012,31,17,8,19,6,,0.00,,,100<br />
2014-3-29,21,13,6,4,2,1,71,47,16,1016,1014,1012,31,17,10,23,8,,0.00,,,119<br />
2014-3-30,18,11,5,7,4,1,72,51,27,1015,1014,1013,26,25,18,16,5,,0.00,,,154<br />
2014-3-31,18,12,6,8,7,5,93,66,39,1015,1013,1012,31,20,11,16,5,,0.00,8,,202<br />
