
CET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,4,2,-1,1,-1,-2,93,82,61,1016,1013,1010,26,16,3,14,11,,0.00,5,,160<br />
2014-1-2,7,4,1,3,1,-1,93,77,52,1011,1007,1005,26,15,10,21,14,,0.00,7,Lluvia,156<br />
2014-1-3,9,6,3,5,3,2,100,80,60,1011,1009,1007,31,21,10,21,11,,0.00,6,Lluvia,186<br />
2014-1-4,8,7,4,5,3,2,87,76,62,1012,1008,999,10,10,10,26,14,,0.00,7,Lluvia,158<br />
2014-1-5,7,4,2,6,4,1,100,87,66,1013,1005,998,31,14,10,19,11,,0.00,6,Lluvia,218<br />
2014-1-6,8,4,1,6,2,0,100,81,55,1013,1011,1009,31,19,10,23,13,,2.03,6,Lluvia,184<br />
2014-1-7,11,9,7,8,6,5,95,82,60,1015,1013,1009,31,14,10,26,18,,0.00,6,Lluvia,204<br />
2014-1-8,11,8,5,9,6,3,100,84,66,1018,1015,1013,31,12,6,37,14,55,3.05,6,Lluvia,228<br />
2014-1-9,12,8,4,8,6,3,93,83,61,1018,1008,1000,31,13,10,37,13,64,0.51,6,Lluvia,202<br />
2014-1-10,7,6,5,3,2,1,81,72,59,1015,1010,1003,31,11,10,40,31,55,0.00,6,Lluvia,260<br />
2014-1-11,8,6,3,4,2,0,93,76,48,1015,1013,1009,31,11,10,29,19,50,0.00,5,Lluvia,241<br />
2014-1-12,6,3,1,2,1,-1,93,78,61,1021,1018,1014,31,12,10,37,26,55,0.00,5,Lluvia,270<br />
2014-1-13,4,2,-1,2,1,-1,100,86,64,1019,1014,1011,26,14,9,23,10,,0.00,6,Niebla-Lluvia,166<br />
2014-1-14,6,4,3,3,3,2,93,86,74,1012,1009,1008,31,12,8,16,5,,0.00,6,,70<br />
2014-1-15,4,3,3,3,1,0,100,83,63,1012,1011,1009,14,8,5,16,6,,0.00,6,,73<br />
2014-1-16,4,2,2,3,2,1,100,94,86,1011,1007,1003,8,6,3,23,16,,3.05,7,Lluvia-Nieve,117<br />
2014-1-17,8,6,3,6,5,3,100,90,78,1006,1004,1003,31,12,5,13,8,,0.00,6,Lluvia,177<br />
2014-1-18,6,4,2,4,3,1,100,88,75,1009,1008,1006,26,14,6,27,11,,0.00,6,,120<br />
2014-1-19,2,-1,-3,3,-1,-4,100,91,83,1009,1008,1007,10,7,5,37,24,,0.00,8,Lluvia,76<br />
2014-1-20,-2,-2,-3,-3,-3,-4,100,92,83,1011,1008,1007,10,8,5,32,21,,0.76,8,Lluvia,68<br />
2014-1-21,-2,-3,-5,-3,-4,-6,93,90,84,1015,1012,1010,14,6,2,14,10,,2.03,7,Lluvia-Nieve,54<br />
2014-1-22,-4,-6,-6,-6,-7,-8,93,88,78,1021,1018,1015,14,7,5,21,14,,0.00,7,Nieve,70<br />
2014-1-23,-5,-6,-6,-7,-7,-8,93,85,77,1023,1020,1017,19,10,5,27,16,,0.00,7,,84<br />
