
CET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,10,8,5,8,4,3,93,80,63,1010,1005,995,31,14,5,40,24,61,0.25,4,Lluvia,188<br />
2014-1-2,9,8,7,8,6,4,87,80,67,1005,999,993,31,15,5,43,31,63,1.02,4,Lluvia,205<br />
2014-1-3,12,9,6,8,6,2,87,77,56,1007,1002,1000,31,14,4,37,26,63,5.08,4,Lluvia-Tormenta,205<br />
2014-1-4,10,8,6,7,5,2,87,78,55,1008,1001,994,31,17,6,35,24,,0.51,4,Lluvia,179<br />
2014-1-5,8,6,4,6,3,2,93,80,71,1010,1005,996,31,11,10,29,19,50,0.00,4,Lluvia,209<br />
2014-1-6,14,9,5,9,8,4,90,79,65,1006,1003,1002,31,10,5,40,32,61,0.25,5,Lluvia,206<br />
2014-1-7,13,11,9,7,6,5,82,72,57,1013,1010,1006,31,16,10,40,31,60,0.00,1,,209<br />
2014-1-8,11,9,8,8,7,5,93,81,66,1020,1016,1011,31,17,10,48,21,82,0.00,3,Lluvia,208<br />
2014-1-9,12,9,6,9,6,-22,94,77,4,1013,1008,1005,31,14,10,47,26,69,2.03,5,Lluvia,226<br />
2014-1-10,8,6,4,5,3,2,93,84,69,1019,1016,1013,26,13,10,23,18,,0.00,4,,226<br />
2014-1-11,8,4,2,5,3,1,93,85,68,1025,1018,1015,19,10,6,24,14,,0.00,5,Lluvia,236<br />
2014-1-12,6,3,0,2,-1,-2,93,79,47,1026,1021,1013,26,14,8,24,11,,0.00,1,,170<br />
2014-1-13,9,6,2,6,4,1,93,82,68,1013,1010,1006,31,14,10,29,21,,0.00,3,Lluvia,203<br />
2014-1-14,7,6,3,4,3,1,93,85,78,1010,1005,1002,31,13,3,21,16,,0.51,6,Lluvia,194<br />
2014-1-15,7,4,2,6,3,0,93,86,74,1010,1006,1001,31,14,5,29,18,,1.02,6,Lluvia,192<br />
2014-1-16,9,7,5,7,6,4,93,85,76,1002,998,996,31,13,6,26,19,39,3.05,5,Lluvia,187<br />
2014-1-17,9,8,6,6,4,3,93,76,60,1000,998,996,31,12,9,27,23,48,2.03,5,Lluvia,193<br />
2014-1-18,9,7,5,4,3,2,81,73,58,1001,998,996,31,21,10,23,14,,0.00,4,,146<br />
2014-1-19,10,8,5,6,4,2,87,74,61,1002,998,994,31,15,10,19,11,,0.00,5,,181<br />
2014-1-20,7,6,4,6,4,3,94,90,76,1010,1006,1002,26,9,3,23,8,,7.11,6,Lluvia,313<br />
2014-1-21,6,4,3,4,3,1,93,88,75,1014,1012,1010,14,7,4,18,6,,0.00,6,Lluvia,242<br />
2014-1-22,5,3,1,1,-1,-2,87,77,58,1014,1012,1011,31,18,10,19,13,,0.00,5,,177<br />
2014-1-23,6,3,2,4,2,0,93,86,74,1014,1012,1008,26,10,5,27,14,47,2.03,6,Lluvia,213<br />
2014-1-24,6,3,0,2,0,-2,93,79,54,1019,1016,1012,31,16,9,27,13,,0.00,2,Lluvia,216<br />
2014-1-25,6,3,0,4,0,-2,87,76,59,1019,1015,1007,31,17,3,37,14,77,3.05,6,Lluvia,196<br />
