
WET,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees<br />
2014-1-1,15,13,11,14,13,11,100,93,88,1021,1018,1016,10,9,3,34,19,48,0.00,6,Lluvia,229<br />
2014-1-2,16,16,15,15,14,13,100,93,88,1018,1016,1014,10,8,3,34,27,50,0.00,6,Lluvia,239<br />
2014-1-3,15,13,12,15,13,11,100,93,82,1021,1019,1017,10,9,3,27,18,,0.00,5,Lluvia,247<br />
2014-1-4,15,11,7,13,9,5,94,84,67,1025,1020,1015,10,9,3,47,27,71,0.00,2,Lluvia,265<br />
2014-1-5,16,12,8,13,12,6,94,90,82,1025,1022,1020,10,10,8,35,14,,0.00,5,,220<br />
2014-1-6,16,14,14,15,13,13,94,93,88,1019,1017,1015,10,7,2,40,27,48,0.00,6,Lluvia,210<br />
2014-1-7,15,14,14,14,14,12,100,96,88,1018,1016,1015,10,6,2,39,26,58,0.00,6,Lluvia,203<br />
2014-1-8,16,13,11,13,12,9,94,89,77,1017,1016,1015,10,10,10,23,14,32,0.00,6,,138<br />
2014-1-9,16,13,10,10,8,7,88,76,63,1017,1016,1015,,,,14,8,34,0.00,,,52<br />
2014-1-10,17,13,9,11,9,6,94,80,59,1016,1014,1013,,,,14,8,34,0.00,,,19<br />
2014-1-11,11,9,7,11,8,7,100,97,88,1020,1017,1015,10,5,0,13,8,,0.00,3,Niebla,36<br />
2014-1-12,16,12,8,15,11,8,100,95,77,1025,1022,1020,10,5,0,24,6,39,0.00,4,Niebla-Lluvia,264<br />
2014-1-13,14,11,9,9,8,5,94,80,55,1026,1025,1023,10,10,8,24,10,32,0.00,2,Lluvia,278<br />
2014-1-14,15,13,11,13,12,9,100,90,82,1023,1022,1021,10,10,6,26,14,,0.00,5,Lluvia,294<br />
2014-1-15,14,12,11,12,12,10,100,94,82,1022,1017,1012,10,9,2,24,10,,0.00,5,Lluvia,248<br />
2014-1-16,13,10,8,10,7,5,94,78,58,1014,1012,1009,10,10,10,21,11,39,0.00,1,Lluvia,268<br />
2014-1-17,12,9,6,9,8,6,100,91,76,1008,999,994,10,9,3,34,14,40,0.00,3,Lluvia-Tormenta,211<br />
2014-1-18,13,11,9,10,7,6,100,81,63,1001,998,993,10,10,6,24,14,45,0.00,3,Lluvia,299<br />
2014-1-19,13,11,8,9,6,4,100,74,54,1017,1007,993,10,10,7,32,19,53,0.00,2,Lluvia,334<br />
2014-1-20,14,10,7,9,7,5,93,81,63,1022,1020,1018,10,10,10,16,8,,0.00,3,,265<br />
2014-1-21,14,11,8,14,11,8,100,94,77,1021,1018,1015,10,7,1,35,10,,0.00,5,Niebla-Lluvia,260<br />
2014-1-22,14,12,10,11,8,3,100,82,51,1025,1020,1016,10,10,5,40,16,52,0.00,3,Lluvia,332<br />
2014-1-23,15,12,9,9,6,3,93,73,58,1032,1028,1025,10,10,10,34,21,47,0.00,1,,359<br />
2014-1-24,14,11,8,9,8,7,93,82,72,1033,1031,1030,10,10,10,29,13,50,0.00,5,,359<br />
2014-1-25,15,13,12,12,11,8,94,87,77,1032,1030,1029,10,10,10,27,19,48,0.00,5,,353<br />
2014-1-26,14,12,11,12,11,10,100,93,82,1030,1028,1025,10,10,10,24,14,,0.00,5,,331<br />
2014-1-27,14,12,10,13,8,4,100,77,51,1025,1022,1021,10,9,5,29,14,47,0.00,5,Lluvia,313<br />
2014-1-28,14,12,10,12,8,6,100,82,72,1021,1014,1006,10,9,3,26,14,55,0.00,5,Lluvia,276<br />
2014-1-29,13,10,8,8,6,4,87,79,67,1012,1007,1003,10,10,8,34,21,58,0.00,2,Lluvia,326<br />
2014-1-30,13,10,7,9,7,5,88,80,67,1018,1016,1012,10,10,10,24,11,32,0.00,2,Lluvia,339<br />
2014-1-31,15,13,11,12,11,9,94,91,77,1018,1016,1015,10,9,5,21,13,,0.00,5,Lluvia,282<br />
2014-2-1,13,10,8,12,8,4,100,80,54,1022,1019,1014,10,9,4,29,16,53,0.00,4,Lluvia,315<br />
2014-2-2,12,8,5,8,6,4,100,82,62,1023,1020,1014,10,10,10,32,8,,0.00,2,Lluvia,211<br />
