CET,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi—n al nivel del marhPa, Mean Presi—n al nivel del marhPa, Min Presi—n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r‡fagasKm/h,Precipitaci—nmm, CloudCover, Eventos,WindDirDegrees
2011-1-1,2,0,-1,2,0,-2,100,96,87,1025,1024,1023,8,4,2,13,6,,0.00,7,Lluvia,13
2011-1-2,4,1,-1,3,1,-3,100,89,75,1027,1025,1023,10,7,3,14,10,,0.00,6,,15
2011-1-3,4,1,-2,1,-1,-5,100,86,56,1027,1025,1022,10,10,8,13,5,,0.00,6,,275
2011-1-4,0,-1,-1,-1,-2,-2,100,93,87,1022,1018,1015,10,6,2,16,8,,0.00,6,,181
2011-1-5,6,2,-2,6,-1,-3,100,88,75,1015,1007,999,10,8,2,16,10,,0.00,6,Lluvia,171
2011-1-6,12,9,6,11,9,6,100,94,88,1003,999,997,10,8,3,32,23,52,0.00,6,Lluvia,213
2011-1-7,12,11,10,11,10,9,100,93,88,1005,1005,1003,10,10,3,19,14,,0.00,6,Lluvia,194
2011-1-8,13,11,10,9,8,6,94,82,71,1006,1005,1003,10,9,3,32,21,55,0.00,6,Lluvia,208
2011-1-9,9,4,1,8,4,1,100,88,66,1021,1013,1006,10,9,4,16,8,,0.00,5,Lluvia,285
2011-1-10,8,4,0,3,1,0,100,88,66,1021,1019,1013,10,10,9,21,6,,0.00,5,,184
2011-1-11,10,6,1,8,4,0,100,91,76,1019,1009,1004,10,9,3,24,16,,0.00,6,Lluvia,239
2011-1-12,12,8,5,11,7,3,100,92,81,1021,1019,1017,10,9,2,24,14,,0.00,6,Lluvia,225
2011-1-13,14,13,11,11,11,10,94,88,77,1019,1018,1017,10,10,10,27,19,39,0.00,6,,234
2011-1-14,12,10,9,10,8,7,94,86,77,1021,1018,1016,10,10,10,29,14,,0.00,5,Lluvia,221
2011-1-15,11,9,7,8,7,6,100,88,71,1025,1024,1021,10,10,10,24,14,,0.00,5,,212
2011-1-16,12,8,5,7,6,4,100,85,62,1025,1024,1022,10,9,2,14,8,,0.00,5,Niebla,184
2011-1-17,10,7,3,9,6,3,100,95,87,1025,1024,1022,10,6,0,19,8,,0.00,6,Niebla,203
2011-1-18,9,7,4,8,6,0,100,85,66,1031,1026,1023,10,9,5,23,14,,0.00,6,Lluvia,260
2011-1-19,6,3,0,3,1,-1,100,85,70,1034,1032,1031,10,9,6,13,8,,0.00,5,Lluvia,343
2011-1-20,5,3,1,3,1,-2,93,81,61,1033,1031,1030,10,10,9,27,16,,0.00,4,,11
2011-1-21,1,0,-1,-1,-2,-3,93,87,75,1035,1034,1033,10,9,7,24,16,,0.00,4,,23
2011-1-22,5,3,1,3,2,-1,93,89,81,1034,1031,1028,10,8,5,24,18,39,0.00,6,Lluvia,25
2011-1-23,6,4,3,4,3,2,100,90,81,1029,1028,1028,10,9,4,24,14,,0.00,6,Lluvia,30
2011-1-24,6,6,5,4,3,2,93,87,76,1028,1027,1025,10,10,10,19,14,,0.00,6,Lluvia,13
2011-1-25,7,3,1,5,3,0,100,89,71,1025,1020,1013,10,10,6,21,10,,0.00,6,,274
2011-1-26,6,4,3,4,3,2,100,94,87,1013,1008,1006,10,9,4,16,11,,0.00,6,Lluvia,196
2011-1-27,4,3,2,3,1,-2,100,86,70,1017,1014,1010,10,7,1,24,14,,0.00,6,,52
2011-1-28,2,0,-1,-2,-3,-5,86,75,65,1017,1017,1016,10,10,10,26,21,,0.00,7,,60
2011-1-29,1,-1,-2,-3,-3,-4,93,83,70,1018,1017,1016,10,9,5,23,14,,0.00,5,,39
2011-1-30,2,-1,-4,-3,-4,-5,100,86,65,1020,1018,1016,10,5,3,19,13,,0.00,2,,27
2011-1-31,0,-2,-5,-3,-4,-6,100,90,75,1027,1024,1021,6,4,2,14,10,,0.00,4,,24
2011-2-1,1,-3,-4,-1,-4,-6,100,90,80,1031,1029,1027,6,4,2,13,6,,0.00,7,,236
2011-2-2,3,1,-1,2,1,-1,100,97,93,1032,1031,1029,5,3,1,16,8,,0.00,7,,201
2011-2-3,8,6,3,7,4,2,100,95,87,1030,1029,1027,10,5,0,13,8,,0.00,7,Niebla-Lluvia,213
2011-2-4,10,7,4,7,6,3,100,88,76,1029,1028,1027,10,9,2,26,14,,0.00,6,,221
2011-2-5,11,10,9,7,6,5,82,77,71,1030,1029,1028,10,10,10,32,21,,0.00,6,,231
2011-2-6,10,8,5,6,4,4,93,78,71,1030,1029,1026,10,10,10,23,16,,0.00,6,,227
