EET,Temperatura m‡ximaC,Temperatura mediaC,Temperatura m’nimaC,Punto de roc’oC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presi—n al nivel del marhPa, Mean Presi—n al nivel del marhPa, Min Presi—n al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de r‡fagasKm/h,Precipitaci—nmm, CloudCover, Eventos,WindDirDegrees
2011-1-1,8,3,1,3,-1,-3,93,74,57,1022,1020,1018,10,6,4,19,11,,0.00,3,,241
2011-1-2,10,8,7,4,2,-1,71,62,47,1017,1016,1014,10,10,10,24,18,,0.00,5,,173
2011-1-3,10,8,5,8,4,0,93,77,54,1014,1012,1010,10,8,6,37,14,,0.00,6,Lluvia,9
2011-1-4,6,4,4,4,2,1,93,83,76,1023,1020,1014,10,7,6,40,31,,0.00,6,Lluvia,1
2011-1-5,8,7,5,1,-1,-3,76,62,53,1025,1024,1023,10,10,6,27,21,37,0.00,5,Lluvia,49
2011-1-6,6,2,1,3,0,-4,93,79,49,1027,1025,1024,10,10,8,26,13,,0.00,4,Lluvia,323
2011-1-7,10,6,1,4,2,0,100,78,50,1030,1029,1027,10,8,6,14,10,,0.00,2,,15
2011-1-8,9,4,1,4,1,-1,93,76,62,1029,1027,1025,8,5,4,13,6,,0.00,3,,308
2011-1-9,10,6,2,5,2,-1,93,75,54,1025,1024,1024,10,6,1,14,5,,0.00,3,Niebla,218
2011-1-10,11,7,3,7,3,1,93,76,58,1026,1025,1024,7,5,2,14,6,,0.00,,,358
2011-1-11,14,9,4,6,4,2,93,73,44,1025,1022,1020,10,8,5,13,10,,0.00,3,,38
2011-1-12,13,9,5,6,5,2,93,72,58,1020,1018,1017,6,6,6,23,10,,0.00,,,49
2011-1-13,11,8,6,7,6,4,93,80,67,1019,1017,1016,10,9,6,21,16,,0.00,3,,11
2011-1-14,10,8,6,7,6,4,93,82,66,1018,1017,1015,7,6,4,11,6,,0.00,3,,259
2011-1-15,10,8,5,8,6,3,93,87,76,1020,1018,1017,10,9,4,21,10,,0.00,5,,206
2011-1-16,10,9,8,9,7,5,94,87,76,1026,1020,1016,10,9,6,34,14,52,0.00,6,Lluvia,349
