KST,Temperatura máximaC,Temperatura mediaC,Temperatura mínimaC,Punto de rocíoC,MeanDew PointC,Min DewpointC,Max Humedad, Mean Humedad, Min Humedad, Max Presión al nivel del marhPa, Mean Presión al nivel del marhPa, Min Presión al nivel del marhPa, Max VisibilidadKm, Mean VisibilidadKm, Min VisibilidadkM, Max Velocidad del vientoKm/h, Mean Velocidad del vientoKm/h, Max Velocidad de ráfagasKm/h,Precipitaciónmm, CloudCover, Eventos,WindDirDegrees
2001-1-1,-1,-7,-12,-4,-11,-15,93,70,40,1023,1017,1012,8,6,1,23,10,0,0.00,4,Nieve,175
2001-1-2,-3,-7,-11,-4,-11,-18,93,69,43,1025,1018,1012,8,4,2,26,11,0,0.00,5,0,333
2001-1-3,-6,-10,-14,-16,-18,-21,67,53,35,1026,1025,1024,10,10,10,19,10,0,0.00,4,0,321
2001-1-4,-8,-12,-15,-18,-19,-21,72,54,38,1032,1030,1027,0,,0,19,10,0,0.00,0,,330
2001-1-5,-4,-10,-15,-13,-16,-22,79,64,28,1036,1034,1032,10,9,7,13,6,0,0.00,3,0,336
2001-1-6,1,-7,-13,-10,-13,-16,85,66,32,1037,1034,1029,7,6,4,13,5,0,0.00,3,0,357
2001-1-7,1,-1,-2,-1,-3,-15,93,82,30,1030,1019,1013,7,2,1,24,16,0,0.00,8,Niebla-Nieve,47
2001-1-8,4,-1,-5,-2,-3,-7,87,77,61,1025,1023,1019,8,6,4,21,13,0,0.00,5,0,15
2001-1-9,2,-3,-7,-1,-3,-13,93,84,63,1023,1017,1014,10,4,0,24,13,0,0.00,8,Niebla-Lluvia-Nieve,336
2001-1-10,-4,-9,-13,-6,-14,-21,86,58,26,1022,1018,1013,10,5,1,26,8,0,0.00,8,Nieve,293
2001-1-11,-3,-10,-17,-5,-17,-25,86,60,37,1025,1019,1013,10,7,2,26,14,0,0.00,4,Nieve,319
2001-1-12,-11,-16,-21,-19,-23,-25,78,55,38,1028,1026,1024,10,10,9,19,5,0,0.00,6,0,322
2001-1-13,-9,-13,-17,-18,-19,-22,78,59,38,1025,1022,1021,10,10,8,21,10,0,0.00,5,0,334
2001-1-14,-14,-17,-20,-22,-24,-27,78,59,47,1029,1026,1024,10,10,10,21,10,0,0.00,2,0,321
2001-1-15,-14,-19,-23,-22,-24,-27,78,60,43,1032,1031,1029,0,,0,14,8,0,0.00,0,,338
2001-1-16,-12,-17,-22,-21,-23,-25,85,63,41,1034,1032,1031,0,,0,14,6,0,0.00,0,,335
2001-1-17,-4,-12,-20,-8,-18,-23,85,65,35,1034,1031,1027,10,7,4,14,6,0,0.00,3,Nieve,40
2001-1-18,1,-3,-7,-5,-6,-9,86,77,65,1031,1028,1027,7,4,3,14,8,0,0.00,5,Nieve,321
2001-1-19,4,-3,-11,-3,-7,-13,93,81,45,1032,1028,1025,3,1,0,14,6,0,0.00,5,Niebla-Nieve,339
2001-1-20,1,-3,-7,-2,-3,-8,100,89,74,1024,1020,1018,3,1,0,13,5,0,0.00,7,Niebla-Lluvia-Nieve,329
2001-1-21,1,-7,-13,-4,-9,-15,93,79,35,1025,1023,1022,4,2,0,11,5,0,0.00,3,Niebla,352
2001-1-22,-1,-6,-9,-6,-9,-11,93,79,60,1028,1025,1024,9,2,1,14,8,0,0.00,4,Niebla,339
2001-1-23,-3,-8,-12,-10,-12,-15,79,68,54,1031,1029,1028,7,5,3,16,8,0,0.00,2,0,338
2001-1-24,3,-4,-12,-5,-9,-15,92,71,48,1030,1027,1024,8,5,3,14,8,0,0.00,4,0,3
2001-1-25,1,-2,-5,-5,-7,-9,86,67,55,1024,1020,1018,8,8,7,16,10,0,0.00,7,0,346
2001-1-26,2,0,-2,-6,-8,-9,69,56,44,1028,1019,1016,10,9,8,27,16,0,0.00,7,Nieve,75
2001-1-27,1,-1,-3,-3,-4,-7,93,82,60,1018,1017,1016,10,7,2,16,11,0,0.00,7,Nieve,337
2001-1-28,-1,-6,-11,-5,-10,-16,93,69,51,1025,1019,1016,10,9,5,27,11,0,0.00,2,0,313
2001-1-29,1,-7,-13,-5,-10,-16,86,69,48,1025,1023,1021,10,7,1,23,8,0,0.00,4,Nieve,205
2001-1-30,1,-4,-8,-6,-10,-16,93,69,30,1024,1023,1022,9,5,3,14,6,0,0.00,1,0,318
2001-1-31,2,-4,-9,0,-6,-12,93,77,60,1023,1017,1013,8,4,1,19,8,0,0.00,7,Niebla-Lluvia-Nieve,165
2001-2-1,-1,-6,-11,-4,-13,-19,80,59,36,1025,1020,1014,8,6,3,24,14,0,0.00,1,0,320
2001-2-2,-3,-9,-15,-5,-12,-18,93,72,42,1026,1024,1022,10,4,1,16,8,0,0.00,6,Niebla-Lluvia-Nieve,238
2001-2-3,0,-3,-7,-5,-8,-9,93,75,55,1028,1026,1024,8,6,4,16,8,0,0.00,5,0,330
2001-2-4,3,-2,-7,-4,-6,-9,86,75,60,1029,1027,1026,6,5,4,14,8,0,0.00,3,0,341
2001-2-5,3,-2,-7,-4,-6,-8,93,75,52,1027,1024,1020,7,4,3,19,8,0,0.00,3,0,345
2001-2-6,3,-1,-4,-3,-4,-6,86,75,60,1022,1020,1018,5,4,3,14,10,0,0.00,4,0,334
2001-2-7,-1,-6,-9,-5,-11,-16,80,58,37,1026,1022,1020,8,5,4,19,10,0,0.00,3,0,331
2001-2-8,-2,-7,-12,-6,-14,-20,86,57,31,1029,1027,1025,10,8,5,14,6,0,0.00,7,Nieve,305
2001-2-9,3,-3,-8,-2,-6,-9,93,75,52,1029,1026,1024,10,5,1,32,13,0,0.00,5,Nieve,220
2001-2-10,0,-4,-8,-7,-11,-17,86,60,31,1032,1030,1028,10,8,4,14,5,0,0.00,3,0,337
2001-2-11,-3,-7,-9,-13,-16,-20,58,43,31,1037,1035,1032,10,10,10,19,13,0,0.00,3,0,334
2001-2-12,-2,-6,-8,-14,-16,-20,63,48,28,1036,1033,1029,0,,0,21,13,0,0.00,0,,340
2001-2-13,-2,-6,-8,-12,-15,-17,68,50,31,1030,1027,1024,0,,0,19,11,0,0.00,0,,331
2001-2-14,-2,-6,-9,-10,-14,-18,74,53,34,1028,1026,1026,0,,0,19,10,0,0.00,0,,340
2001-2-15,1,-3,-7,-1,-5,-11,93,85,68,1029,1019,1014,10,2,0,32,11,0,0.00,7,Niebla-Nieve,170
2001-2-16,-4,-11,-17,-11,-15,-19,85,64,40,1033,1030,1023,9,7,5,16,10,0,0.00,0,0,302
2001-2-17,0,-6,-12,-4,-8,-15,85,72,60,1032,1028,1024,10,9,7,13,8,0,0.00,6,0,175
2001-2-18,5,2,-1,-1,-3,-4,87,73,57,1024,1021,1019,10,8,5,14,8,0,0.00,7,0,168
2001-2-19,4,0,-4,-1,-2,-5,93,83,52,1025,1024,1021,9,3,0,14,6,0,0.00,5,Niebla,333
