EST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees<br />
1/1/2010,27,21,14,20,17,10,93,76,58,1019,1016,1014,16,13,6,39,11,63,3.3,5,Rain,274<br />
1/2/2010,18,14,9,10,4,-2,89,58,27,1021,1019,1018,16,16,16,26,14,39,0,2,,338<br />
1/3/2010,17,13,8,4,2,-1,71,52,32,1020,1019,1017,16,16,16,23,11,35,0,5,,330<br />
1/4/2010,16,12,7,4,0,-5,66,46,25,1021,1019,1018,16,16,16,23,13,32,0,5,,312<br />
1/5/2010,16,11,6,5,3,-1,76,64,51,1024,1022,1020,16,16,16,27,10,39,0,3,,318<br />
1/6/2010,14,9,4,1,-1,-3,70,53,36,1025,1023,1022,16,16,16,24,11,35,0,0,,325<br />
1/7/2010,17,12,7,2,-1,-6,70,47,24,1025,1022,1021,16,16,16,14,5,21,0,4,,319<br />
1/8/2010,23,17,9,13,7,-2,73,58,42,1021,1019,1016,16,16,16,24,6,35,0,6,,238<br />
1/9/2010,17,11,3,14,6,-1,100,86,72,1024,1020,1016,16,11,3,32,16,48,11.18,8,Rain,326<br />
1/10/2010,9,6,2,1,-4,-7,85,58,31,1029,1026,1023,16,16,16,32,18,48,0,7,,326<br />
1/11/2010,17,9,2,3,0,-4,76,54,32,1030,1028,1026,16,16,16,23,12,35,0,2,,324<br />
1/12/2010,17,12,6,7,2,-3,71,52,32,1029,1026,1025,16,16,14,24,11,34,0,3,,320<br />
1/13/2010,19,14,8,5,2,-3,76,49,22,1028,1026,1024,16,16,16,11,11,14,0,6,,340<br />
1/14/2010,24,18,12,13,9,4,68,52,35,1026,1023,1022,16,16,16,23,8,27,0,6,,42<br />
1/15/2010,26,22,17,17,16,14,84,71,58,1022,1021,1019,16,16,16,32,16,45,0,4,,109<br />
1/16/2010,27,24,22,20,19,17,84,76,67,1020,1018,1017,16,16,16,40,22,56,T,4,,123<br />
1/17/2010,27,24,20,22,20,18,100,87,73,1017,1015,1014,16,15,4,39,17,48,7.11,6,Rain,216<br />
1/18/2010,25,21,17,18,14,12,93,71,49,1021,1018,1017,16,14,10,21,9,27,0,2,,277<br />
1/19/2010,21,18,14,14,12,12,86,72,57,1021,1019,1018,16,15,11,13,5,19,0,4,,309<br />
1/20/2010,27,20,13,20,14,12,93,68,42,1019,1017,1014,16,16,14,19,6,27,0,2,,111<br />
1/21/2010,28,25,22,23,21,19,93,79,65,1015,1013,1012,16,16,8,35,17,50,0,6,,155<br />
1/22/2010,30,27,23,23,22,20,100,80,59,1013,1012,1010,16,12,2,39,16,52,T,5,,226<br />
1/23/2010,28,26,22,22,21,20,93,79,65,1015,1013,1012,16,12,0,32,13,39,T,6,Fog-Rain,73<br />
1/24/2010,27,25,23,22,21,20,87,78,69,1015,1012,1010,16,16,11,39,22,58,T,5,Rain,130<br />
1/25/2010,28,22,16,23,19,9,94,73,52,1018,1012,1010,16,14,3,39,19,56,0.76,6,Rain,218<br />
1/26/2010,23,18,13,9,4,-2,77,49,20,1023,1021,1018,16,16,16,21,9,29,0,0,,337<br />
1/27/2010,23,18,13,13,10,6,77,62,46,1025,1024,1022,16,16,16,23,10,34,0,1,,19<br />
1/28/2010,25,20,15,14,13,12,84,69,53,1025,1023,1021,16,16,16,24,10,40,0,3,,58<br />
1/29/2010,26,23,19,17,16,14,73,65,56,1021,1018,1015,16,16,16,27,14,35,0,5,,110<br />
1/30/2010,28,25,22,21,20,17,87,75,63,1015,1014,1012,16,16,16,29,15,45,0,7,,172<br />
1/31/2010,23,22,20,21,19,16,93,81,68,1018,1015,1012,16,15,10,24,12,29,0.25,8,Rain,8<br />
2/1/2010,24,22,20,22,20,18,93,86,79,1019,1017,1016,16,9,1,26,14,34,73.66,8,Rain,76<br />
2/2/2010,28,25,21,21,20,19,93,76,58,1016,1014,1012,16,15,2,26,8,35,7.11,6,Rain-Thunderstorm,221<br />
2/3/2010,26,22,18,19,17,15,90,75,60,1019,1017,1015,16,15,11,24,12,32,0,5,,21<br />
2/4/2010,26,22,18,17,16,16,87,73,58,1020,1018,1016,16,16,16,29,16,39,0,4,,74<br />
2/5/2010,28,26,22,22,21,17,87,75,63,1015,1012,1009,16,16,11,32,20,48,2.03,7,Rain,165<br />
2/6/2010,26,21,15,21,16,10,93,69,45,1013,1010,1008,16,16,16,40,18,52,0,4,,277<br />
2/7/2010,19,16,13,11,8,6,77,61,45,1016,1014,1012,16,16,16,26,11,37,0,2,,325<br />
2/8/2010,22,16,11,13,10,7,83,65,47,1019,1017,1015,16,16,14,24,10,34,0,4,,58<br />
2/9/2010,26,22,17,21,17,13,84,72,60,1016,1013,1011,16,16,11,32,17,45,0.25,6,Rain,164<br />
2/10/2010,21,16,11,17,8,1,84,58,32,1017,1014,1011,16,16,16,34,16,47,0,3,,316<br />
2/11/2010,19,13,8,4,1,-6,76,48,19,1019,1016,1013,16,16,16,24,8,35,0,3,,331<br />
2/12/2010,26,20,13,19,13,3,100,74,47,1013,1008,1002,16,15,10,32,14,79,11.68,6,Rain-Thunderstorm,222<br />
2/13/2010,19,15,11,13,7,3,77,62,46,1017,1013,1008,16,16,16,34,15,48,0,4,,315<br />
2/14/2010,17,12,7,7,3,1,76,59,42,1020,1018,1016,16,16,4,21,9,27,0,5,,326<br />
2/15/2010,23,18,12,13,11,7,89,69,49,1017,1015,1013,16,16,11,24,9,40,0,6,,246<br />
2/16/2010,19,16,12,14,8,4,84,61,37,1019,1016,1014,16,16,11,26,13,37,0.51,6,Rain,301<br />
2/17/2010,18,14,9,8,6,4,77,63,48,1021,1018,1016,16,16,16,27,13,47,0,5,,302<br />
2/18/2010,19,15,11,7,4,2,77,56,34,1022,1021,1020,16,16,16,24,7,37,0,6,,322<br />
2/19/2010,20,15,10,6,2,-2,66,46,26,1023,1021,1019,16,16,16,14,5,23,0,8,,340<br />
2/20/2010,24,19,13,12,9,3,63,51,39,1021,1020,1018,16,16,16,23,5,40,T,3,Rain,103<br />
2/21/2010,25,20,15,17,13,11,81,62,43,1019,1017,1015,16,16,16,26,11,39,0.51,5,Rain,112<br />
2/22/2010,23,21,19,20,18,16,93,86,79,1014,1009,1007,16,13,8,37,18,50,5.59,7,Rain,158<br />
2/23/2010,28,23,17,21,19,17,100,78,55,1009,1007,1006,16,12,0,19,6,26,T,7,Fog-Rain,182<br />
2/24/2010,28,22,16,22,20,13,93,80,67,1010,1007,1003,16,14,2,32,11,47,13.72,7,Rain,203<br />
2/25/2010,18,14,11,12,6,3,84,61,37,1019,1015,1010,16,16,16,32,16,48,0,3,,300<br />
2/26/2010,20,14,8,7,1,-4,77,48,19,1019,1017,1015,16,16,16,24,9,32,0,3,,304<br />
2/27/2010,24,17,10,15,11,6,100,75,49,1015,1011,1007,16,14,3,40,12,53,4.06,5,Rain,276<br />
2/28/2010,20,15,10,11,6,2,100,67,34,1018,1016,1013,16,16,16,26,13,39,0,2,,312<br />
3/1/2010,21,16,9,13,9,3,83,60,37,1019,1016,1012,16,16,16,24,10,34,0,4,,127<br />
3/2/2010,26,21,16,21,16,11,87,69,50,1011,1008,1005,16,15,4,42,20,56,3.56,5,Rain,219<br />
3/3/2010,19,16,12,11,7,6,72,58,44,1016,1013,1009,16,16,16,34,19,45,0,3,,288<br />
