WAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,28,20,12,-1,-7,-16,38,15,5,1021,1019,1015,10,9,8,32,24,,0.00,,,113
2015-1-2,25,18,10,-4,-15,-25,35,9,4,1022,1020,1018,10,10,10,37,24,,0.00,,,100
2015-1-3,24,17,9,-4,-7,-8,32,16,5,1044,1023,1019,10,6,3,32,18,,0.00,,,100
2015-1-4,23,17,12,-3,-9,-12,35,14,4,1024,1022,1021,10,8,6,39,31,,0.00,,,103
2015-1-5,23,17,10,-3,-5,-9,37,19,7,1023,1021,1019,10,10,10,34,23,,0.00,,,106
2015-1-6,24,17,8,1,-3,-4,43,23,8,1022,1020,1018,10,9,8,39,26,,0.00,,,102
2015-1-7,23,17,10,2,-3,-21,30,20,9,1023,1021,1020,10,4,2,53,34,,0.00,0,,106
2015-1-8,23,18,12,4,0,-4,44,26,14,1025,1023,1021,10,3,1,60,42,,0.00,,,101
2015-1-9,24,19,14,1,-2,-4,31,20,11,1026,1024,1022,10,4,2,53,37,,0.00,,,100
2015-1-10,24,19,13,-1,-3,-5,33,19,7,1026,1024,1018,5,4,3,55,34,,0.00,,,96
2015-1-11,22,18,14,1,0,-1,38,26,13,1026,1023,1021,10,7,3,55,42,,0.00,,,100
2015-1-12,24,16,8,2,0,-2,58,28,11,1024,1022,1019,10,10,10,47,26,,0.00,,,99
2015-1-13,26,17,7,1,-1,-3,47,23,9,1022,1020,1015,10,10,10,47,26,,0.00,,,97
2015-1-14,25,18,11,8,2,0,63,29,11,1022,1020,1016,10,7,5,55,29,,0.00,,,103
2015-1-15,26,19,12,3,0,-2,51,24,8,1023,1021,1018,10,10,10,42,26,,0.00,,,101
2015-1-16,26,18,11,-2,-4,-6,38,18,6,1022,1020,1018,10,10,10,42,27,,0.00,,,103
2015-1-17,26,18,10,2,-6,-11,38,18,4,1021,1019,1015,10,9,6,48,26,,0.00,,,100
2015-1-18,27,19,11,-1,-5,-8,36,17,4,1021,1019,1015,5,4,2,37,23,,0.00,,,93
2015-1-19,28,19,11,-3,-9,-14,33,12,4,1017,1015,1012,6,6,5,29,16,,0.00,,,109
2015-1-20,32,23,15,1,-4,-7,25,13,5,1015,1013,1009,8,6,5,19,10,,0.00,8,,172
2015-1-21,33,24,16,3,-3,-7,24,14,5,1017,1015,1012,10,7,5,14,10,,0.00,0,,85
