AKST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-19,-21,-22,-21,-23,-24,0,0,0,1033,1031,1029,16,15,5,45,31,52,0.00,4,,107
2015-1-2,-21,-22,-23,-22,-24,-26,0,0,0,1035,1034,1033,16,13,2,29,15,31,0.00,4,,139
2015-1-3,-21,-24,-28,-23,-27,-31,0,0,0,1035,1034,1032,16,16,16,19,10,21,0.00,1,,149
2015-1-4,-21,-25,-29,-23,-27,-32,0,0,0,1032,1029,1026,16,16,16,23,16,26,0.00,4,,119
2015-1-5,-8,-18,-27,-9,-16,-26,0,0,0,1043,1031,1027,16,8,1,34,20,39,T,6,Fog-Snow,262
2015-1-6,-16,-22,-27,-18,-22,-29,0,0,0,1049,1048,1043,16,16,11,21,11,24,0.00,1,,54
2015-1-7,-23,-26,-29,-26,-29,-32,0,0,0,1048,1044,1036,16,16,16,26,16,29,0.00,2,,106
2015-1-8,-17,-21,-25,-21,-23,-28,0,0,0,1036,1024,1015,16,16,16,40,29,50,0.00,1,,76
2015-1-9,-12,-17,-21,-14,-19,-23,0,0,0,1015,1011,1010,16,16,16,29,17,37,0.00,6,,58
2015-1-10,-13,-19,-24,-17,-21,-26,0,0,0,1031,1023,1015,16,16,16,35,24,43,0.00,4,,2
2015-1-11,-24,-26,-28,-27,-28,-29,0,0,0,1031,1027,1025,16,16,16,23,18,26,0.00,0,,60
2015-1-12,-26,-27,-29,-28,-30,-31,0,0,0,1027,1026,1025,16,16,11,23,17,26,0.00,0,,62
2015-1-13,-25,-27,-28,-27,-29,-31,87,82,75,1026,1024,1023,16,15,3,21,18,,0.00,0,,58
2015-1-14,-23,-26,-29,-26,-28,-31,0,0,0,1023,1017,1011,16,13,4,35,22,40,0.00,3,,57
2015-1-15,-22,-23,-24,-24,-26,-27,0,0,0,1011,1005,998,16,8,2,42,31,52,0.00,5,Snow,46
2015-1-16,-22,-23,-24,-25,-26,-27,0,0,0,1001,1000,998,16,11,3,50,34,58,0.00,4,Snow,57
2015-1-17,-21,-22,-23,-24,-25,-26,0,0,0,1002,1001,1000,16,6,2,52,42,63,T,8,Snow,63
2015-1-18,-22,-23,-23,-23,-24,-26,0,0,0,1011,1006,1001,14,4,2,45,29,50,3.30,8,Snow,81
2015-1-19,-22,-26,-31,-24,-28,-33,0,0,0,1016,1014,1011,16,9,3,32,20,37,0.51,4,Snow,114
2015-1-20,-18,-22,-25,-19,-23,-27,0,0,0,1014,1008,1006,16,13,3,39,23,47,T,5,Snow,120
2015-1-21,-16,-22,-27,-18,-23,-28,0,0,0,1006,1005,1004,16,9,2,19,10,19,1.78,7,Snow,93
2015-1-22,-19,-23,-26,-23,-25,-27,0,0,0,1009,1008,1006,16,14,2,13,4,18,T,7,Snow,108
2015-1-23,-19,-24,-29,-23,-28,-32,0,0,0,1014,1010,1008,14,10,5,34,25,43,T,6,Snow,312
2015-1-24,-27,-28,-30,-29,-32,-33,0,0,0,1017,1016,1015,16,12,6,32,24,35,T,4,Snow,285
2015-1-25,-26,-28,-30,-28,-31,-32,0,0,0,1021,1020,1016,16,11,2,34,24,40,T,3,Snow,279
2015-1-26,-26,-28,-30,-29,-31,-33,0,0,0,1023,1022,1020,16,12,4,35,25,40,T,3,Snow,286
2015-1-27,-23,-25,-27,-26,-27,-29,0,0,0,1030,1026,1023,16,15,11,37,26,45,0.00,7,,280
2015-1-28,-25,-30,-34,-27,-32,-38,0,0,0,1034,1033,1031,16,16,8,19,10,21,0.00,1,,242
2015-1-29,-23,-28,-34,-27,-33,-37,0,0,0,1036,1034,1029,16,14,3,27,12,32,0.00,2,,184
2015-1-30,-8,-15,-23,-9,-13,-26,0,0,0,1028,1021,1018,16,7,1,60,38,69,1.02,7,Snow,223
2015-1-31,-12,-19,-27,-14,-21,-27,0,0,0,1035,1031,1023,16,15,10,42,22,48,0.00,1,Snow,264
2015-2-1,-14,-18,-22,-16,-18,-23,0,0,0,1034,1025,1013,16,14,4,35,22,39,0.25,8,Snow,126
2015-2-2,-9,-13,-18,-10,-13,-19,0,0,0,1020,1015,1011,16,13,3,34,22,37,T,8,Snow,292
2015-2-3,-17,-23,-29,-19,-23,-32,0,0,0,1032,1022,1018,16,12,3,40,26,48,T,5,Snow,291
2015-2-4,-29,-33,-36,-32,-34,-36,0,0,0,1037,1035,1032,16,15,11,16,8,19,0.00,0,,354
2015-2-5,-20,-29,-38,-23,-31,-37,0,0,0,1037,1028,1022,16,15,8,34,20,40,0.00,5,Snow,154
2015-2-6,-20,-25,-29,-26,-30,-33,0,0,0,1024,1022,1020,16,7,1,42,32,52,T,6,Snow,304
2015-2-7,-20,-24,-27,-22,-25,-29,0,0,0,1032,1027,1023,16,8,2,35,23,39,0.51,7,Snow,324
2015-2-8,-27,-31,-34,-29,-32,-36,0,0,0,1034,1033,1032,16,15,2,19,7,21,0.00,1,,318
2015-2-9,-25,-29,-33,-29,-33,-36,0,0,0,1033,1031,1030,16,16,11,19,11,19,0.00,3,,215
2015-2-10,-27,-31,-34,-30,-33,-36,0,0,0,1035,1034,1033,16,16,8,19,11,19,0.00,1,,52
2015-2-11,-29,-31,-32,-33,-34,-36,0,0,0,1033,1029,1027,16,16,14,24,19,29,0.00,0,,56
2015-2-12,-27,-28,-30,-31,-32,-33,0,0,0,1028,1027,1026,16,16,11,24,19,29,0.00,0,,40
2015-2-13,-28,-31,-33,-32,-34,-36,0,0,0,1026,1025,1025,16,16,16,26,19,32,0.00,0,,48
2015-2-14,-29,-32,-33,-33,-34,-37,0,0,0,1037,1031,1026,16,16,16,23,18,26,0.00,0,,51
2015-2-15,-25,-28,-32,-29,-32,-35,0,0,0,1039,1038,1033,16,15,5,32,20,37,0.00,1,,64
2015-2-16,-20,-23,-26,-23,-24,-28,0,0,0,1032,1021,1009,16,14,6,39,30,45,0.00,2,Snow,61
2015-2-17,-18,-20,-22,-20,-22,-23,0,0,0,1008,1005,1003,16,14,5,29,16,34,0.00,5,,74
2015-2-18,-16,-17,-19,-17,-18,-20,0,0,0,1004,1003,1003,16,6,0,16,9,21,0.25,8,Fog-Snow,85
2015-2-19,-6,-13,-20,-7,-13,-21,0,0,0,1019,1009,1003,16,9,1,39,24,48,T,7,Snow,224
2015-2-20,-14,-18,-21,-17,-19,-23,0,0,0,1027,1023,1020,16,15,4,26,15,31,T,7,Snow,284
2015-2-21,-17,-18,-19,-19,-20,-22,0,0,0,1026,1023,1021,16,12,3,37,24,45,1.02,8,Snow,44
2015-2-22,-17,-18,-19,-20,-21,-22,0,0,0,1021,1021,1019,16,9,3,48,38,56,0.00,8,Snow,74
2015-2-23,-16,-18,-20,-18,-21,-22,0,0,0,1019,1015,1014,16,5,1,53,37,60,T,7,Snow,91
2015-2-24,-8,-13,-18,-10,-17,-19,0,0,0,1018,1016,1015,16,9,0,42,21,52,T,6,Fog-Rain-Snow,162
2015-2-25,-6,-10,-14,-6,-8,-17,0,0,0,1018,1013,1012,16,3,0,60,44,69,0.51,7,Snow,205
2015-2-26,-2,-4,-7,-2,-5,-7,0,0,0,1011,1009,1007,16,5,1,48,28,53,2.03,8,Snow,213
2015-2-27,-1,-9,-17,-2,-12,-18,0,0,0,1021,1014,1007,16,8,3,52,28,61,0.76,7,Snow,237
2015-2-28,-6,-16,-27,-6,-17,-29,0,0,0,1026,1009,999,16,5,0,56,30,68,1.27,6,Snow,246
2015-3-1,-24,-26,-27,-27,-28,-29,0,0,0,1038,1033,1026,16,9,3,48,23,56,0.00,3,Snow,248
2015-3-2,-17,-21,-24,-18,-21,-27,0,0,0,1033,1021,1010,16,6,2,53,38,61,0.00,7,Snow,104
2015-3-3,-9,-13,-17,-11,-14,-18,0,0,0,1009,1003,1000,16,6,1,45,26,53,2.54,7,Snow,235
2015-3-4,-17,-20,-23,-19,-23,-26,0,0,0,1015,1012,1007,16,13,4,45,21,52,0.00,3,Snow,301
2015-3-5,-21,-25,-28,-23,-25,-30,0,0,0,1016,1016,1015,16,10,3,21,16,27,1.52,6,Snow,70
2015-3-6,-22,-25,-27,-24,-27,-29,0,0,0,1016,1013,1005,16,11,1,24,9,27,0.25,3,Fog-Snow,86
2015-3-7,-21,-23,-24,-17,-24,-27,0,0,0,1011,1005,1000,16,11,3,29,22,29,0.25,7,Snow,22
2015-3-8,-24,-27,-29,-27,-29,-31,0,0,0,1022,1017,1011,16,15,1,24,17,39,0.00,5,,303
2015-3-9,-23,-27,-31,-26,-28,-33,0,0,0,1034,1028,1022,16,15,6,27,19,34,T,4,Snow,296
2015-3-10,-26,-31,-34,-31,-33,-36,90,81,77,1036,1035,1035,16,16,16,16,11,,0.00,2,,275
