+05,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-21,-24,-28,-23,-26,-30,84,79,59,1013,1007,1006,10,8,3,21,10,,0.00,8,Snow,296
2015-1-2,-19,-26,-33,-24,-31,-37,84,76,55,1016,1011,1008,10,7,3,11,5,,0.00,2,Fog,189
2015-1-3,-9,-19,-27,-11,-24,-37,93,81,66,1016,1005,994,10,9,3,26,10,32,1.02,7,Snow,133
2015-1-4,-2,-8,-14,-2,-6,-12,100,91,77,997,993,991,10,9,3,21,14,32,0.00,8,Snow,189
2015-1-5,-1,-3,-6,-3,-4,-7,100,92,73,1001,998,996,19,10,6,14,10,,0.00,7,Snow,182
2015-1-6,-4,-5,-6,-4,-5,-7,100,91,66,1005,1000,995,19,9,2,18,11,26,2.03,8,Snow,171
2015-1-7,-11,-13,-17,-4,-12,-19,100,86,62,1014,1005,996,19,8,3,26,11,,0.25,8,Snow,270
2015-1-8,-22,-26,-30,-20,-28,-33,84,74,47,1018,1012,1008,10,8,5,21,16,,0.00,4,Snow,261
2015-1-9,-21,-24,-27,-23,-27,-33,84,78,53,1012,1006,1004,10,8,3,26,8,,0.00,8,Snow,201
2015-1-10,-12,-18,-23,-16,-22,-28,85,78,58,1014,1010,1007,19,10,3,18,10,,0.25,8,Snow,163
2015-1-11,-6,-9,-13,-9,-11,-15,86,82,63,1016,1013,1011,10,10,7,21,13,,0.00,8,Snow,153
2015-1-12,-12,-14,-16,-11,-16,-18,86,78,58,1016,1011,1007,10,10,7,32,18,,0.00,8,Snow,141
2015-1-13,-5,-9,-14,-6,-12,-17,100,87,67,1010,1002,997,10,7,1,26,14,,4.06,8,Snow,162
2015-1-14,-2,-5,-8,-4,-6,-10,100,89,61,1007,1003,1000,10,10,10,21,10,,0.00,7,Snow,180
2015-1-15,1,-2,-5,-1,-3,-7,100,86,62,1016,1008,1005,19,9,3,35,16,40,0.51,8,Snow,231
2015-1-16,0,-1,-2,0,-2,-5,100,93,63,1017,1012,1011,10,7,1,21,11,,2.03,8,Snow,205
2015-1-17,-4,-6,-7,-1,-5,-8,100,89,74,1022,1016,1011,19,9,6,21,13,,0.25,8,Snow,278
2015-1-18,0,-3,-6,-6,-8,-11,93,74,32,1021,1014,1006,19,11,10,26,13,32,0.00,8,Snow,201
2015-1-19,-4,-6,-7,-6,-7,-11,93,83,40,1011,1008,1006,19,10,10,32,24,50,0.00,8,Snow,244
2015-1-20,-10,-12,-14,-6,-13,-18,93,75,45,1015,1011,1007,19,9,3,32,14,,0.00,7,Snow,294
2015-1-21,-9,-12,-15,-12,-15,-18,85,77,54,1018,1012,1009,19,9,3,50,26,68,0.00,6,Snow,269
2015-1-22,-14,-17,-20,-14,-18,-23,92,79,51,1031,1019,1011,10,7,2,26,16,26,0.00,7,Snow,315
2015-1-23,-17,-21,-26,-22,-24,-28,84,75,45,1043,1035,1028,10,9,6,26,13,,0.00,3,,283
2015-1-24,-17,-21,-25,-22,-26,-28,84,74,50,1048,1041,1038,19,10,5,21,13,,0.00,4,Fog,262
2015-1-25,-11,-16,-21,-15,-21,-31,85,75,40,1048,1040,1036,10,9,5,29,8,,0.00,6,Fog-Snow,202
2015-1-26,-9,-12,-15,-14,-17,-19,85,69,35,1041,1034,1031,19,10,3,32,18,,0.00,7,Snow,250
2015-1-27,-7,-10,-13,-18,-21,-24,57,41,16,1034,1030,1028,10,10,10,29,19,,0.00,8,,246
2015-1-28,-8,-11,-14,-18,-21,-24,52,41,18,1032,1025,1020,10,10,10,29,19,35,0.00,,,222
2015-1-29,-7,-11,-14,-17,-21,-24,53,39,11,1024,1021,1019,10,10,10,29,21,40,0.00,8,,213
2015-1-30,-7,-12,-18,-11,-16,-23,92,75,43,1025,1022,1020,10,9,7,14,10,,0.00,7,,180
2015-1-31,-7,-13,-21,-12,-17,-23,92,78,42,1028,1024,1022,19,8,5,11,3,,0.00,5,Fog,149
2015-2-1,-3,-13,-23,-10,-17,-25,92,79,47,1029,1026,1025,19,8,2,11,3,,0.00,3,,156
2015-2-2,-1,-8,-15,-10,-13,-18,92,63,23,1029,1025,1021,19,11,10,21,6,35,0.00,7,,153
2015-2-3,1,-2,-6,-4,-10,-16,69,56,23,1024,1020,1017,10,10,10,29,14,47,0.00,8,,152
2015-2-4,-4,-8,-12,-9,-11,-15,85,69,36,1025,1022,1021,19,12,10,21,10,,0.00,8,,125
2015-2-5,-6,-8,-10,-10,-12,-14,86,70,45,1025,1019,1014,19,11,10,29,16,40,0.00,8,,141
2015-2-6,-3,-6,-9,-5,-8,-13,93,83,56,1016,1013,1012,19,10,2,35,13,32,0.00,7,Snow,181
2015-2-7,-4,-9,-14,-7,-11,-17,100,85,54,1015,1009,1001,10,8,2,18,8,,0.51,7,Snow,154
2015-2-8,-6,-11,-16,-8,-12,-17,100,88,68,1003,999,997,19,7,0,18,11,,0.00,8,Fog-Snow,133
2015-2-9,-6,-13,-20,-9,-15,-21,92,83,46,1006,1002,999,19,7,0,21,6,,0.00,7,Fog-Snow,209
2015-2-10,-5,-7,-9,-9,-10,-12,86,77,52,1013,1008,1004,19,10,3,29,19,,0.00,7,Snow,226
2015-2-11,-4,-7,-9,-6,-10,-14,86,78,49,1012,1006,998,19,10,10,35,24,55,0.00,8,Snow,239
2015-2-12,-1,-4,-7,-3,-6,-9,93,82,47,1011,1005,998,19,9,3,40,27,58,0.00,7,Rain-Snow,264
2015-2-13,-2,-3,-3,-3,-4,-6,93,86,71,1010,1006,1004,19,9,2,43,31,61,0.00,8,Snow,251
2015-2-14,-3,-6,-8,-4,-9,-12,86,72,38,1020,1015,1009,10,10,10,40,24,,0.00,4,Snow,269
2015-2-15,-4,-7,-9,-6,-9,-15,100,84,63,1022,1013,1007,10,9,7,29,11,29,0.51,8,Snow,208
2015-2-16,-9,-12,-14,-9,-12,-17,93,83,53,1024,1014,1008,10,8,2,26,11,29,1.02,8,Snow,349
2015-2-17,-10,-18,-27,-18,-22,-30,85,69,24,1032,1026,1022,10,8,7,26,10,,0.00,4,,283
2015-2-18,-7,-11,-15,-13,-17,-19,79,70,42,1029,1023,1020,10,10,10,32,21,,0.00,5,Snow,255
2015-2-19,-3,-11,-19,-15,-19,-21,92,60,14,1023,1019,1016,10,10,10,14,10,,0.00,8,,183
2015-2-20,-8,-12,-18,-15,-19,-23,85,59,26,1019,1011,1007,10,10,10,18,8,,0.00,6,,130
2015-2-21,-5,-11,-16,-7,-12,-22,93,84,62,1010,1006,1005,19,10,3,29,11,,0.00,8,Snow,227
2015-2-22,1,-3,-7,-1,-4,-8,93,88,71,1022,1014,1008,19,10,10,29,21,,0.00,8,Snow,254
2015-2-23,2,-1,-4,-2,-4,-7,93,79,44,1023,1020,1019,10,10,10,26,16,,0.00,8,,236
2015-2-24,1,-1,-3,-1,-3,-7,93,81,60,1032,1024,1019,10,10,7,32,19,,0.00,8,Snow,273
2015-2-25,2,-4,-10,-3,-6,-11,100,82,50,1036,1032,1031,19,10,0,26,11,,0.00,5,Fog,240
2015-2-26,6,0,-5,0,-5,-8,93,73,33,1036,1033,1031,19,11,10,26,16,,0.00,8,,271
2015-2-27,2,1,-1,-5,-6,-9,75,60,32,1035,1031,1029,19,13,10,32,16,,0.00,8,,259
2015-2-28,3,-3,-8,-5,-7,-10,86,71,30,1036,1033,1030,10,8,7,18,10,,0.00,4,,229
2015-3-1,7,-4,-15,-8,-12,-18,85,61,10,1035,1031,1029,19,13,10,6,3,,0.00,3,Fog,100
2015-3-2,7,-4,-15,-8,-13,-17,92,60,9,1032,1028,1026,19,8,5,11,2,,0.00,4,,87
2015-3-3,4,-7,-18,-5,-11,-20,92,74,26,1029,1026,1024,10,5,0,14,5,,0.00,1,Fog,96
