CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,8,4,0,-1,-6,-10,57,46,28,1033,1032,1030,26,22,14,24,11,42,0.00,,,328
2015-1-2,12,6,-2,3,0,-3,93,71,36,1033,1031,1030,31,15,8,10,5,,0.00,1,,108
2015-1-3,8,5,2,6,4,1,93,86,70,1030,1027,1021,11,8,6,8,2,,0.00,5,Rain,295
2015-1-4,15,11,6,10,5,-5,93,73,20,1027,1021,1019,14,5,3,23,5,,0.00,5,,300
2015-1-5,12,6,0,-1,-3,-5,81,56,19,1032,1028,1026,31,17,10,11,5,,0.00,2,,118
2015-1-6,12,4,-3,5,1,-4,100,82,49,1027,1025,1023,19,10,8,6,2,,0.00,3,,358
2015-1-7,11,6,1,7,4,2,100,87,68,1031,1029,1027,10,7,4,3,2,,0.00,5,,303
2015-1-8,14,9,3,8,7,3,100,84,52,1034,1032,1031,14,8,4,8,3,,0.00,4,Fog,263
2015-1-9,12,9,7,9,8,6,100,89,76,1034,1031,1027,10,9,7,10,5,,0.00,5,,94
2015-1-10,13,11,8,11,9,8,94,85,75,1028,1024,1021,10,9,6,10,5,,0.00,6,,136
2015-1-11,13,9,6,12,8,-9,100,85,12,1024,1018,1014,19,8,5,21,3,42,0.25,5,Fog-Rain,30
2015-1-12,15,8,1,2,-3,-10,87,49,12,1032,1029,1024,26,22,19,23,11,,0.00,,,86
2015-1-13,15,7,-1,6,3,-1,100,81,46,1032,1029,1025,19,10,8,10,2,,0.00,3,,265
2015-1-14,12,9,6,10,7,5,100,90,67,1025,1022,1020,9,7,3,14,3,,0.51,5,Rain,63
2015-1-15,16,11,6,9,7,5,94,81,42,1023,1021,1020,31,10,6,19,6,,0.00,3,Rain,82
2015-1-16,13,8,4,10,8,4,100,84,69,1021,1017,1014,19,10,5,21,10,,2.03,5,Rain,91
2015-1-17,13,10,7,11,8,6,100,80,65,1018,1015,1012,19,10,4,23,10,,9.91,5,Rain,179
2015-1-18,13,8,2,7,4,1,100,83,43,1019,1016,1014,26,12,10,10,5,,0.00,2,,79
2015-1-19,11,4,-2,4,1,-2,100,85,48,1015,1013,1011,19,11,8,8,2,,0.00,1,Fog,40
2015-1-20,12,7,1,5,3,0,100,80,51,1012,1009,1008,26,10,8,13,3,,0.00,3,,238
2015-1-21,12,9,5,8,7,5,100,88,61,1010,1009,1008,19,10,7,16,5,,4.06,5,Rain,93
2015-1-22,12,10,7,8,6,4,88,75,58,1011,1009,1006,26,11,10,21,10,35,0.00,5,Rain,80
2015-1-23,12,10,8,5,4,2,71,63,50,1010,1006,1004,26,12,10,23,13,47,0.00,4,,358
2015-1-24,13,9,6,3,2,0,76,55,33,1011,1010,1008,31,13,10,21,8,39,0.00,2,,52
2015-1-25,11,8,6,3,1,-2,71,57,31,1020,1015,1010,31,13,10,24,10,45,0.00,3,,25
2015-1-26,10,5,0,-2,-3,-7,80,48,26,1023,1021,1020,19,11,10,21,14,40,0.00,1,,29
2015-1-27,8,2,-4,-1,-4,-9,93,60,21,1021,1016,1014,31,18,10,14,3,,0.00,1,,26
2015-1-28,11,3,-5,-2,-7,-10,86,56,14,1018,1016,1012,31,25,19,21,5,37,0.00,,,40
2015-1-29,9,1,-3,8,-1,-6,100,83,58,1012,1002,988,19,6,2,11,3,,7.11,6,Rain-Snow,270
2015-1-30,9,4,0,8,4,-1,100,89,79,987,980,976,14,9,5,24,11,47,2.03,6,Rain-Thunderstorm,121
2015-1-31,7,2,-2,5,1,-2,100,92,76,988,986,984,19,10,6,13,3,,1.02,3,Fog-Rain,289
2015-2-1,9,4,1,4,2,0,100,87,59,996,991,987,19,9,3,11,5,,2.03,5,Rain,104
2015-2-2,10,4,-2,3,1,-2,100,82,43,1004,1001,997,31,10,6,27,5,48,6.10,3,Rain,98
2015-2-3,8,4,2,4,3,2,100,84,61,1004,1002,996,19,9,6,27,8,,0.00,6,Rain,68
2015-2-4,10,8,6,4,3,1,81,67,49,1004,1000,995,26,12,10,29,14,47,0.25,6,Rain,51
2015-2-5,9,7,5,6,4,1,93,79,59,1003,999,997,19,10,4,27,16,45,12.95,6,Rain,25
2015-2-6,7,5,3,3,1,-2,87,69,52,1011,1002,996,31,12,10,26,14,42,2.03,5,Rain,352
2015-2-7,9,6,2,1,-1,-2,75,62,38,1019,1016,1011,31,13,10,19,10,47,0.00,3,,270
2015-2-8,10,3,-3,1,-1,-3,94,69,42,1018,1013,1008,26,14,10,23,5,35,0.00,2,,349
2015-2-9,9,4,-1,-1,-4,-7,87,54,20,1024,1021,1018,31,18,10,21,11,35,0.00,2,,46
2015-2-10,14,6,-3,4,1,-4,100,78,41,1025,1023,1021,31,22,10,6,3,,0.00,,,38
2015-2-11,17,7,-3,3,1,-2,100,73,22,1026,1024,1021,26,10,5,8,3,,0.00,,Fog,39
2015-2-12,17,8,-2,4,2,-2,100,71,26,1024,1023,1021,26,17,10,10,2,,0.00,,,353
2015-2-13,14,7,-1,7,3,-1,100,79,48,1025,1022,1020,10,10,8,11,3,,0.00,4,Fog-Rain,102
