PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,24,19,13,3,-1,-5,33,25,10,1019,1017,1015,6,3,0,55,26,,0.00,,,18
2015-1-2,26,20,14,10,4,-2,48,35,25,1020,1017,1015,6,5,2,39,18,,0.00,,,23
2015-1-3,27,19,12,14,8,3,70,46,20,1019,1017,1015,6,5,3,23,8,,0.00,,,309
2015-1-4,28,20,13,14,9,4,82,54,23,1020,1018,1016,8,6,3,16,8,,0.00,1,,70
2015-1-5,27,20,13,16,9,6,83,54,25,1021,1018,1016,6,5,3,14,8,,0.00,,,314
2015-1-6,27,20,13,18,14,10,88,66,29,1018,1016,1014,9,5,1,34,10,,0.00,2,,282
2015-1-7,29,22,15,19,15,10,88,70,30,1016,1015,1013,6,4,2,21,6,,0.00,1,,9
2015-1-8,28,21,13,16,12,8,83,62,32,1019,1016,1015,5,4,2,16,6,,0.00,2,,42
2015-1-9,27,21,14,19,15,12,94,75,42,1020,1017,1015,6,3,0,26,8,,0.00,2,Fog,77
2015-1-10,28,21,13,16,11,8,86,55,26,1021,1019,1017,5,3,1,14,8,,0.00,1,,78
2015-1-11,27,20,13,17,13,1,78,63,44,1021,1018,1016,7,4,1,224,23,,0.00,2,,283
2015-1-12,27,21,14,19,16,13,94,70,42,1019,1016,1014,7,5,2,27,10,,0.00,2,,260
2015-1-13,30,22,14,21,15,8,94,61,25,1016,1014,1010,7,5,1,23,10,,0.00,3,,290
2015-1-14,26,20,14,14,1,-7,68,31,6,1019,1016,1014,6,4,2,39,13,,0.00,,,33
2015-1-15,24,18,13,8,3,-4,63,38,16,1022,1020,1018,6,5,2,37,18,,0.00,,,40
2015-1-16,25,18,10,8,4,0,71,43,15,1023,1020,1018,8,5,3,27,14,,0.00,,,47
2015-1-17,25,18,10,7,3,-5,71,43,15,1022,1019,1017,7,5,3,16,8,,0.00,,,46
2015-1-18,27,18,9,21,2,-5,99,39,10,1021,1018,1015,8,6,3,21,8,,0.00,,,36
2015-1-19,27,18,9,8,2,-2,62,36,9,1018,1016,1013,7,6,3,23,8,,0.00,1,,47
2015-1-20,26,19,12,16,8,3,73,46,18,1015,1014,1012,6,5,3,27,18,,1.02,5,Rain,76
2015-1-21,25,20,14,14,9,3,88,55,25,1019,1017,1015,6,5,3,11,8,,0.25,5,Rain,8
2015-1-22,24,20,15,11,8,5,68,47,31,1021,1019,1017,6,5,2,27,11,,0.00,3,,49
2015-1-23,24,19,14,10,7,3,67,46,19,1022,1020,1018,6,5,3,130,14,,0.00,3,,44
2015-1-24,23,18,12,9,6,4,71,46,21,1023,1020,1018,7,5,3,121,14,,0.00,1,,45
2015-1-25,25,18,11,11,7,4,63,47,27,1022,1020,1018,6,5,3,23,10,,0.00,2,,37
2015-1-26,26,19,11,12,6,1,72,46,21,1023,1020,1018,7,5,3,19,6,,0.00,3,,49
2015-1-27,25,18,11,9,1,-9,72,37,7,1022,1020,1015,10,6,3,19,10,,0.00,,,44
2015-1-28,23,17,11,8,-2,-5,55,28,10,1021,1019,1016,10,6,3,24,10,,0.00,,,48
2015-1-29,26,18,10,15,6,-2,77,47,21,1021,1019,1017,7,5,3,24,8,,0.00,,,353
2015-1-30,28,19,11,15,5,-2,92,44,12,1023,1020,1018,7,5,3,23,8,,0.00,,,41
2015-1-31,27,19,11,17,12,5,78,59,42,1020,1016,1014,7,5,3,27,11,,0.00,1,,262
2015-2-1,27,19,12,20,17,16,83,72,53,1015,1014,1012,7,5,3,29,11,,0.00,4,,236
2015-2-2,26,21,17,18,9,6,88,46,22,1019,1015,1012,6,4,3,35,16,,0.00,3,,59
2015-2-3,27,21,14,11,7,5,63,42,21,1023,1021,1019,7,5,3,82,16,,0.00,1,,47
2015-2-4,28,21,13,10,6,2,63,40,15,1024,1022,1020,8,5,3,29,11,,0.00,,,44
2015-2-5,28,21,14,11,6,1,67,39,18,1021,1019,1016,8,6,3,19,10,,0.00,2,,43
2015-2-6,28,20,12,17,7,1,73,41,19,1019,1016,1014,7,6,3,21,8,,0.00,,,309
2015-2-7,27,20,13,16,9,5,77,50,21,1017,1015,1013,7,5,3,29,8,,0.00,1,,325
2015-2-8,27,21,14,18,8,5,77,48,20,1020,1017,1015,7,5,3,23,10,,0.00,3,,45
2015-2-9,27,21,14,11,5,1,63,37,12,1023,1020,1017,6,5,3,37,16,,0.00,,,33
2015-2-10,28,22,16,8,2,-1,45,27,12,1023,1020,1017,6,5,3,23,13,,0.00,,,14
2015-2-11,28,21,13,16,7,2,68,40,18,1020,1017,1015,6,5,2,21,10,,0.00,,,297
2015-2-12,31,23,14,19,14,9,88,60,27,1018,1016,1013,6,5,2,34,10,,0.00,3,,248
2015-2-13,29,22,16,20,18,16,88,70,45,1016,1014,1012,7,6,3,34,19,,0.00,3,,256
2015-2-14,30,26,22,22,19,18,85,70,48,1013,1011,1010,6,5,3,29,18,,0.00,5,,257
2015-2-15,28,24,20,21,18,17,84,70,50,1014,1012,1009,6,5,3,23,11,,0.00,3,,270
2015-2-16,31,26,21,21,18,10,95,66,27,1014,1012,1010,6,5,3,37,16,,0.00,2,,259
2015-2-17,31,25,19,21,17,12,94,67,25,1016,1013,1011,6,4,2,26,13,,0.00,1,,216
2015-2-18,29,24,19,21,18,8,94,70,48,1014,1011,1009,6,5,2,21,10,,0.00,2,,228
