GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,1,-1,-3,0,-2,-4,100,90,66,986,983,982,31,10,1,29,13,,3.05,5,Rain-Snow,150
2015-1-2,3,-1,-6,0,-4,-7,100,85,60,1004,995,986,31,11,1,35,8,64,2.03,6,Snow,174
2015-1-3,0,-2,-3,-1,-3,-6,94,85,74,1011,1009,1005,31,12,6,32,16,,0.00,5,Snow,176
2015-1-4,9,2,-4,6,0,-6,93,79,52,1010,994,976,10,8,1,69,32,95,1.02,7,Rain-Snow,108
2015-1-5,3,1,-1,0,-2,-4,93,75,49,984,981,977,31,11,2,50,31,53,2.03,5,Rain-Snow,168
2015-1-6,5,1,-2,2,-1,-4,100,86,62,988,981,958,26,9,2,64,21,90,2.03,6,Rain-Snow,150
2015-1-7,3,2,1,3,0,-2,93,80,63,957,952,948,31,13,6,60,39,82,4.06,5,Rain-Snow-Hail,187
2015-1-8,1,-1,-2,0,-3,-6,95,81,60,975,970,959,23,10,0,66,39,87,0.51,6,Rain-Snow,207
2015-1-9,-1,-2,-3,-3,-4,-7,100,83,60,980,976,972,26,10,2,37,16,48,4.06,6,Snow,181
2015-1-10,-3,-4,-5,-4,-5,-7,93,87,70,985,977,972,26,10,2,24,13,,0.25,6,Snow,130
2015-1-11,-1,-3,-6,-4,-8,-13,93,73,32,986,977,969,31,9,0,50,21,74,0.00,5,Snow,78
2015-1-12,2,-1,-4,-3,-6,-7,93,70,44,969,965,964,31,11,8,37,21,,0.00,5,Snow,68
2015-1-13,4,1,-1,-2,-6,-9,68,56,46,981,973,966,10,10,10,42,23,34,0.00,7,,38
2015-1-14,-1,-4,-7,-6,-10,-12,74,53,34,987,985,982,,,,26,13,40,0.00,,,60
2015-1-15,-1,-3,-6,-7,-9,-12,69,59,35,997,993,987,10,10,10,45,23,58,0.00,3,Snow,1
2015-1-16,-1,-3,-5,-5,-7,-11,80,65,43,998,994,993,10,10,10,34,23,55,0.00,4,Snow,342
2015-1-17,-1,-3,-6,-3,-7,-9,80,72,54,1025,1011,999,10,10,10,40,13,60,0.00,4,Rain-Snow,43
2015-1-18,2,-3,-7,-2,-9,-13,86,66,47,1028,1022,1007,10,10,10,52,13,76,0.00,5,Snow,104
2015-1-19,5,1,-3,2,0,-2,87,77,62,1007,990,978,14,10,6,74,52,98,7.87,7,Rain-Snow,120
2015-1-20,2,1,0,2,-1,-3,96,84,67,995,984,976,31,12,2,39,21,,0.00,6,Rain-Snow,147
2015-1-21,4,2,0,1,0,-1,87,82,65,1005,1001,996,31,13,9,48,18,71,0.00,7,Rain,153
2015-1-22,4,2,1,2,1,-1,93,84,69,996,990,983,31,13,8,39,26,55,3.05,7,Rain,172
2015-1-23,1,-1,-3,0,-3,-8,96,80,51,988,983,980,31,10,1,50,23,69,0.51,4,Rain-Snow,226
2015-1-24,5,1,-3,3,-4,-7,100,72,39,1002,992,978,14,8,0,58,40,84,0.51,7,Rain-Snow,196
2015-1-25,3,1,-1,3,-2,-8,92,74,48,985,976,970,19,9,1,71,35,98,0.51,7,Rain-Snow-Hail,221
2015-1-26,6,2,-2,6,-1,-6,93,80,50,1003,995,986,26,10,2,66,37,89,2.03,7,Rain-Snow,219
2015-1-27,3,1,-1,4,0,-2,98,87,70,994,986,976,18,9,2,37,23,55,5.08,6,Rain-Snow,202
2015-1-28,0,-2,-4,-1,-5,-18,96,79,11,981,977,975,31,12,8,14,10,,0.00,2,Snow,132
2015-1-29,2,-2,-5,-2,-5,-7,93,68,50,1005,996,983,10,10,10,45,16,61,0.00,4,,30
2015-1-30,-2,-3,-5,-6,-8,-10,80,66,47,1012,1008,1005,10,10,10,27,8,,0.00,1,,167
2015-1-31,-1,-3,-5,-4,-7,-9,80,70,54,1016,1014,1012,10,10,10,19,11,,0.00,5,,77
2015-2-1,1,-1,-3,0,-2,-5,100,90,75,1011,1006,1003,31,8,1,27,11,,3.05,7,Rain-Snow,71
2015-2-2,-2,-4,-7,-2,-7,-13,87,68,44,1029,1020,1007,10,9,3,32,16,37,0.00,3,Snow,13
2015-2-3,3,-3,-10,1,-10,-24,87,61,15,1029,1023,1013,31,12,10,26,13,,0.00,7,Rain,109
2015-2-4,4,2,-1,3,0,-2,96,81,69,1017,1015,1011,26,12,3,37,26,55,0.00,6,Rain,216
2015-2-5,5,4,3,4,2,1,96,85,65,1020,1018,1015,19,10,8,32,21,,0.00,7,Rain,186
2015-2-6,3,2,0,5,0,-5,96,79,49,1024,1014,1008,26,10,3,61,34,90,0.51,6,Rain-Snow,228
2015-2-7,7,3,1,7,2,-2,98,84,68,1031,1028,1022,31,13,7,47,26,55,0.25,6,Rain-Snow,204
2015-2-8,7,6,5,6,4,3,93,86,77,1022,1012,1004,26,9,6,55,43,74,0.76,7,Rain,201
2015-2-9,3,1,0,6,1,-2,93,84,61,1003,999,990,31,10,2,53,31,84,1.02,7,Rain-Snow,204
2015-2-10,-1,-2,-4,-1,-4,-9,94,81,41,999,995,990,31,8,0,64,43,90,2.03,6,Rain-Snow-Hail,231
2015-2-11,-2,-3,-4,-5,-6,-12,93,78,36,1008,1004,1000,31,12,1,45,32,69,1.02,6,Snow,248
2015-2-12,-3,-6,-7,-5,-12,-19,93,54,17,1011,1009,1007,31,11,8,35,21,50,0.00,6,Snow,71
2015-2-13,0,-3,-6,-6,-9,-17,75,54,28,1007,1004,998,10,10,10,24,14,,0.00,4,,94
2015-2-14,8,3,-2,6,1,-6,88,76,50,997,978,961,19,9,4,60,32,82,20.07,7,Rain-Snow,128
2015-2-15,3,1,-1,5,1,-4,100,89,65,974,968,962,19,8,1,42,26,,0.76,7,Rain-Snow,218
2015-2-16,-2,-3,-5,-1,-6,-9,93,82,42,985,980,974,31,10,1,60,32,95,3.05,6,Snow-Hail,231
2015-2-17,4,-1,-6,1,-4,-8,93,79,49,1001,993,983,31,10,1,58,37,77,0.51,6,Snow,143
2015-2-18,5,1,-4,3,1,-2,87,77,51,982,974,968,19,11,6,48,37,77,2.03,7,Rain,170
2015-2-19,2,1,-1,2,-1,-5,98,82,65,989,978,969,31,12,4,35,23,,0.76,7,Rain-Snow,346
2015-2-20,-1,-3,-6,-3,-6,-14,93,74,16,1003,997,990,31,11,5,42,24,63,0.25,6,Snow,11
2015-2-21,-4,-7,-9,-10,-13,-15,74,57,33,1007,1003,991,10,10,8,50,13,,0.00,7,Snow,93
2015-2-22,-1,-3,-7,-4,-6,-8,93,73,47,990,973,964,31,10,1,55,39,80,0.00,7,Snow,78
2015-2-23,-1,-2,-4,-6,-8,-11,80,61,39,986,979,970,31,11,10,39,13,50,0.00,6,Snow,42
2015-2-24,-1,-2,-3,-3,-5,-7,93,78,54,994,989,986,31,10,1,37,23,55,4.06,7,Snow,57
2015-2-25,3,0,-3,0,-2,-5,93,85,60,994,974,954,10,7,2,53,27,77,9.91,7,Rain-Snow,114
2015-2-26,1,0,-1,-1,-3,-6,97,81,59,983,961,949,31,9,1,48,26,69,0.25,5,Rain-Snow,2
2015-2-27,1,-1,-3,-5,-7,-8,74,63,45,990,983,975,10,10,10,35,19,50,0.00,4,,24
2015-2-28,2,-2,-5,-4,-7,-10,75,62,43,979,977,976,10,10,10,40,19,61,0.00,1,,92
2015-3-1,0,-3,-6,-7,-9,-11,80,57,36,979,977,975,10,10,10,24,10,,0.00,5,,87
2015-3-2,-1,-2,-4,-7,-9,-11,65,56,41,984,979,976,19,11,10,23,13,,0.00,5,Snow,81
2015-3-3,1,-3,-7,-1,-8,-12,93,64,42,1006,995,984,10,9,2,27,11,,0.00,6,Snow,286
2015-3-4,5,2,-2,2,-2,-6,94,80,49,1008,996,981,19,10,3,71,26,97,8.89,7,Rain-Snow,140
2015-3-5,2,1,0,1,-2,-3,93,78,60,995,988,980,31,11,2,52,35,85,0.51,5,Rain-Snow-Hail,213
2015-3-6,4,2,-1,1,-1,-3,93,79,56,993,969,958,31,11,5,53,31,82,7.87,6,Rain-Snow-Hail,164
2015-3-7,2,0,-2,-1,-2,-6,100,86,47,973,968,961,31,10,0,40,23,,2.03,6,Snow-Hail,182
2015-3-8,0,-1,-2,-1,-4,-6,100,78,57,992,983,974,31,12,2,55,32,84,3.05,4,Snow,211
2015-3-9,0,-2,-4,-2,-3,-5,94,89,74,1000,995,993,31,10,0,24,13,,4.06,5,Snow,145
2015-3-10,5,0,-6,1,-3,-10,100,80,53,1003,992,976,31,11,0,82,26,111,5.08,6,Rain-Snow-Hail,124
2015-3-11,1,-1,-3,-1,-4,-7,93,79,43,996,990,983,26,10,0,50,26,72,2.03,5,Snow,191
2015-3-12,3,1,-2,1,-1,-6,93,87,64,997,987,975,31,10,2,48,19,58,4.06,7,Rain-Snow,94
2015-3-13,7,3,1,4,-1,-5,93,73,49,1002,996,986,31,11,5,66,35,97,9.91,7,Rain,157
2015-3-14,7,4,2,6,2,-1,90,78,54,1006,993,977,31,10,6,108,52,143,0.51,6,Rain,164
2015-3-15,8,4,0,7,-1,-4,93,74,52,1020,1009,995,31,12,6,55,23,77,0.00,6,Rain-Snow,136
2015-3-16,6,2,-2,1,0,-1,90,73,51,1019,1005,995,19,11,9,74,52,109,2.03,6,Rain-Snow,180
2015-3-17,4,1,-2,-1,-2,-6,94,78,41,1026,1024,1020,31,11,10,19,10,,0.00,3,Snow,137
2015-3-18,2,-1,-3,0,-4,-7,93,75,50,1025,1020,1009,10,7,3,45,18,64,0.25,7,Rain-Snow,87
2015-3-19,8,4,0,5,3,0,93,87,77,1022,1014,1008,19,11,3,47,23,,1.02,7,Rain,150
2015-3-20,7,3,1,3,1,-2,96,79,47,1027,1025,1017,31,12,10,63,16,87,0.51,6,Rain,95
2015-3-21,7,5,3,5,2,-1,93,79,47,1016,1011,1007,31,13,8,61,40,84,0.76,6,Rain,199
2015-3-22,5,2,0,2,0,-1,96,85,59,1007,1000,995,31,12,1,27,18,,3.05,5,Rain-Snow,194
2015-3-23,2,-1,-4,-1,-4,-7,93,78,50,1018,1006,995,10,10,10,35,11,53,0.00,3,,18
2015-3-24,4,0,-4,-1,-6,-9,80,63,35,1019,1014,1002,10,10,10,45,19,69,0.00,6,Rain,114
2015-3-25,4,2,1,2,-1,-4,93,78,46,1000,991,988,26,11,1,55,31,76,0.00,6,Fog-Rain,183
2015-3-26,2,0,-2,0,-2,-4,100,85,49,994,992,989,31,11,2,39,23,50,0.51,5,Snow,196
2015-3-27,2,0,-2,-1,-3,-5,96,83,63,991,988,986,31,11,3,48,21,60,1.02,4,Snow-Hail,194
2015-3-28,2,0,-3,-2,-4,-7,93,73,56,986,985,983,31,12,6,39,21,,0.51,4,Snow,201
2015-3-29,2,-1,-3,-2,-3,-8,100,82,60,982,978,977,26,9,2,27,16,,1.02,7,Snow,117
2015-3-30,-1,-3,-5,-7,-8,-11,80,63,35,987,985,979,10,10,10,34,13,,0.00,2,,30
2015-3-31,1,-4,-9,-9,-11,-13,73,55,33,1010,998,987,10,10,10,21,8,,0.00,1,,72
2015-4-1,0,-3,-7,-9,-11,-13,69,57,37,1022,1018,1011,10,10,10,35,13,,0.00,3,,29
2015-4-2,2,-3,-9,0,-8,-14,87,60,39,1022,1015,1007,31,11,5,40,18,,0.00,6,Rain-Snow,80
2015-4-3,7,3,1,4,2,0,93,82,73,1007,1005,1003,31,11,7,50,29,76,1.02,7,Rain,167
