ULAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-10,-19,-28,-19,-25,-33,78,65,32,1043,1024,1019,10,5,0,6,3,,5.59,4,,184
2015-1-2,-8,-17,-25,-17,-23,-29,84,69,40,1038,1012,1004,10,6,2,11,3,,4.06,6,,156
2015-1-3,-6,-16,-25,-16,-22,-28,85,70,34,1026,1009,1004,6,3,0,11,3,,4.32,4,,149
2015-1-4,-6,-12,-23,-10,-16,-26,85,74,54,1037,1009,1000,19,7,2,32,8,,0.00,4,Snow,328
2015-1-5,-15,-20,-26,-19,-25,-30,85,71,47,1044,1025,1020,10,9,2,11,5,,0.00,3,Snow,180
2015-1-6,-10,-18,-26,-19,-24,-31,84,66,30,1042,1022,1017,10,7,3,14,3,,0.76,5,,178
2015-1-7,-12,-19,-27,-19,-24,-31,84,67,36,1042,1023,1017,10,6,0,14,3,,3.56,6,,170
2015-1-8,-13,-21,-29,-20,-27,-33,77,70,41,1047,1029,1023,8,4,0,11,3,,0.00,,,157
2015-1-9,-10,-18,-26,-17,-24,-30,84,70,40,1044,1023,1017,6,4,0,11,3,,0.00,5,,170
2015-1-10,-5,-15,-25,-16,-23,-28,85,69,34,1038,1022,1017,5,4,0,11,3,,1.52,,,169
2015-1-11,-4,-15,-26,-16,-23,-29,84,67,28,1038,1023,1019,8,6,2,11,5,,3.56,,,169
2015-1-12,-10,-18,-25,-16,-22,-28,85,73,50,1044,1027,1021,8,5,2,14,3,,0.00,6,,166
2015-1-13,-8,-18,-27,-16,-23,-30,85,73,46,1045,1028,1024,8,4,0,11,3,,0.00,,,156
2015-1-14,-10,-17,-24,-14,-20,-27,85,75,56,1042,1026,1022,10,6,2,18,5,,2.29,4,Snow,297
2015-1-15,-11,-18,-25,-16,-21,-28,85,76,60,1045,1026,1022,10,9,2,14,6,,0.00,4,Snow,192
2015-1-16,-9,-18,-26,-16,-22,-31,85,70,44,1049,1027,1016,10,7,2,26,5,40,2.79,4,Snow,152
2015-1-17,-11,-17,-22,-14,-19,-25,85,72,55,1035,1017,1012,10,9,2,29,11,,0.00,4,Snow,344
2015-1-18,-9,-17,-24,-15,-21,-28,85,77,55,1035,1016,1010,10,9,0,11,6,,0.00,4,Snow,179
2015-1-19,-10,-18,-25,-16,-22,-28,85,73,47,1034,1015,1010,8,4,0,11,3,,2.54,4,,168
2015-1-20,-12,-20,-29,-18,-24,-32,85,73,43,1042,1023,1017,8,5,0,11,3,,3.30,,,186
2015-1-21,-8,-17,-27,-18,-24,-30,78,66,30,1037,1017,1011,10,6,2,11,3,,3.05,,,142
2015-1-22,-4,-11,-19,-8,-18,-27,86,65,25,1026,1008,1002,10,8,2,29,6,,0.00,4,Snow,303
2015-1-23,-7,-17,-27,-16,-21,-30,85,71,38,1034,1016,1012,10,7,0,14,5,,0.00,4,,199
2015-1-24,-6,-14,-22,-15,-19,-25,85,67,35,1028,1013,1010,10,8,2,14,5,,1.52,5,,177
2015-1-25,-14,-20,-25,-16,-22,-29,85,70,48,1055,1023,1013,10,9,2,32,11,,6.60,4,,323
2015-1-26,-16,-25,-34,-23,-30,-38,76,62,24,1059,1036,1032,19,10,2,14,6,,6.86,,,246
2015-1-27,-13,-23,-33,-24,-30,-37,76,61,28,1054,1031,1024,10,5,0,11,5,,6.10,,,163
2015-1-28,-13,-21,-29,-18,-24,-33,85,68,37,1045,1023,1018,10,6,0,18,5,,0.25,4,Snow,233
2015-1-29,-17,-24,-33,-24,-31,-37,76,64,39,1050,1029,1024,8,5,0,11,5,,13.72,,,167
2015-1-30,-14,-23,-33,-23,-30,-37,76,65,34,1052,1032,1027,8,5,0,11,3,,11.94,,,167
2015-1-31,-9,-19,-30,-20,-27,-35,76,61,23,1050,1030,1024,10,5,0,11,3,,3.81,,,170
2015-2-1,-7,-14,-23,-19,-23,-27,77,57,20,1042,1023,1019,19,10,5,14,5,,3.56,4,,189
2015-2-2,-11,-20,-29,-19,-26,-33,78,65,35,1050,1027,1021,10,5,0,18,5,,2.79,,,218
2015-2-3,-10,-18,-25,-17,-23,-30,85,70,39,1054,1037,1031,19,10,2,14,5,,2.03,5,,167
2015-2-4,-5,-13,-22,-15,-21,-26,78,63,32,1053,1036,1032,10,8,2,14,5,,0.00,3,,198
2015-2-5,-4,-14,-25,-14,-21,-28,84,69,33,1049,1028,1022,8,5,0,14,5,,1.52,,,165
2015-2-6,-9,-16,-23,-15,-21,-29,85,65,19,1051,1029,1022,10,8,0,29,8,,0.00,4,,341
2015-2-7,-12,-22,-32,-25,-30,-36,70,51,16,1057,1034,1024,8,6,2,14,5,,3.30,,,172
2015-2-8,-7,-19,-30,-19,-27,-34,77,55,19,1042,1024,1020,8,6,0,11,2,,7.37,,,0
2015-2-9,-3,-15,-27,-16,-23,-32,77,59,17,1039,1020,1016,10,6,2,11,5,,3.30,6,,173
2015-2-10,-5,-16,-26,-17,-22,-30,84,61,19,1038,1020,1016,10,5,0,11,3,,2.29,,,168
2015-2-11,-4,-14,-25,-17,-22,-28,78,60,26,1033,1018,1015,10,6,0,26,5,,0.00,,,274
2015-2-12,-6,-16,-26,-15,-21,-29,84,67,33,1035,1015,1008,10,4,0,11,5,,2.54,,,163
2015-2-13,-1,-11,-22,-14,-18,-24,85,59,13,1022,1003,998,10,6,2,11,3,,1.02,5,,163
2015-2-14,2,-6,-13,-10,-14,-19,86,61,24,1032,1007,1002,10,8,0,21,5,,4.06,6,Snow,314
2015-2-15,-6,-13,-20,-11,-14,-23,86,77,58,1031,1014,1010,19,10,2,18,10,,5.33,5,Snow,286
2015-2-16,-3,-13,-24,-13,-19,-27,85,66,28,1036,1020,1015,10,5,0,14,3,,2.03,6,,204
2015-2-17,-2,-13,-24,-14,-20,-28,85,65,19,1042,1025,1021,8,5,0,11,3,,0.00,,,177
2015-2-18,1,-9,-19,-14,-18,-24,78,45,13,1037,1018,1011,19,9,0,35,10,,0.00,4,,163
2015-2-19,2,-7,-15,-11,-16,-19,73,47,12,1019,1007,1005,19,9,8,29,11,,4.32,5,,215
2015-2-20,-4,-12,-21,-14,-20,-26,78,64,31,1035,1009,1004,10,8,2,32,11,,0.00,5,Snow,325
2015-2-21,-18,-22,-25,-24,-27,-29,77,62,38,1044,1023,1014,10,8,2,43,27,61,0.00,4,Snow,343
2015-2-22,-11,-19,-28,-23,-27,-32,71,56,18,1044,1020,1012,10,5,0,11,5,,0.00,,,187
2015-2-23,-9,-19,-30,-24,-27,-35,76,51,12,1032,1012,1008,8,5,0,21,5,,3.81,,,319
2015-2-24,-14,-20,-27,-22,-26,-34,77,56,29,1039,1019,1010,10,9,0,35,10,,2.29,4,,345
2015-2-25,-13,-19,-25,-21,-23,-29,84,64,36,1042,1023,1019,10,9,0,26,11,,0.00,4,,328
