WIB,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,28,26,22,25,23,22,95,87,73,1012,1010,1008,10,6,2,24,14,,8.89,4,Rain,257
2015-1-2,30,27,24,25,23,22,95,85,63,1012,1011,1008,10,6,3,32,13,40,4.06,5,Rain,267
2015-1-3,31,27,23,25,24,22,94,86,45,1012,1010,1007,10,6,1,23,13,35,29.97,4,Rain-Thunderstorm,268
2015-1-4,28,26,23,24,23,22,100,87,74,1011,1010,1007,9,6,3,34,18,40,5.08,5,Rain,251
2015-1-5,31,27,23,24,23,22,94,82,60,1010,1009,1006,10,8,5,32,18,,0.00,2,Rain-Snow,247
2015-1-6,31,27,23,24,23,21,94,81,52,1010,1008,1007,10,9,5,32,18,37,0.00,3,,242
2015-1-7,32,28,23,25,22,21,94,77,58,1011,1009,1007,10,9,6,27,16,37,0.00,2,,240
2015-1-8,31,28,24,24,23,22,90,77,58,1012,1010,1008,11,8,4,27,19,39,0.00,3,,234
2015-1-9,32,29,25,24,23,21,90,76,47,1012,1010,1007,10,8,5,42,21,,0.00,2,,236
2015-1-10,32,28,24,23,22,21,89,75,52,1011,1009,1006,10,8,5,27,18,37,0.00,2,,233
2015-1-11,32,28,24,24,23,21,94,75,55,1011,1009,1006,10,8,5,26,14,35,0.00,2,,259
2015-1-12,28,26,23,24,23,21,99,90,78,1011,1010,1008,10,6,1,21,10,,54.10,5,Rain-Thunderstorm,201
2015-1-13,28,26,23,25,23,23,100,89,74,1012,1010,1008,8,5,1,19,8,,7.11,4,Rain,243
2015-1-14,30,27,23,25,23,22,94,84,70,1013,1012,1009,10,7,4,19,10,37,6.10,4,Rain-Thunderstorm,253
2015-1-15,31,27,23,25,23,22,94,80,55,1014,1011,1008,10,8,5,27,14,32,0.00,3,Rain,245
