GMT,maxT,meanT,minT,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM,MWS,meanWS, Max Gust SpeedKm/h,Precipitationmm, CloudCover,Events,WindDirDegrees
1/1/15,1,-1,-3,0,-2,-4,100,90,66,986,983,982,31,10,1,29,13,,3.05,5,Rain-Snow,150
1/2/15,3,-1,-6,0,-4,-7,100,85,60,1004,995,986,31,11,1,35,8,64,2.03,6,Snow,174
1/3/15,0,-2,-3,-1,-3,-6,94,85,74,1011,1009,1005,31,12,6,32,16,,0,5,Snow,176
1/4/15,9,2,-4,6,0,-6,93,79,52,1010,994,976,10,8,1,69,32,95,1.02,7,Rain-Snow,108
1/5/15,3,1,-1,0,-2,-4,93,75,49,984,981,977,31,11,2,50,31,53,2.03,5,Rain-Snow,168
1/6/15,5,1,-2,2,-1,-4,100,86,62,988,981,958,26,9,2,64,21,90,2.03,6,Rain-Snow,150
1/7/15,3,2,1,3,0,-2,93,80,63,957,952,948,31,13,6,60,39,82,4.06,5,Rain-Snow-Hail,187
1/8/15,1,-1,-2,0,-3,-6,95,81,60,975,970,959,23,10,0,66,39,87,0.51,6,Rain-Snow,207
1/9/15,-1,-2,-3,-3,-4,-7,100,83,60,980,976,972,26,10,2,37,16,48,4.06,6,Snow,181
1/10/15,-3,-4,-5,-4,-5,-7,93,87,70,985,977,972,26,10,2,24,13,,0.25,6,Snow,130
1/11/15,-1,-3,-6,-4,-8,-13,93,73,32,986,977,969,31,9,0,50,21,74,0,5,Snow,78
1/12/15,2,-1,-4,-3,-6,-7,93,70,44,969,965,964,31,11,8,37,21,,0,5,Snow,68
1/13/15,4,1,-1,-2,-6,-9,68,56,46,981,973,966,10,10,10,42,23,34,0,7,Sun,38
1/14/15,-1,-4,-7,-6,-10,-12,74,53,34,987,985,982,,,,26,13,40,0,,Sun,60
1/15/15,-1,-3,-6,-7,-9,-12,69,59,35,997,993,987,10,10,10,45,23,58,0,3,Snow,1
1/16/15,-1,-3,-5,-5,-7,-11,80,65,43,998,994,993,10,10,10,34,23,55,0,4,Snow,342
1/17/15,-1,-3,-6,-3,-7,-9,80,72,54,1025,1011,999,10,10,10,40,13,60,0,4,Rain-Snow,43
1/18/15,2,-3,-7,-2,-9,-13,86,66,47,1028,1022,1007,10,10,10,52,13,76,0,5,Snow,104
1/19/15,5,1,-3,2,0,-2,87,77,62,1007,990,978,14,10,6,74,52,98,7.87,7,Rain-Snow,120
1/20/15,2,1,0,2,-1,-3,96,84,67,995,984,976,31,12,2,39,21,,0,6,Rain-Snow,147
1/21/15,4,2,0,1,0,-1,87,82,65,1005,1001,996,31,13,9,48,18,71,0,7,Rain,153
1/22/15,4,2,1,2,1,-1,93,84,69,996,990,983,31,13,8,39,26,55,3.05,7,Rain,172
1/23/15,1,-1,-3,0,-3,-8,96,80,51,988,983,980,31,10,1,50,23,69,0.51,4,Rain-Snow,226
1/24/15,5,1,-3,3,-4,-7,100,72,39,1002,992,978,14,8,0,58,40,84,0.51,7,Rain-Snow,196
1/25/15,3,1,-1,3,-2,-8,92,74,48,985,976,970,19,9,1,71,35,98,0.51,7,Rain-Snow-Hail,221
1/26/15,6,2,-2,6,-1,-6,93,80,50,1003,995,986,26,10,2,66,37,89,2.03,7,Rain-Snow,219
1/27/15,3,1,-1,4,0,-2,98,87,70,994,986,976,18,9,2,37,23,55,5.08,6,Rain-Snow,202
1/28/15,0,-2,-4,-1,-5,-18,96,79,11,981,977,975,31,12,8,14,10,,0,2,Snow,132
1/29/15,2,-2,-5,-2,-5,-7,93,68,50,1005,996,983,10,10,10,45,16,61,0,4,Sun,30
1/30/15,-2,-3,-5,-6,-8,-10,80,66,47,1012,1008,1005,10,10,10,27,8,,0,1,Sun,167
1/31/15,-1,-3,-5,-4,-7,-9,80,70,54,1016,1014,1012,10,10,10,19,11,,0,5,Sun,77
2/1/15,1,-1,-3,0,-2,-5,100,90,75,1011,1006,1003,31,8,1,27,11,,3.05,7,Rain-Snow,71
2/2/15,-2,-4,-7,-2,-7,-13,87,68,44,1029,1020,1007,10,9,3,32,16,37,0,3,Snow,13
2/3/15,3,-3,-10,1,-10,-24,87,61,15,1029,1023,1013,31,12,10,26,13,,0,7,Rain,109
2/4/15,4,2,-1,3,0,-2,96,81,69,1017,1015,1011,26,12,3,37,26,55,0,6,Rain,216
2/5/15,5,4,3,4,2,1,96,85,65,1020,1018,1015,19,10,8,32,21,,0,7,Rain,186
2/6/15,3,2,0,5,0,-5,96,79,49,1024,1014,1008,26,10,3,61,34,90,0.51,6,Rain-Snow,228
2/7/15,7,3,1,7,2,-2,98,84,68,1031,1028,1022,31,13,7,47,26,55,0.25,6,Rain-Snow,204
2/8/15,7,6,5,6,4,3,93,86,77,1022,1012,1004,26,9,6,55,43,74,0.76,7,Rain,201
2/9/15,3,1,0,6,1,-2,93,84,61,1003,999,990,31,10,2,53,31,84,1.02,7,Rain-Snow,204
