anio,mes,dia,maxt,mint,maxh,minh,maxv,minv,meanw,precipitation
2015,1,1,8,0,57,28,26,14,11,0.00
2015,1,2,12,-2,93,36,31,8,5,0.00
2015,1,3,8,2,93,70,11,6,2,0.00
2015,1,4,15,6,93,20,14,3,5,0.00
2015,1,5,12,0,81,19,31,10,5,0.00
2015,1,6,12,-3,100,49,19,8,2,0.00
2015,1,7,11,1,100,68,10,4,2,0.00
2015,1,8,14,3,100,52,14,4,3,0.00
2015,1,9,12,7,100,76,10,7,5,0.00
2015,1,10,13,8,94,75,10,6,5,0.00
2015,1,11,13,6,100,12,19,5,3,1.00
2015,1,12,15,1,87,12,26,19,11,0.00
2015,1,13,15,-1,100,46,19,8,2,0.00
2015,1,14,12,6,100,67,9,3,3,1.00
2015,1,15,16,6,94,42,31,6,6,0.00
2015,1,16,13,4,100,69,19,5,10,1.00
2015,1,17,13,7,100,65,19,4,10,1.00
2015,1,18,13,2,100,43,26,10,5,0.00
2015,1,19,11,-2,100,48,19,8,2,0.00
2015,1,20,12,1,100,51,26,8,3,0.00
2015,1,21,12,5,100,61,19,7,5,1.00
2015,1,22,12,7,88,58,26,10,10,0.00
2015,1,23,12,8,71,50,26,10,13,0.00
2015,1,24,13,6,76,33,31,10,8,0.00
2015,1,25,11,6,71,31,31,10,10,0.00
2015,1,26,10,0,80,26,19,10,14,0.00
2015,1,27,8,-4,93,21,31,10,3,0.00
2015,1,28,11,-5,86,14,31,19,5,0.00
2015,1,29,9,-3,100,58,19,2,3,1.00
2015,1,30,9,0,100,79,14,5,11,1.00
2015,1,31,7,-2,100,76,19,6,3,1.00
2015,2,1,9,1,100,59,19,3,5,1.00
2015,2,2,10,-2,100,43,31,6,5,1.00
2015,2,3,8,2,100,61,19,6,8,0.00
2015,2,4,10,6,81,49,26,10,14,1.00
2015,2,5,9,5,93,59,19,4,16,1.00
2015,2,6,7,3,87,52,31,10,14,1.00
2015,2,7,9,2,75,38,31,10,10,0.00
2015,2,8,10,-3,94,42,26,10,5,0.00
2015,2,9,9,-1,87,20,31,10,11,0.00
2015,2,10,14,-3,100,41,31,10,3,0.00
2015,2,11,17,-3,100,22,26,5,3,0.00
2015,2,12,17,-2,100,26,26,10,2,0.00
2015,2,13,14,-1,100,48,10,8,3,0.00
2015,2,14,13,6,100,55,10,5,3,1.00
2015,2,15,11,8,100,66,19,6,10,1.00
2015,2,16,13,7,100,49,26,6,18,1.00
2015,2,17,15,9,67,33,31,10,16,0.00
2015,2,18,12,5,71,23,19,8,13,0.00
2015,2,19,16,-1,80,9,31,19,6,0.00
2015,2,20,13,-3,93,34,26,10,3,0.00
2015,2,21,11,3,93,56,19,8,10,1.00
2015,2,22,12,7,100,49,26,6,6,1.00
2015,2,23,17,8,87,34,31,10,11,0.00
2015,2,24,13,6,100,54,31,6,8,1.00
2015,2,25,13,8,66,37,31,10,18,0.00
2015,2,26,13,8,62,40,31,10,13,0.00
2015,2,27,16,3,87,29,31,10,5,0.00
2015,2,28,17,1,93,27,19,10,3,0.00
2015,3,1,14,1,100,48,14,3,5,1.00
2015,3,2,14,8,100,77,10,1,5,1.00
2015,3,3,19,8,100,30,26,8,5,0.00
2015,3,4,13,7,100,72,19,3,6,1.00
2015,3,5,11,5,76,19,26,8,40,0.00
2015,3,6,12,6,46,15,31,10,26,0.00
2015,3,7,13,6,49,20,31,26,16,0.00
2015,3,8,12,6,57,25,31,10,16,0.00
2015,3,9,13,4,76,31,31,10,13,0.00
2015,3,10,18,-1,87,19,19,14,6,0.00
2015,3,11,14,2,93,56,14,6,5,0.00
2015,3,12,14,4,87,15,31,7,11,0.00
