CLST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind Speed, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,22,12,3,10,7,3,100,73,36,1024,1021,1018,14,7,0,19,5,,0.00,3,Fog,159
2015-1-2,26,16,6,12,9,6,100,63,26,1020,1017,1013,10,10,10,19,10,,0.00,5,,183
2015-1-3,27,18,8,13,10,7,95,60,22,1018,1016,1015,19,12,10,19,6,,0.00,,,168
2015-1-4,31,20,9,14,12,9,94,60,23,1017,1014,1011,19,12,10,21,6,,0.00,,,199
2015-1-5,24,17,9,15,12,6,100,69,42,1015,1013,1012,14,10,2,24,6,,0.00,4,,236
2015-1-6,22,13,5,9,6,4,87,53,26,1019,1017,1016,10,10,10,21,11,,0.00,4,,168
2015-1-7,26,18,10,9,7,5,76,51,19,1019,1016,1013,10,10,10,23,13,,0.00,,,175
2015-1-8,26,15,4,12,8,5,100,61,26,1017,1015,1013,14,12,10,26,6,,0.00,,,207
2015-1-9,26,19,12,13,12,10,94,67,33,1018,1016,1014,10,10,10,19,8,,0.00,6,,202
2015-1-10,23,17,9,12,9,8,94,64,30,1020,1018,1017,10,10,10,19,10,,0.00,6,,173
2015-1-11,25,16,6,10,8,6,72,53,23,1022,1019,1016,10,10,10,26,10,,0.00,,,224
2015-1-12,24,16,7,11,9,7,100,64,31,1020,1018,1016,14,11,10,23,10,,0.00,4,,194
2015-1-13,21,14,7,14,11,7,100,78,53,1018,1017,1016,14,10,2,21,5,,0.00,6,Fog,268
2015-1-14,27,19,11,12,10,7,96,62,20,1021,1019,1016,10,10,10,19,8,,0.00,5,,168
2015-1-15,29,18,6,13,8,5,100,56,21,1019,1016,1013,14,10,10,19,8,,0.00,,,148
2015-1-16,28,18,8,17,13,8,94,66,34,1020,1019,1017,14,11,10,16,5,39,0.00,3,,166
2015-1-17,30,21,13,16,15,13,97,68,33,1021,1017,1014,14,10,9,21,6,,0.00,5,,184
2015-1-18,26,18,11,16,14,11,98,73,47,1018,1016,1015,10,10,9,24,6,39,0.00,2,,217
2015-1-19,30,20,9,15,13,10,100,69,25,1021,1019,1017,19,10,5,19,3,,0.00,6,Fog,182
2015-1-20,33,21,9,14,12,8,100,59,16,1019,1014,1010,19,13,10,21,5,,0.00,,,207
2015-1-21,26,18,10,16,13,10,100,77,43,1017,1014,1011,14,11,10,24,5,,0.00,7,,300
2015-1-22,21,18,13,13,12,10,94,71,43,1020,1018,1017,10,10,10,14,8,,0.00,7,,281
2015-1-23,26,17,7,16,12,8,100,76,41,1020,1017,1014,19,12,2,16,3,,0.00,4,Fog,234
2015-1-24,27,19,12,15,13,8,100,69,30,1017,1016,1015,14,11,10,14,5,,0.00,6,,266
2015-1-25,28,19,10,17,13,10,100,74,42,1015,1013,1012,14,11,10,19,5,,0.00,3,,274
2015-1-26,24,19,14,16,13,9,94,71,35,1015,1014,1013,10,10,10,21,6,,0.00,7,,254
2015-1-27,22,16,8,14,9,6,94,66,26,1018,1016,1015,14,10,9,21,8,,0.00,3,Rain,240
