EAT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,28,22,17,24,20,17,100,96,51,1019,1017,1015,19,9,3,34,6,48,27.94,5,Rain-Thunderstorm,329
2015-1-2,27,22,16,23,20,16,100,92,52,1019,1017,1015,19,10,7,23,6,,7.11,5,Rain,340
2015-1-3,25,22,19,25,21,18,100,97,75,1018,1016,1014,31,10,3,26,6,42,7.87,6,Rain,352
2015-1-4,27,22,18,24,20,17,100,93,56,1017,1015,1013,31,11,7,23,11,35,1.02,5,Rain,311
2015-1-5,27,22,18,24,21,17,100,95,68,1017,1015,1013,26,10,5,24,8,,2.03,6,Rain-Thunderstorm,315
2015-1-6,28,23,18,24,20,18,100,94,51,1050,1017,1015,31,10,3,23,6,,12.95,5,Rain-Thunderstorm,313
2015-1-7,27,22,18,26,21,18,100,96,52,1020,1018,1015,26,9,3,27,6,37,54.10,6,Rain-Thunderstorm,349
2015-1-8,28,23,18,25,21,18,100,91,49,1020,1018,1015,31,9,3,26,6,37,21.08,5,Rain-Thunderstorm,85
2015-1-9,28,23,19,24,21,18,100,96,55,1019,1017,1015,26,9,3,23,6,26,18.03,5,Rain-Thunderstorm,64
2015-1-10,27,23,19,24,21,17,100,96,66,1018,1016,1015,31,11,5,32,8,,4.06,6,Rain-Thunderstorm,110
2015-1-11,26,22,19,25,21,18,100,94,61,1020,1017,1015,31,11,6,32,13,45,2.03,5,Rain,102
2015-1-12,27,22,17,24,20,17,100,95,59,1022,1019,1017,31,10,3,19,8,,19.05,5,Rain-Thunderstorm,69
2015-1-13,28,22,17,24,19,17,100,92,47,1021,1019,1016,26,9,3,23,5,35,24.89,5,Rain-Thunderstorm,194
2015-1-14,27,22,17,23,20,18,100,93,56,1019,1017,1015,31,11,6,21,5,,0.51,6,Rain-Thunderstorm,324
2015-1-15,26,22,18,24,20,18,100,96,58,1017,1015,1013,31,10,4,23,6,,13.97,6,Rain,353
2015-1-16,23,20,18,22,19,17,100,99,76,1013,1010,1007,14,6,1,34,13,66,41.91,7,Rain,20
2015-1-17,23,21,18,23,20,17,100,98,69,1013,1009,1006,31,9,2,48,29,69,7.11,6,Rain,291
