CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-6,-11,-15,-10,-13,-16,92,79,60,1040,1038,1036,6,3,1,13,8,,0.00,6,,213
2015-1-2,-1,-4,-7,-3,-7,-10,93,75,56,1037,1032,1028,8,6,2,13,8,,1.02,6,Rain,187
2015-1-3,6,1,-4,0,-2,-3,100,78,55,1032,1027,1016,10,5,2,19,11,,0.00,5,Rain,220
2015-1-4,4,1,-2,1,-1,-3,87,76,54,1022,1017,1011,19,10,3,37,18,,3.05,4,Rain,275
2015-1-5,2,1,-1,0,-2,-3,100,81,60,1026,1023,1020,19,9,2,32,26,,0.00,5,Snow,296
2015-1-6,1,-2,-4,0,-3,-10,93,81,56,1029,1024,1020,10,10,8,32,18,,0.00,4,,335
2015-1-7,-4,-7,-9,-7,-10,-12,86,72,51,1037,1034,1029,14,8,4,14,8,,0.00,6,,25
2015-1-8,-1,-6,-9,-5,-7,-11,86,75,54,1037,1034,1033,10,6,3,13,5,,0.00,4,Snow,79
2015-1-9,6,1,-5,1,-2,-7,87,76,61,1033,1027,1017,10,5,3,23,8,,0.00,3,Rain,199
2015-1-10,12,8,3,7,4,0,93,82,56,1017,1014,1011,10,8,3,24,10,,2.03,5,Rain,203
2015-1-11,12,7,1,7,2,0,93,82,58,1022,1014,1009,10,8,3,37,11,58,2.03,6,Rain-Snow,350
2015-1-12,7,3,0,2,0,-2,93,80,59,1030,1026,1021,31,14,10,35,23,,0.00,3,Rain-Snow,259
2015-1-13,12,6,-1,3,-1,-4,93,67,35,1029,1026,1022,19,9,3,16,10,,0.00,,,140
2015-1-14,10,3,-4,3,-1,-4,100,81,52,1023,1020,1017,6,4,1,13,6,,0.00,,,146
2015-1-15,10,6,2,4,1,-1,93,78,49,1024,1022,1018,19,8,2,16,11,,0.00,3,Rain,190
2015-1-16,13,6,-1,3,0,-2,93,67,45,1022,1020,1019,19,12,8,19,10,,0.00,,,120
2015-1-17,14,8,2,4,1,-2,75,52,25,1019,1017,1017,10,10,10,23,16,,0.00,3,Rain,152
2015-1-18,12,9,6,8,6,3,100,79,46,1020,1017,1015,19,4,0,19,13,,3.05,4,Fog-Rain,106
2015-1-19,8,7,5,8,6,5,100,97,93,1016,1013,1012,8,3,0,19,6,,3.05,6,Fog-Rain,268
2015-1-20,11,8,4,8,7,4,100,90,73,1015,1013,1011,10,5,1,19,6,,0.25,6,Fog-Rain,83
2015-1-21,9,6,3,8,6,3,100,94,67,1015,1013,1011,10,2,0,13,8,,0.00,5,Fog,302
2015-1-22,12,9,6,8,6,3,100,91,71,1017,1014,1011,14,2,0,23,8,,0.00,8,Fog,115
2015-1-23,7,6,5,6,4,2,100,86,72,1011,1009,1008,14,9,3,27,16,,4.06,5,Rain,95
2015-1-24,6,4,2,6,4,1,100,97,89,1012,1009,1007,10,5,0,29,11,,7.11,6,Fog-Rain,277
2015-1-25,2,1,0,1,1,0,100,93,81,1021,1016,1012,10,7,3,24,16,,2.03,6,Rain-Snow,273
2015-1-26,1,1,0,1,1,0,100,98,92,1025,1023,1021,8,4,1,19,14,,2.03,6,Rain-Snow,274
2015-1-27,2,1,0,2,1,0,100,95,87,1022,1017,1015,5,4,2,13,5,,0.76,6,Rain-Snow,336
2015-1-28,2,1,-1,0,0,-1,100,93,77,1019,1016,1013,10,6,3,19,11,,0.00,7,Snow,291
2015-1-29,7,3,-2,2,0,-2,93,80,52,1013,1004,996,14,8,3,21,11,,0.00,7,,135
2015-1-30,12,8,3,4,2,0,81,60,45,995,983,974,31,19,10,55,29,,3.05,4,,134
2015-1-31,7,4,1,4,0,-1,93,80,47,992,989,979,19,12,4,42,19,,0.00,5,Rain,168
2015-2-1,4,2,1,3,1,-2,93,84,60,994,990,987,19,8,3,24,13,,7.87,5,Rain,100
2015-2-2,4,2,0,2,1,-1,100,90,73,1004,999,993,10,7,2,26,11,,0.00,6,Rain,271
2015-2-3,9,3,-3,1,-3,-6,93,68,24,1008,1007,1004,19,7,3,19,8,,0.00,,,163
2015-2-4,9,3,-3,4,2,-2,94,77,58,1013,1006,1003,14,9,5,50,16,,3.05,5,Rain,126
2015-2-5,6,3,2,4,3,1,100,92,75,1015,1013,1012,14,6,3,21,10,,2.03,6,Rain,51
