GMT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,28,23,19,19,11,-1,90,54,15,1016,1014,1012,10,9,8,21,13,,0.00,,,14
2015-1-2,26,22,18,16,4,-11,64,34,10,1016,1014,1012,8,8,6,24,16,,0.00,,,34
2015-1-3,29,24,19,18,7,-4,75,38,13,1016,1014,1012,8,8,6,23,14,,0.00,,,35
2015-1-4,29,26,22,18,7,-4,69,36,11,1018,1016,1014,8,7,6,19,13,,0.00,,Rain,26
2015-1-5,26,24,22,19,11,4,78,48,31,1021,1017,1015,6,3,2,29,19,,0.00,,,9
2015-1-6,25,23,21,19,13,5,82,55,28,1019,1016,1012,4,3,2,34,21,,0.00,,,10
2015-1-7,24,22,21,19,14,11,79,63,44,1017,1015,1013,10,7,3,29,19,,0.00,,,360
2015-1-8,23,22,20,17,13,11,73,61,45,1018,1016,1014,10,9,8,34,26,,0.00,,,360
2015-1-9,23,22,20,17,13,9,78,60,41,1017,1015,1013,8,7,6,27,23,,0.00,,,360
2015-1-10,23,21,19,19,16,12,88,75,50,1017,1015,1013,8,6,3,21,16,,0.00,,,346
2015-1-11,27,23,19,18,17,10,88,74,34,1018,1015,1012,6,3,2,19,13,,0.00,,,356
2015-1-12,23,21,19,19,17,13,94,77,53,1018,1015,1012,4,2,1,23,14,,0.00,,,355
2015-1-13,23,21,19,18,17,15,94,78,38,1017,1015,1012,10,4,3,26,16,,0.00,,,354
2015-1-14,23,21,18,21,17,16,92,82,65,1015,1013,1011,6,4,3,24,16,,0.00,,,350
2015-1-15,23,21,18,19,18,16,98,83,65,1015,1014,1012,6,5,3,21,16,,0.00,,,349
2015-1-16,24,21,18,19,17,15,95,81,56,1016,1014,1013,10,7,6,24,16,,0.00,,,354
2015-1-17,24,21,18,19,16,13,96,71,50,1017,1015,1013,10,9,8,24,16,,0.00,,,359
2015-1-18,23,21,19,17,14,10,83,68,44,1018,1016,1014,10,9,8,32,18,,0.00,,,359
2015-1-19,23,21,19,17,15,12,83,71,51,1018,1014,1012,10,9,8,27,23,,0.00,,,358
2015-1-20,23,21,18,17,15,13,83,73,57,1015,1012,1011,10,8,7,26,21,,0.00,,,1
2015-1-21,22,20,18,18,14,11,98,71,50,1016,1013,1011,10,9,8,32,23,,0.00,,,2
2015-1-22,22,20,18,17,14,8,89,69,43,1017,1015,1013,10,9,8,23,18,,0.00,8,,5
2015-1-23,22,21,19,17,14,9,88,72,43,1017,1015,1013,9,8,7,26,18,,0.00,8,,3
2015-1-24,22,20,18,17,15,12,86,73,53,1017,1014,1012,10,9,8,27,18,,0.00,,,359
2015-1-25,22,20,17,18,16,13,96,78,53,1015,1013,1010,10,9,8,32,18,,0.00,,,356
2015-1-26,24,21,17,17,13,7,98,66,30,1016,1013,1011,10,8,8,24,14,,0.00,,,354
2015-1-27,30,24,18,17,9,-7,83,49,9,1017,1015,1013,8,6,4,29,18,,0.00,,,18
2015-1-28,24,21,18,16,10,2,78,51,27,1017,1014,1012,8,7,6,27,18,,0.00,,,8
2015-1-29,22,20,17,17,12,5,83,58,33,1016,1014,1012,10,9,8,27,18,,0.00,,,5
2015-1-30,22,20,17,16,11,1,83,55,25,1016,1014,1012,8,8,8,26,18,,0.00,,,8
2015-1-31,22,19,17,17,14,11,92,74,50,1017,1015,1013,10,9,8,29,19,,0.00,,,355
2015-2-1,22,19,17,19,16,15,100,85,69,1017,1014,1012,10,9,8,29,19,,0.00,,,354
2015-2-2,21,19,17,19,17,16,100,88,77,1016,1014,1012,10,10,8,27,18,,0.00,3,,344
2015-2-3,22,19,17,18,17,15,100,87,73,1015,1013,1011,10,9,8,29,21,,0.00,2,,347
2015-2-4,21,19,17,18,16,15,98,85,68,1015,1013,1011,10,9,8,27,19,,0.00,3,,350
2015-2-5,22,19,17,19,17,16,98,88,73,1015,1013,1011,10,9,8,26,16,,0.00,,,345
2015-2-6,22,20,17,19,17,16,99,87,69,1014,1012,1009,10,9,8,24,14,,0.00,,,343
2015-2-7,27,22,18,19,16,10,100,76,34,1013,1011,1009,10,9,8,21,14,,0.00,,,347
2015-2-8,23,20,17,19,17,15,99,84,61,1014,1011,1010,10,9,8,26,16,,0.00,1,,334
2015-2-9,23,20,17,19,17,16,100,88,73,1014,1012,1010,10,9,8,27,19,,0.00,3,,346
2015-2-10,22,19,17,18,17,16,100,87,72,1014,1012,1009,10,9,7,29,16,,0.00,1,,344
2015-2-11,22,19,17,19,17,16,100,89,69,1016,1013,1012,10,8,7,29,13,,0.00,,,337
2015-2-12,23,20,17,19,17,13,100,84,50,1017,1015,1013,10,9,8,27,14,,0.00,,,342
2015-2-13,23,21,18,19,17,15,100,83,61,1019,1017,1015,10,9,8,32,21,,0.00,1,,340
2015-2-14,24,21,18,18,14,9,94,69,36,1019,1015,1012,10,9,6,32,23,53,0.00,,Rain,353
2015-2-15,23,21,18,18,15,13,90,70,50,1017,1014,1012,10,8,8,35,21,,0.00,,Rain,359
2015-2-16,27,22,17,18,14,7,83,59,23,1017,1014,1012,10,9,8,29,23,,0.00,,,8
2015-2-17,23,21,18,18,16,13,91,73,47,1017,1014,1012,10,9,8,32,21,,0.00,,,3
2015-2-18,22,20,18,17,16,14,90,80,64,1014,1012,1010,10,9,8,29,19,,0.00,,,356
2015-2-19,22,19,17,17,16,13,88,79,60,1016,1013,1011,10,7,6,35,24,,0.00,,,346
2015-2-20,21,19,17,15,13,12,88,73,51,1017,1014,1013,9,7,6,39,26,50,0.00,,,360
2015-2-21,21,18,16,15,13,11,88,74,47,1017,1014,1012,10,8,8,37,21,,0.00,,,359
2015-2-22,21,18,16,14,13,10,88,69,47,1017,1014,1012,10,9,8,32,19,,0.00,,,2
2015-2-23,22,19,16,16,14,11,88,72,45,1016,1014,1012,10,8,8,24,19,,0.00,,,357
2015-2-24,22,19,16,17,15,13,89,75,57,1016,1014,1012,10,9,8,24,18,,0.00,,,349
2015-2-25,23,19,16,17,16,14,94,78,59,1016,1013,1010,10,8,7,29,18,,0.00,,,345
2015-2-26,27,22,16,18,13,1,94,61,15,1013,1010,1008,10,6,2,26,18,,0.00,,,3
2015-2-27,24,22,20,14,8,-9,58,37,10,1013,1011,1009,3,2,2,24,16,,0.00,,,23
2015-2-28,23,21,19,15,9,4,73,46,23,1016,1014,1012,4,3,2,27,21,,0.00,,,19
2015-3-1,25,21,17,16,11,4,83,53,24,1017,1014,1011,10,7,5,29,19,,0.00,,,5
2015-3-2,26,21,17,16,12,8,87,59,29,1015,1013,1010,10,9,8,24,18,,0.00,,,2
2015-3-3,32,23,15,16,11,2,83,49,14,1014,1011,1009,10,7,6,24,18,,0.00,,,15
2015-3-4,25,22,18,16,12,7,76,53,32,1013,1011,1009,8,8,8,23,18,,0.00,,,355
2015-3-5,24,20,16,19,16,13,96,75,50,1014,1012,1010,10,8,8,23,14,,0.00,,,341
2015-3-6,23,20,18,19,18,16,100,88,65,1014,1012,1010,10,7,6,24,16,,0.00,4,,325
2015-3-7,23,20,18,19,18,17,99,88,69,1014,1011,1009,10,7,1,24,18,,0.00,5,,332
2015-3-8,22,20,18,19,17,16,99,85,73,1013,1011,1009,10,9,7,24,19,,0.00,5,,342
2015-3-9,22,20,18,17,16,15,88,79,64,1014,1012,1011,10,10,8,19,14,,0.00,4,,333
2015-3-10,22,19,17,17,16,15,94,81,64,1016,1014,1012,10,9,8,26,13,,0.00,3,,349
2015-3-11,22,20,17,19,17,15,94,82,64,1016,1013,1011,10,9,8,24,18,,0.00,4,,344
2015-3-12,24,21,18,18,16,14,94,74,50,1014,1011,1008,9,6,4,23,14,,0.00,,,345
2015-3-13,29,24,19,18,14,9,81,54,29,1012,1008,1006,8,6,4,21,16,,0.00,,,359
2015-3-14,26,23,20,18,14,9,81,58,30,1011,1009,1007,10,8,8,27,18,,0.00,,,5
2015-3-15,24,22,19,18,15,12,83,67,47,1012,1010,1008,10,9,8,29,21,,0.00,,,10
2015-3-16,23,21,18,19,17,17,94,84,73,1014,1012,1010,10,9,8,32,23,,0.00,6,,357
2015-3-17,24,21,18,19,18,17,100,86,67,1014,1012,1010,10,9,8,27,21,,0.00,3,,342
2015-3-18,24,21,18,19,18,16,96,82,61,1013,1011,1009,10,8,6,27,19,,0.00,5,,340
2015-3-19,24,21,19,19,17,14,94,78,57,1014,1011,1009,10,9,8,37,19,,0.00,6,,350
2015-3-20,23,20,18,18,16,14,94,80,53,1012,1010,1009,10,9,8,39,23,,0.00,3,,346
2015-3-21,22,20,18,18,16,15,92,78,62,1015,1012,1010,10,9,8,32,23,,0.00,1,,347
2015-3-22,25,21,18,17,16,15,88,77,65,1015,1013,1011,10,10,8,35,23,,0.00,2,,346
2015-3-23,22,20,18,17,15,14,83,74,60,1018,1015,1013,10,9,8,39,27,,0.00,5,,350
2015-3-24,22,19,17,16,14,13,82,72,56,1017,1014,1012,10,9,8,39,27,,0.00,2,,353
2015-3-25,22,19,17,17,15,13,95,78,57,1014,1013,1011,10,9,8,29,24,,0.00,1,,354
2015-3-26,25,21,18,15,13,9,83,64,36,1014,1013,1011,9,9,9,27,21,,0.00,,,360
2015-3-27,25,21,18,16,14,12,83,67,47,1015,1014,1012,,,,27,19,,0.00,,,1
2015-3-28,26,22,19,16,14,12,73,61,44,1016,1014,1011,,,,26,18,,0.00,,,2
2015-3-29,33,26,19,15,11,5,78,49,20,1015,1012,1010,8,5,4,32,21,,0.00,,,15
2015-3-30,29,24,19,17,12,4,70,47,20,1014,1012,1009,8,6,4,23,18,,0.00,,,18
2015-3-31,30,24,19,17,11,5,75,44,20,1015,1012,1010,6,5,2,24,18,,0.00,,,18
2015-4-1,27,23,19,19,14,12,88,58,33,1014,1012,1009,8,5,4,23,16,,0.00,,,354
2015-4-2,25,22,19,20,17,14,91,71,57,1014,1011,1009,10,8,6,26,14,,0.00,,,350
2015-4-3,25,22,18,20,18,17,96,79,65,1013,1011,1009,10,9,8,27,18,,0.00,,,347
2015-4-4,23,21,19,20,18,18,100,87,73,1013,1010,1009,8,7,5,35,23,,0.00,3,,347
2015-4-5,23,21,18,19,18,17,98,87,65,1013,1010,1008,10,9,8,34,26,,0.00,1,,349
2015-4-6,23,21,18,19,18,17,97,84,69,1013,1011,1009,10,9,8,27,21,,0.00,1,,347
2015-4-7,23,20,18,19,18,17,100,85,69,1015,1012,1011,10,9,6,29,19,,0.00,2,,348
2015-4-8,23,21,19,18,17,17,89,81,66,1016,1013,1011,10,9,8,34,24,,0.00,,,352
2015-4-9,23,21,18,18,17,17,88,80,63,1016,1012,1010,10,9,8,39,27,,0.00,,,355
2015-4-10,23,21,19,18,17,16,86,76,64,1013,1011,1009,10,9,8,39,27,,0.00,,,3
2015-4-11,25,22,19,18,17,14,83,71,54,1013,1011,1008,10,9,8,27,18,,0.00,,,352
2015-4-12,24,21,19,18,17,16,88,77,61,1013,1011,1009,10,9,8,35,14,,0.00,,,346
2015-4-13,24,21,18,18,17,16,88,78,60,1014,1012,1010,10,9,8,35,24,,0.00,,,351
2015-4-14,30,24,19,18,18,17,94,82,45,1015,1013,1010,10,9,8,26,11,,0.00,,,323
2015-4-15,23,21,19,19,18,17,96,83,65,1014,1011,1009,10,9,8,35,23,,0.00,,,349
2015-4-16,23,21,19,19,18,17,94,83,72,1013,1011,1009,10,9,8,24,18,,0.00,,,337
2015-4-17,24,21,19,19,18,17,95,85,69,1014,1012,1010,10,9,8,21,11,,0.00,1,,319
2015-4-18,23,21,18,19,18,18,100,88,73,1014,1012,1011,10,8,4,23,14,,0.00,3,,334
2015-4-19,23,21,19,19,18,16,99,83,63,1013,1011,1009,10,9,8,29,21,,0.00,4,,341
2015-4-20,24,21,19,19,18,18,94,85,70,1013,1011,1009,10,10,8,24,21,,0.00,1,,338
2015-4-21,24,21,19,19,18,17,94,85,69,1014,1011,1010,10,9,8,26,19,,0.00,1,,342
2015-4-22,23,21,19,19,18,18,94,85,69,1014,1012,1010,10,9,8,26,18,,0.00,,,336
2015-4-23,24,21,19,19,18,18,94,81,69,1014,1012,1010,10,9,8,35,23,,0.00,1,,344
2015-4-24,24,22,19,19,18,17,96,81,64,1013,1011,1009,10,9,8,29,18,,0.00,1,,347
2015-4-25,26,22,18,21,18,16,97,78,53,1014,1012,1010,10,8,8,16,8,,0.00,,,316
2015-4-26,24,22,19,19,18,16,95,80,56,1014,1012,1010,10,9,8,21,10,,0.00,,,320
2015-4-27,25,21,18,19,18,17,100,81,61,1014,1012,1010,10,10,8,16,11,,0.00,5,,294
2015-4-28,25,22,19,21,19,17,94,82,73,1013,1011,1010,10,10,8,23,10,,0.00,5,,304
2015-4-29,24,22,21,20,19,18,88,80,69,1013,1011,1010,10,10,8,19,11,,0.00,4,,298
2015-4-30,26,23,21,22,20,19,94,82,65,1013,1010,1007,10,10,8,21,11,,0.00,4,,303
2015-5-1,26,23,20,22,21,19,100,87,69,1010,1009,1007,10,9,4,23,10,,0.00,3,,236
2015-5-2,27,24,21,22,21,20,97,85,70,1011,1009,1008,10,10,8,19,10,,0.00,5,,226
2015-5-3,28,24,22,22,21,20,94,84,68,1013,1011,1001,10,10,8,16,11,,0.00,3,,256
2015-5-4,27,24,21,22,19,17,97,77,51,1014,1011,1010,10,9,8,24,11,,0.00,,,332
2015-5-5,26,23,21,21,19,19,88,79,65,1013,1010,1009,10,9,8,34,24,,0.00,3,,347
2015-5-6,26,23,20,21,20,18,94,82,61,1014,1011,1009,10,10,8,19,13,,0.00,2,,314
2015-5-7,26,23,21,21,20,19,94,82,65,1015,1012,1011,10,10,8,29,13,,0.00,4,,319
2015-5-8,27,24,21,22,20,19,97,77,58,1014,1012,1010,10,10,8,19,13,,0.00,2,,310
2015-5-9,26,24,22,22,21,20,97,84,62,1013,1012,1010,10,10,8,19,10,,0.00,6,,245
2015-5-10,26,23,21,21,19,19,89,77,64,1014,1012,1010,10,10,8,19,13,,0.00,6,,242
2015-5-11,26,23,21,21,19,18,88,77,64,1014,1012,1010,10,10,8,16,10,,0.00,4,,261
2015-5-12,26,23,21,21,19,19,88,76,65,1014,1012,1010,10,10,8,16,10,,0.00,4,,296
2015-5-13,26,23,22,21,19,19,88,79,65,1015,1012,1010,10,10,8,19,13,,0.00,5,,315
2015-5-14,27,24,22,22,21,19,88,80,63,1014,1012,1009,10,10,8,16,13,,0.00,5,,307
2015-5-15,27,25,23,22,21,20,89,80,66,1013,1011,1009,10,10,8,19,13,,0.00,4,,291
2015-5-16,28,24,22,23,21,20,94,82,65,1013,1011,1009,10,10,8,21,11,,0.00,5,,264
2015-5-17,28,24,22,23,21,20,94,81,64,1013,1012,1010,10,10,8,23,11,,0.00,4,,250
