HST,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,25,21,17,17,16,15,87,73,58,1013,1011,1009,16,16,16,21,7,27,0.00,7,,270
2015-1-2,26,23,19,19,18,17,93,81,69,1010,1006,998,16,16,4,39,9,53,T,6,Rain,274
2015-1-3,29,23,17,21,16,11,82,61,40,1006,1000,996,16,16,16,40,16,53,T,3,,1
2015-1-4,26,21,15,16,12,9,84,63,42,1012,1009,1005,16,16,16,32,13,40,0.00,3,,278
2015-1-5,27,21,16,17,14,10,87,71,54,1014,1013,1011,16,16,16,21,11,27,0.00,3,,276
2015-1-6,26,21,16,19,16,12,78,69,60,1015,1013,1011,16,16,16,39,19,53,0.00,4,,327
2015-1-7,26,22,18,14,13,11,68,57,46,1016,1014,1013,16,16,16,29,19,40,0.00,7,,340
2015-1-8,26,23,19,15,13,12,68,57,45,1017,1016,1014,16,16,16,16,10,19,0.00,7,,212
2015-1-9,28,23,18,17,14,11,73,61,48,1017,1016,1014,16,16,16,24,11,31,0.00,7,,200
2015-1-10,27,23,19,19,16,11,90,70,49,1016,1015,1013,16,16,16,23,10,27,0.51,6,Rain,216
2015-1-11,28,23,18,19,17,12,84,71,58,1015,1013,1012,16,16,16,21,8,27,0.00,7,,196
2015-1-12,27,23,18,19,17,11,87,72,57,1015,1014,1013,16,16,16,24,10,31,0.00,6,,193
2015-1-13,28,23,18,19,16,9,84,70,56,1016,1015,1013,16,15,10,21,10,27,0.00,5,,182
2015-1-14,28,23,18,19,17,13,79,66,53,1018,1016,1015,16,16,16,24,12,32,0.00,5,,180
2015-1-15,29,24,19,18,16,13,79,61,43,1020,1017,1015,16,16,16,26,11,,0.00,4,,186
2015-1-16,28,23,17,19,16,11,87,66,45,1020,1018,1015,16,16,16,24,10,31,0.00,3,,206
2015-1-17,28,23,18,18,16,10,84,68,51,1019,1017,1014,16,16,16,23,11,29,T,4,,203
2015-1-18,28,23,18,21,17,11,87,71,55,1019,1017,1015,16,16,16,26,9,29,0.51,7,,213
2015-1-19,29,23,17,20,18,16,93,74,55,1019,1017,1016,16,16,16,27,11,34,T,5,,182
2015-1-20,29,24,19,19,16,13,90,67,43,1019,1017,1014,16,16,16,23,9,29,T,3,Rain,186
2015-1-21,29,24,18,19,16,13,84,65,46,1017,1015,1013,16,16,16,29,12,37,0.00,4,,196
2015-1-22,28,23,17,20,17,12,84,71,57,1017,1015,1014,16,16,16,24,9,29,0.00,5,,168
2015-1-23,29,23,16,19,17,13,90,69,47,1017,1015,1013,16,16,16,34,11,39,0.00,2,,186
2015-1-24,29,24,19,22,19,12,93,70,47,1017,1016,1014,16,16,16,26,14,34,18.80,6,Rain,336
2015-1-25,25,23,21,21,21,19,93,85,76,1017,1015,1014,16,12,2,29,18,42,41.15,8,Rain,22
2015-1-26,25,22,19,19,17,14,93,74,54,1016,1014,1013,16,16,3,24,13,31,9.91,8,Rain,1
2015-1-27,27,23,18,18,16,15,87,70,52,1016,1015,1013,16,16,16,26,10,31,0.25,7,Rain,201
2015-1-28,27,23,19,19,17,13,87,71,54,1016,1014,1012,16,16,16,23,9,35,0.00,7,,201
2015-1-29,31,24,18,19,17,14,87,66,44,1014,1012,1010,16,16,16,35,12,52,0.00,2,,234
2015-1-30,28,23,18,21,18,13,84,68,51,1016,1014,1012,16,16,16,14,7,18,0.00,6,,202
2015-1-31,29,25,21,21,19,18,90,74,58,1017,1015,1013,16,16,16,29,9,37,T,7,,185
