CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
1/1/15,7,2,-3,1,-2,-5,93,80,57,1038,1037,1036,10,8,5,19,8,,0,,,111
1/2/15,8,6,3,8,5,1,100,94,81,1038,1036,1035,9,3,0,23,18,,0,7,Fog-Rain,161
1/3/15,13,10,8,13,11,7,100,98,88,1036,1033,1031,10,6,0,29,18,,0,8,Fog-Rain,235
1/4/15,12,11,10,12,9,7,100,87,72,1036,1034,1032,10,10,2,21,11,,0,8,Rain,290
1/5/15,10,7,4,7,6,3,100,95,76,1035,1030,1027,10,5,0,16,10,,0,8,Fog,86
1/6/15,10,7,4,9,7,3,100,96,87,1029,1026,1025,10,7,2,21,10,,0,8,Rain,150
1/7/15,12,10,8,11,9,8,100,96,88,1031,1030,1029,10,6,1,14,10,,0,8,Fog-Rain,170
1/8/15,13,11,8,12,9,8,100,90,82,1039,1033,1030,10,9,3,29,16,,0,7,Rain,231
1/9/15,13,11,9,13,11,8,100,95,88,1039,1037,1036,10,5,1,35,18,48,0,8,Rain,233
1/10/15,13,12,12,12,12,11,100,96,88,1036,1031,1026,10,8,2,26,21,,0,8,Rain,250
1/11/15,12,9,7,12,5,3,100,78,62,1036,1033,1026,10,10,2,32,21,,0,6,Rain,290
1/12/15,12,9,6,10,6,3,100,87,76,1034,1027,1021,10,9,2,27,16,,0,7,Fog,173
1/13/15,12,10,8,11,8,6,100,89,72,1021,1016,1014,10,8,5,35,19,58,0,5,Rain,206
1/14/15,12,10,8,9,7,3,88,78,62,1021,1019,1014,10,10,8,35,21,58,0,6,Rain,232
1/15/15,13,10,8,9,8,6,100,84,71,1014,1007,1005,10,9,6,37,26,53,0,7,Rain,193
1/16/15,10,8,6,8,5,3,100,83,66,1016,1008,1005,10,10,7,26,13,,0,6,Rain,246
1/17/15,9,6,2,4,2,-2,100,76,46,1020,1018,1016,10,10,10,16,8,,0,6,Rain,109
1/18/15,9,7,4,4,3,2,93,84,71,1017,1011,1007,10,10,7,26,18,,0,7,Rain,137
1/19/15,7,3,1,3,1,-2,100,84,61,1014,1012,1009,10,10,9,32,23,,0,6,Rain,10
1/20/15,5,2,-1,0,-1,-3,93,82,61,1013,1011,1010,10,9,6,19,10,,0,5,,119
1/21/15,6,3,1,5,3,0,93,89,81,1009,1004,1002,10,9,5,29,19,,0,7,Rain,126
1/22/15,4,2,0,3,0,-1,100,89,81,1023,1015,1007,10,7,3,21,16,,0,7,,17
1/23/15,4,1,-2,0,-2,-4,93,87,75,1030,1026,1023,6,5,4,16,13,,0,5,,32
1/24/15,10,4,-2,9,2,-4,100,84,62,1034,1029,1026,10,7,1,29,14,,0,6,Rain,48
1/25/15,8,3,-1,3,1,-2,93,83,66,1036,1034,1034,10,10,7,13,8,,0,6,,350
1/26/15,10,7,3,10,6,1,100,85,71,1034,1030,1028,10,9,3,23,8,,0,8,Rain,251
1/27/15,9,7,5,6,4,3,93,82,71,1032,1030,1029,10,10,10,23,16,,0,7,,329
1/28/15,12,9,7,11,7,3,100,85,71,1029,1020,1013,10,9,2,34,14,,0,8,Rain,243
1/29/15,11,9,7,10,7,3,100,89,76,1013,1000,989,10,8,3,53,24,77,0,7,Rain,278
1/30/15,10,8,5,5,3,0,87,75,66,993,990,986,10,10,6,52,32,76,0,6,Rain,302
1/31/15,9,7,4,4,3,1,93,78,62,998,991,987,10,10,10,35,21,,0,6,Rain,313
2/1/15,8,6,4,2,0,-1,87,68,53,1009,1005,999,10,10,10,39,31,,0,4,Rain,326
2/2/15,8,4,1,1,-2,-3,87,69,46,1010,1007,1004,10,10,10,19,11,,0,5,,69
2/3/15,6,2,-1,0,-2,-5,93,75,46,1007,1004,1003,10,10,10,21,11,,0,7,Rain,40
2/4/15,6,3,0,0,-2,-4,93,76,53,1019,1013,1007,10,10,6,37,23,,0,5,Rain-Snow,18
2/5/15,7,3,0,1,-1,-4,93,78,49,1021,1019,1017,10,10,10,29,23,,0,4,,7
2/6/15,2,1,0,-1,-4,-5,93,74,65,1021,1018,1017,10,10,4,27,21,,0,8,Snow,28
2/7/15,4,1,-2,-4,-5,-5,86,69,52,1030,1025,1021,10,9,5,29,21,,0,6,,35
2/8/15,9,4,-1,2,-1,-5,87,72,54,1035,1032,1030,10,10,9,42,18,,0,4,,25
2/9/15,10,5,0,0,-1,-2,93,74,43,1035,1033,1030,10,10,10,27,14,,0,,,37
2/10/15,8,4,0,2,0,-1,93,82,62,1030,1027,1023,10,8,4,26,14,,0,7,,54
2/11/15,12,4,-2,3,0,-3,93,77,51,1023,1021,1020,10,8,4,14,10,,0,,,126
2/12/15,11,7,3,5,3,0,87,76,62,1020,1019,1018,10,10,6,16,10,,0,8,Rain,149
2/13/15,11,8,6,8,6,4,93,86,76,1018,1012,1009,10,9,2,37,21,52,0,6,Rain,190
2/14/15,11,8,6,8,6,5,93,86,76,1009,1006,1005,10,10,5,34,21,,0,6,Rain,263
2/15/15,10,7,3,6,4,2,100,87,66,1018,1011,1006,10,9,0,23,8,,0,6,Fog,339
2/16/15,9,6,3,7,6,3,100,92,82,1020,1018,1016,10,7,1,34,10,,0,8,Fog-Rain,159
2/17/15,10,7,3,6,3,1,93,79,58,1040,1033,1021,10,10,10,35,26,,0,5,Rain,6
2/18/15,10,6,1,4,2,0,93,79,62,1040,1038,1035,10,10,9,19,13,,0,6,,46
2/19/15,9,7,5,5,4,2,87,80,71,1035,1030,1024,10,9,6,19,8,,0,8,,165
2/20/15,10,9,7,8,7,5,93,88,81,1024,1014,1007,10,9,5,37,21,58,0,7,Rain,209
2/21/15,10,7,3,6,3,1,93,80,54,1011,1007,1005,10,10,9,37,14,53,0,5,Rain,314
2/22/15,10,6,2,9,3,0,100,83,62,1016,1012,1007,10,9,2,29,18,,0,7,Rain,206
2/23/15,12,9,6,10,7,3,100,85,66,1009,1006,1003,10,9,2,35,27,58,0,7,Rain,260
2/24/15,10,8,5,5,3,1,93,75,66,1024,1016,1009,10,10,10,42,26,55,0,6,Rain,287
2/25/15,11,8,6,10,8,5,100,93,87,1024,1022,1020,10,8,2,26,16,,0,8,Rain,275
2/26/15,12,10,9,11,9,6,100,94,82,1024,1020,1016,10,8,1,32,19,,0,8,Fog-Rain,280
2/27/15,10,8,5,6,3,2,87,74,62,1026,1024,1018,10,10,10,40,26,,0,6,,303
2/28/15,11,9,7,11,7,4,100,91,76,1024,1019,1014,10,6,1,32,16,,0,8,Fog-Rain,186
3/1/15,12,11,11,11,11,10,100,98,88,1015,1014,1013,10,7,0,32,23,,0,8,Fog-Rain,242
3/2/15,13,10,8,10,8,6,94,84,71,1025,1019,1014,10,9,6,27,21,,0,7,Rain,261
3/3/15,12,10,8,9,7,4,94,87,71,1028,1024,1023,10,10,7,24,11,,0,6,Rain,236
3/4/15,11,8,5,4,3,1,87,72,54,1040,1034,1028,10,10,10,26,19,,0,5,,332
