CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2015-1-1,7,2,-3,1,-2,-5,93,80,57,1038,1037,1036,10,8,5,19,8,,0.00,,,111
2015-1-2,8,6,3,8,5,1,100,94,81,1038,1036,1035,9,3,0,23,18,,0.00,7,Fog-Rain,161
2015-1-3,13,10,8,13,11,7,100,98,88,1036,1033,1031,10,6,0,29,18,,0.00,8,Fog-Rain,235
2015-1-4,12,11,10,12,9,7,100,87,72,1036,1034,1032,10,10,2,21,11,,0.00,8,Rain,290
2015-1-5,10,7,4,7,6,3,100,95,76,1035,1030,1027,10,5,0,16,10,,0.00,8,Fog,86
2015-1-6,10,7,4,9,7,3,100,96,87,1029,1026,1025,10,7,2,21,10,,0.00,8,Rain,150
2015-1-7,12,10,8,11,9,8,100,96,88,1031,1030,1029,10,6,1,14,10,,0.00,8,Fog-Rain,170
2015-1-8,13,11,8,12,9,8,100,90,82,1039,1033,1030,10,9,3,29,16,,0.00,7,Rain,231
2015-1-9,13,11,9,13,11,8,100,95,88,1039,1037,1036,10,5,1,35,18,48,0.00,8,Rain,233
2015-1-10,13,12,12,12,12,11,100,96,88,1036,1031,1026,10,8,2,26,21,,0.00,8,Rain,250
2015-1-11,12,9,7,12,5,3,100,78,62,1036,1033,1026,10,10,2,32,21,,0.00,6,Rain,290
2015-1-12,12,9,6,10,6,3,100,87,76,1034,1027,1021,10,9,2,27,16,,0.00,7,Fog,173
2015-1-13,12,10,8,11,8,6,100,89,72,1021,1016,1014,10,8,5,35,19,58,0.00,5,Rain,206
2015-1-14,12,10,8,9,7,3,88,78,62,1021,1019,1014,10,10,8,35,21,58,0.00,6,Rain,232
2015-1-15,13,10,8,9,8,6,100,84,71,1014,1007,1005,10,9,6,37,26,53,0.00,7,Rain,193
2015-1-16,10,8,6,8,5,3,100,83,66,1016,1008,1005,10,10,7,26,13,,0.00,6,Rain,246
2015-1-17,9,6,2,4,2,-2,100,76,46,1020,1018,1016,10,10,10,16,8,,0.00,6,Rain,109
2015-1-18,9,7,4,4,3,2,93,84,71,1017,1011,1007,10,10,7,26,18,,0.00,7,Rain,137
2015-1-19,7,3,1,3,1,-2,100,84,61,1014,1012,1009,10,10,9,32,23,,0.00,6,Rain,10
2015-1-20,5,2,-1,0,-1,-3,93,82,61,1013,1011,1010,10,9,6,19,10,,0.00,5,,119
2015-1-21,6,3,1,5,3,0,93,89,81,1009,1004,1002,10,9,5,29,19,,0.00,7,Rain,126
2015-1-22,4,2,0,3,0,-1,100,89,81,1023,1015,1007,10,7,3,21,16,,0.00,7,,17
2015-1-23,4,1,-2,0,-2,-4,93,87,75,1030,1026,1023,6,5,4,16,13,,0.00,5,,32
2015-1-24,10,4,-2,9,2,-4,100,84,62,1034,1029,1026,10,7,1,29,14,,0.00,6,Rain,48
2015-1-25,8,3,-1,3,1,-2,93,83,66,1036,1034,1034,10,10,7,13,8,,0.00,6,,350
2015-1-26,10,7,3,10,6,1,100,85,71,1034,1030,1028,10,9,3,23,8,,0.00,8,Rain,251
2015-1-27,9,7,5,6,4,3,93,82,71,1032,1030,1029,10,10,10,23,16,,0.00,7,,329
2015-1-28,12,9,7,11,7,3,100,85,71,1029,1020,1013,10,9,2,34,14,,0.00,8,Rain,243
2015-1-29,11,9,7,10,7,3,100,89,76,1013,1000,989,10,8,3,53,24,77,0.00,7,Rain,278
2015-1-30,10,8,5,5,3,0,87,75,66,993,990,986,10,10,6,52,32,76,0.00,6,Rain,302
2015-1-31,9,7,4,4,3,1,93,78,62,998,991,987,10,10,10,35,21,,0.00,6,Rain,313
2015-2-1,8,6,4,2,0,-1,87,68,53,1009,1005,999,10,10,10,39,31,,0.00,4,Rain,326
2015-2-2,8,4,1,1,-2,-3,87,69,46,1010,1007,1004,10,10,10,19,11,,0.00,5,,69
2015-2-3,6,2,-1,0,-2,-5,93,75,46,1007,1004,1003,10,10,10,21,11,,0.00,7,Rain,40
2015-2-4,6,3,0,0,-2,-4,93,76,53,1019,1013,1007,10,10,6,37,23,,0.00,5,Rain-Snow,18
2015-2-5,7,3,0,1,-1,-4,93,78,49,1021,1019,1017,10,10,10,29,23,,0.00,4,,7
2015-2-6,2,1,0,-1,-4,-5,93,74,65,1021,1018,1017,10,10,4,27,21,,0.00,8,Snow,28
2015-2-7,4,1,-2,-4,-5,-5,86,69,52,1030,1025,1021,10,9,5,29,21,,0.00,6,,35
2015-2-8,9,4,-1,2,-1,-5,87,72,54,1035,1032,1030,10,10,9,42,18,,0.00,4,,25
2015-2-9,10,5,0,0,-1,-2,93,74,43,1035,1033,1030,10,10,10,27,14,,0.00,,,37
