CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,2,1,0,1,1,0,100,93,87,1036,1033,1030,14,9,3,32,16,,0.00,7,Rain,231
2015-1-2,2,1,1,0,-1,-3,93,83,66,1032,1025,1021,31,15,10,53,29,69,2.03,5,Rain,233
2015-1-3,2,1,0,0,-2,-2,100,83,67,1030,1022,1013,31,11,5,42,26,,0.00,5,Snow,231
2015-1-4,3,1,-1,0,-1,-3,100,84,60,1030,1022,1013,26,11,1,39,23,55,0.00,5,Rain-Snow,290
2015-1-5,2,0,-1,0,-2,-4,100,80,55,1031,1027,1024,31,13,3,27,19,,0.00,7,Snow,273
2015-1-6,2,-1,-3,-1,-2,-4,100,87,69,1029,1027,1025,19,11,5,14,10,,0.00,7,Snow,166
2015-1-7,1,-2,-4,0,-2,-5,100,92,80,1031,1027,1024,19,6,0,18,10,,1.02,7,Fog-Rain-Snow,211
2015-1-8,6,2,-2,3,1,-3,93,85,73,1031,1024,1018,31,13,10,50,16,61,0.25,6,Rain,206
2015-1-9,8,4,2,4,2,-1,93,73,58,1028,1017,1010,26,11,10,61,39,80,0.51,4,Rain,246
2015-1-10,13,9,5,10,6,-2,93,78,56,1011,1007,1003,31,11,4,69,39,90,2.03,5,Rain,256
2015-1-11,3,2,1,-2,-3,-5,81,65,45,1017,1012,1009,31,13,7,48,29,69,0.00,4,Snow,257
2015-1-12,5,3,2,1,-1,-3,87,73,57,1021,1019,1016,31,12,10,52,39,72,0.00,5,Rain,232
2015-1-13,11,7,2,1,-2,-5,81,54,25,1018,1014,1011,10,10,10,45,24,45,0.00,2,,199
2015-1-14,8,5,2,2,0,-3,87,63,35,1017,1012,1010,31,10,10,47,24,63,0.00,3,Rain,224
2015-1-15,5,1,-3,1,-2,-4,93,74,50,1020,1013,1008,10,10,10,26,18,,0.00,4,,176
2015-1-16,4,2,-1,1,-1,-3,93,81,50,1012,1009,1006,31,14,9,26,13,,0.00,4,,148
2015-1-17,3,2,0,2,1,-1,100,91,80,1019,1012,1005,19,8,3,16,8,,2.03,7,Rain,265
2015-1-18,4,2,0,2,1,-1,100,88,65,1020,1017,1015,26,9,3,11,6,,0.25,7,Rain,178
2015-1-19,2,1,0,0,-1,-3,100,85,72,1017,1013,1011,19,9,3,18,8,,0.00,8,,127
2015-1-20,1,0,-1,-1,-2,-4,95,82,66,1014,1011,1010,26,11,4,11,8,,0.00,8,Snow,141
2015-1-21,1,-1,-2,-1,-2,-3,100,89,73,1016,1013,1011,14,6,2,16,8,,0.00,7,Rain-Snow,54
2015-1-22,4,2,-1,3,2,-1,100,96,89,1016,1013,1011,4,2,0,18,11,,0.00,8,Fog-Rain,54
2015-1-23,0,-1,-1,2,-1,-2,100,96,88,1024,1019,1015,10,6,0,21,16,,0.51,8,Fog-Rain-Snow,331
2015-1-24,0,-1,-3,-2,-3,-4,100,88,69,1024,1020,1016,19,9,5,18,11,,0.00,8,Snow,310
2015-1-25,2,1,-1,-1,-2,-4,93,83,65,1028,1023,1019,31,12,6,23,13,,0.00,7,Snow-Hail,289
2015-1-26,2,-1,-3,-1,-2,-3,100,86,70,1028,1021,1013,31,12,3,32,11,,0.51,5,Rain-Snow,210
2015-1-27,2,1,-1,0,-1,-3,93,85,64,1019,1014,1011,26,10,3,32,23,,0.25,6,Rain-Snow,253
2015-1-28,3,1,0,-1,-2,-3,93,78,62,1019,1011,997,31,14,6,34,18,47,0.00,6,Rain-Snow,220
2015-1-29,3,1,-1,0,-3,-5,93,73,49,1000,993,980,31,11,3,42,26,61,0.00,4,Rain-Snow,205
2015-1-30,3,0,-2,-1,-3,-6,87,74,52,981,976,973,31,12,8,35,18,50,0.00,4,Rain-Snow,202
2015-1-31,1,-2,-4,-2,-4,-7,93,79,69,989,982,977,31,10,2,34,23,,0.00,4,Rain-Snow,223
2015-2-1,4,0,-4,-3,-4,-5,93,74,44,995,990,987,31,17,10,23,13,,0.00,3,,216
2015-2-2,2,-1,-3,-1,-3,-6,93,82,53,1001,996,993,31,10,1,21,14,,0.25,5,Snow,238
2015-2-3,3,0,-3,-3,-4,-7,93,75,40,1007,1001,998,31,12,4,27,21,,0.00,3,Snow,229
2015-2-4,-1,-3,-6,-4,-6,-8,93,80,53,1019,1010,1004,31,12,8,14,11,,0.00,5,Snow,286
2015-2-5,-1,-4,-8,-5,-7,-9,93,78,44,1026,1020,1015,31,11,6,26,10,,0.00,4,Snow,36
2015-2-6,0,-3,-7,-6,-7,-9,86,75,47,1030,1024,1022,14,10,6,26,16,,0.00,4,,21
2015-2-7,2,-4,-9,-4,-8,-11,93,69,28,1031,1025,1015,26,12,6,29,10,,0.00,6,,262
2015-2-8,-1,-2,-4,-2,-5,-9,93,74,44,1026,1017,1011,31,10,0,48,29,72,0.25,5,Rain-Snow,323
2015-2-9,4,0,-5,0,-3,-10,87,72,51,1025,1020,1017,31,13,10,39,24,47,0.00,7,Snow,262
2015-2-10,6,3,2,1,0,0,87,80,61,1030,1026,1022,31,13,10,23,14,,0.00,7,,272
2015-2-11,4,2,-1,0,-1,-3,93,78,58,1030,1027,1025,31,13,9,11,6,,0.00,7,,261
2015-2-12,1,-1,-2,-2,-3,-3,93,81,71,1028,1025,1024,14,10,8,13,8,,0.00,8,,164
2015-2-13,0,-1,-1,-2,-2,-3,93,83,74,1026,1022,1017,11,9,6,11,6,,0.00,8,,156
2015-2-14,0,-1,-2,-2,-3,-4,93,81,67,1020,1015,1013,11,8,6,11,6,,0.00,7,,127
2015-2-15,5,2,-2,0,-2,-3,93,74,55,1020,1016,1013,26,9,3,23,10,,0.00,8,,78
2015-2-16,9,2,-4,-1,-3,-4,93,70,35,1026,1021,1018,26,15,8,23,11,,0.00,,,91
2015-2-17,1,-2,-6,-2,-3,-6,93,83,66,1040,1031,1023,11,7,3,11,6,,0.00,8,,129
2015-2-18,2,1,-1,-1,-2,-3,93,81,67,1043,1039,1036,8,6,3,16,6,,0.00,8,,230
2015-2-19,5,1,-3,-2,-3,-4,93,80,47,1038,1031,1024,10,7,5,16,11,,0.00,7,,215
2015-2-20,10,2,-5,-1,-3,-6,93,71,30,1027,1018,1008,26,8,3,23,14,,0.00,3,,195
2015-2-21,8,2,-3,-2,-3,-4,93,70,38,1009,1002,998,26,9,3,18,11,,0.00,,,139
2015-2-22,4,2,-1,1,-1,-3,93,80,63,1012,1007,1001,19,10,5,21,11,,0.00,6,Rain,341
2015-2-23,8,3,-2,1,-1,-3,100,80,43,1012,1003,998,26,10,4,34,13,,0.51,5,Rain,186
2015-2-24,8,4,1,2,0,-2,93,74,42,1015,1007,1001,31,11,9,26,14,,0.00,3,,240
2015-2-25,6,3,-1,0,-2,-2,87,73,46,1023,1017,1014,31,17,10,21,11,,0.00,2,,252
2015-2-26,8,2,-3,0,-3,-6,93,69,28,1025,1021,1015,26,13,8,14,8,,0.00,2,,201
2015-2-27,6,2,-2,0,-2,-4,93,74,52,1018,1013,1011,19,11,9,14,10,,0.00,4,,139
2015-2-28,4,2,-1,1,-1,-3,93,77,54,1022,1019,1015,26,11,3,13,8,,0.00,6,,228
2015-3-1,5,1,-3,4,0,-4,93,87,61,1019,1010,1005,26,10,3,29,14,,1.02,5,Rain-Snow,185
2015-3-2,7,4,2,5,1,-4,100,72,33,1010,1004,998,26,11,5,48,23,66,0.76,4,Rain-Snow,221
2015-3-3,7,3,0,-1,-4,-5,75,56,29,1021,1017,1010,26,11,10,50,32,69,0.00,2,Snow,235
2015-3-4,7,3,0,0,-3,-8,93,60,25,1027,1021,1015,31,12,8,40,23,58,0.00,4,Rain-Snow,259
2015-3-5,6,2,-2,0,-3,-6,93,71,35,1035,1030,1025,31,13,8,34,18,,0.00,5,Rain-Snow,291
