DAY,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,-21,-24,-29,-25,-29,-33,77,72,69,1006,1001,997,10,6,1,18,11,,0.00,7,Snow,44
2015-1-2,-26,-29,-32,-30,-33,-37,76,69,63,1007,1000,995,10,8,4,14,10,26,0.00,7,Snow,282
2015-1-3,-33,-37,-40,-38,-43,-45,68,60,55,1019,1015,1008,10,6,1,11,8,,0.00,1,,239
2015-1-4,-16,-27,-38,-19,-33,-43,78,69,55,1019,1005,995,10,3,1,32,14,43,0.00,6,Snow,123
2015-1-5,-12,-14,-17,-14,-18,-20,85,80,78,1003,1001,997,10,8,1,18,6,,0.00,8,Snow,65
2015-1-6,-3,-8,-12,-3,-6,-14,100,96,79,1011,1005,1001,10,7,1,21,14,,0.00,8,Snow,194
2015-1-7,-5,-6,-7,-6,-6,-8,100,94,86,1012,1007,1003,10,8,2,26,14,35,0.00,8,Snow,138
2015-1-8,-7,-18,-29,-7,-23,-33,100,77,64,1013,1010,1004,10,8,3,18,11,32,0.00,7,Snow,222
2015-1-9,-17,-22,-27,-20,-25,-31,78,74,70,1010,1000,995,10,6,1,21,13,35,0.00,8,Snow,329
2015-1-10,-23,-27,-32,-27,-33,-37,77,67,63,1014,1008,999,10,10,7,26,19,40,0.00,4,Snow,216
2015-1-11,-27,-29,-32,-31,-34,-37,70,67,63,1025,1021,1014,9,8,7,21,16,29,0.00,2,,193
2015-1-12,-17,-22,-28,-20,-24,-31,78,74,70,1025,1024,1023,10,9,6,18,11,,0.00,7,Snow,137
2015-1-13,-15,-18,-20,-20,-22,-24,78,68,61,1025,1023,1015,10,10,9,29,14,43,0.00,5,Snow,132
2015-1-14,-9,-13,-17,-12,-16,-22,86,76,61,1014,1005,1001,10,6,1,35,27,55,0.00,7,Snow,154
2015-1-15,-6,-9,-12,-6,-9,-14,100,85,79,1009,1008,1008,10,8,2,26,18,29,0.00,8,Snow,174
2015-1-16,-6,-14,-23,-7,-14,-26,100,87,71,1017,1013,1008,10,8,0,14,8,29,0.00,7,Snow,235
2015-1-17,-15,-18,-22,-18,-21,-25,85,79,71,1017,1014,1011,10,9,5,18,6,,0.00,6,Snow,44
2015-1-18,-12,-18,-23,-14,-23,-27,85,76,71,1016,1013,1007,10,8,2,14,3,,0.00,7,Snow,145
2015-1-19,-2,-7,-11,-4,-8,-14,100,88,74,1006,995,989,10,7,1,32,18,50,0.00,8,Snow,186
2015-1-20,-2,-13,-24,-5,-18,-27,86,75,66,1005,998,990,10,9,0,32,23,50,0.00,5,Snow,235
2015-1-21,-24,-28,-33,-28,-31,-38,77,71,62,1005,1003,1002,10,8,0,11,6,,0.00,3,Snow,218
2015-1-22,-28,-31,-36,-32,-36,-40,70,66,62,1018,1009,1003,9,8,5,11,3,,0.00,5,Snow,330
