ART,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,12,9,5,7,4,0,87,71,58,1016,1015,1013,31,15,10,29,19,,0.00,5,Rain,173
2015-1-2,8,7,6,5,3,1,87,75,56,1014,1012,1011,31,13,10,48,37,66,0.00,6,Rain,249
2015-1-3,15,10,5,5,3,0,81,63,30,1015,1007,1002,31,14,10,47,18,66,0.00,4,Rain,244
2015-1-4,13,10,7,4,2,0,71,53,29,1003,998,988,31,15,10,39,19,45,1.02,6,,270
2015-1-5,11,8,6,5,3,1,93,70,43,989,988,986,31,13,6,48,23,,1.02,6,Rain,244
2015-1-6,9,7,5,4,2,-2,93,70,43,994,983,980,31,13,10,55,19,72,1.02,6,Rain,241
2015-1-7,8,7,4,5,3,-2,93,80,49,995,993,990,19,10,5,52,40,72,3.05,6,Rain,236
2015-1-8,9,6,2,3,1,-4,93,67,41,1002,999,994,31,13,8,48,27,,1.02,6,Rain,220
2015-1-9,11,8,5,6,2,-1,87,70,55,1002,999,994,31,13,8,32,6,,1.02,6,Rain,255
2015-1-10,10,8,5,5,3,1,93,69,43,994,987,984,31,14,10,55,24,74,0.76,5,Rain,246
2015-1-11,8,6,3,4,2,1,87,77,61,991,988,986,31,14,10,50,39,71,2.03,5,Rain,236
2015-1-12,8,6,3,4,2,0,93,77,60,996,994,990,31,11,6,52,39,66,0.51,5,Rain,244
2015-1-13,8,6,4,4,2,0,93,77,54,1009,1000,996,31,12,8,55,23,52,0.00,6,Rain,252
2015-1-14,11,8,4,3,2,-1,81,66,50,1010,1006,1001,31,14,10,64,37,90,0.00,6,,250
2015-1-15,10,8,4,4,3,1,93,70,48,1002,993,987,31,12,2,135,47,90,0.00,6,Rain,240
2015-1-16,8,6,3,2,0,-3,87,65,38,1012,1009,1002,26,11,5,64,48,77,0.00,5,Rain,237
2015-1-17,9,7,4,3,2,-1,81,68,55,1011,1009,1009,31,13,10,60,50,80,0.00,6,,235
2015-1-18,12,9,6,4,2,0,81,64,33,1014,1010,1007,31,14,10,60,45,76,0.00,5,,248
2015-1-19,13,10,6,5,3,0,71,61,48,1015,1012,1006,31,14,10,55,45,71,0.00,5,,246
2015-1-20,13,11,8,9,4,1,94,63,46,1009,1007,1005,31,14,10,64,48,90,0.00,5,,244
2015-1-21,22,16,9,9,7,4,76,55,31,1009,1004,1000,31,15,10,27,10,,0.00,4,,288
2015-1-22,24,17,10,9,5,-1,76,47,10,1005,998,994,31,18,10,50,24,63,0.00,5,,250
2015-1-23,22,16,9,8,6,3,87,54,25,1008,1006,1002,31,22,10,40,16,,0.00,4,,245
2015-1-24,14,11,8,8,3,-2,82,52,26,1006,1000,995,31,14,10,61,23,82,0.00,4,Rain,259
2015-1-25,13,9,4,4,1,-2,81,57,28,1007,1005,1002,31,14,10,21,11,,0.00,5,,228
2015-1-26,14,11,8,7,4,1,87,61,40,1003,999,997,31,15,10,34,11,53,4.06,6,Rain,357
2015-1-27,12,9,7,8,7,4,93,84,62,1008,1002,999,31,12,5,29,11,,0.00,7,Rain,102
2015-1-28,13,10,6,6,4,1,93,65,36,1012,1010,1001,31,15,10,32,19,,0.00,4,,272
2015-1-29,18,13,8,7,4,2,81,55,28,1012,1007,1000,31,15,10,32,8,,0.00,4,,70
2015-1-30,22,16,11,9,7,4,82,56,22,1000,999,997,31,15,10,32,13,52,0.00,5,,118
2015-1-31,13,11,9,8,4,-1,87,62,32,1003,997,994,31,14,8,60,31,82,0.00,6,Rain,243
2015-2-1,16,11,7,5,3,1,87,58,27,1005,1001,998,31,14,10,45,18,64,0.00,6,Rain,260
2015-2-2,12,11,9,9,7,5,88,75,62,1006,1001,999,31,11,5,52,32,80,1.02,6,Rain,248
2015-2-3,14,11,8,10,8,7,94,78,63,1009,1007,1006,31,14,10,32,14,55,0.00,6,Rain,103
2015-2-4,24,18,12,10,6,3,72,47,18,1005,1000,996,31,16,10,42,18,64,0.00,3,Rain,339
2015-2-5,20,13,7,9,4,1,87,58,22,1003,999,993,31,14,10,40,18,63,0.00,5,Rain,335
2015-2-6,15,10,6,7,4,1,87,65,32,1001,999,998,31,14,10,39,11,66,0.00,4,Rain,243
