FECHA; Max TemperatureC; Min TemperatureC; Max Humidity; Min Humidity; Max VisibilityKm; Min VisibilitykM; Mean Wind SpeedKm/h; Precipitationmm
01-01-15;31;22;94;62;10;5;5;0.00
02-01-15;32;23;94;56;10;0;8; 0.00
03-01-15;27;23;95;72;10;1;6; 0.76
04-01-15;31;22;100;65;10;1;6; 0.00
05-01-15;29;23;94;67;10;0;8; 0.00
06-01-15;28;21;96;73;10;1;6; 0.00
07-01-15;28;22;94;71;10;5;3; 0.00
08-01-15;28;22;94;65;10;2;6; 0.00
09-01-15;29;22;94;74;10;1;2; 0.00
10-01-15;29;22;94;63;10;1;3; 0.00
11-01-15;33;23;94;59;27;0;3; 0.00
12-01-15;29;22;96;70;10;3;6; 0.00
13-01-15;32;22;95;60;10;8;3; 0.00
14-01-15;33;24;94;49;10;6;6; 0.00
15-01-15;32;22;96;54;10;8;3; 0.00
16-01-15;32;23;97;60;10;4;3; 0.00
17-01-15;34;22;96;49;10;3;3; 0.00
18-01-15;30;22;94;68;10;5;10; 0.00
19-01-15;33;23;100;49;10;0;3; 0.00
20-01-15;30;23;94;59;10;2;5; 0.00
21-01-15;29;23;95;74;10;1;3; 0.00
22-01-15;31;22;95;70;10;0;5; 0.00
23-01-15;31;22;94;62;10;5;3; 0.00
24-01-15;31;22;97;70;10;1;6; 0.00
25-01-15;32;23;100;58;10;0;3; 0.00
26-01-15;33;23;97;55;10;5;5; 0.00
27-01-15;30;23;95;74;10;6;3; 0.00
28-01-15;31;22;94;62;10;0;5; 0.00
29-01-15;30;23;95;65;10;8;2; 0.00
30-01-15;29;22;94;72;10;5;6; 0.00
31-01-15;32;22;97;62;10;2;6; 0.00
01-02-15;31;22;95;52;10;8;5; 0.00
02-02-15;30;22;94;59;10;1;6; 0.00
03-02-15;32;22;94;54;10;1;5; 0.00
04-02-15;32;21;94;47;10;0;5; 0.00
05-02-15;31;23;94;59;10;8;8; 0.00
06-02-15;32;23;96;62;10;7;3; 0.00
07-02-15;34;22;94;52;10;6;6; 0.00
08-02-15;33;24;95;55;10;3;2; 0.00
09-02-15;32;22;94;60;10;2;6; 0.00
10-02-15;32;23;95;54;10;0;2;0.00
11-02-15;32;24;99;55;27;2;6;0.00
12-02-15;32;22;100;59;10;1;6;0.00
13-02-15;32;23;96;63;10;0;5;0.00
14-02-15;30;23;96;70;10;7;5;0.00
15-02-15;32;24;94;53;10;8;6;0.00
16-02-15;31;23;100;59;10;3;6;0.00
17-02-15;32;24;94;62;10;8;3;0.00
18-02-15;34;23;100;54;10;1;5;0.00
19-02-15;34;23;94;51;10;10;6;0.00
20-02-15;34;23;100;49;10;5;3;0.00
21-02-15;35;25;94;38;10;8;5;0.00
22-02-15;32;23;94;58;10;2;8;0.00
23-02-15;34;24;94;49;10;10;5;0.00
24-02-15;29;23;100;72;10;0;3;0.00
25-02-15;31;23;94;63;10;2;8;0.00
26-02-15;32;23;94;58;10;3;3;0.00
27-02-15;32;22;94;56;10;1;6;0.00
28-02-15;31;23;94;57;10;5;6;0.00
01-03-15;27;22;94;68;10;3;5;0.00
02-03-15;34;22;94;47;10;0;3;0.00
03-03-15;33;23;95;59;10;8;5;0.00
04-03-15;33;23;95;52;10;6;3;0.00
05-03-15;27;23;100;86;10;4;5;0.00
06-03-15;30;22;94;66;10;4;3;0.00
07-03-15;27;23;96;74;10;0;5;0.00
08-03-15;32;22;95;59;10;3;6;0.00
09-03-15;31;23;95;70;10;5;5;0.00
10-03-15;33;23;95;59;10;2;8;0.00
11-03-15;30;22;94;74;10;1;6;0.00
12-03-15;31;23;96;66;10;1;5;0.00
13-03-15;32;23;96;56;10;5;3;0.00
14-03-15;31;22;94;55;10;7;6;0.00
15-03-15;29;23;100;78;10;0;6;0.00
16-03-15;30;23;100;64;10;8;6;0.00
17-03-15;32;23;94;55;10;2;3;0.00
18-03-15;28;24;94;73;10;3;8;0.00
19-03-15;31;23;100;30;10;0;6;0.00
20-03-15;30;23;100;69;10;0;5;0.00
21-03-15;30;22;97;65;10;0;6;0.00
22-03-15;30;21;94;70;10;0;8;0.00
23-03-15;32;21;96;56;10;8;5;0.00
24-03-15;32;22;94;59;10;5;5;0.00
25-03-15;33;23;96;55;10;1;5;0.00
26-03-15;31;22;94;58;10;3;5;0.00
27-03-15;34;23;94;44;10;8;3;0.00
28-03-15;31;23;95;66;10;1;10;0.00
29-03-15;32;23;97;59;10;8;5;0.00
30-03-15;32;23;100;62;10;0;8;0.00
31-03-15;32;23;100;53;10;5;3;0.00
01-04-15;35;23;96;52;10;7;3;0.00
02-04-15;27;22;100;75;10;0;10;0.00
03-04-15;31;23;94;60;10;8;5;0.00
04-04-15;33;23;95;55;10;2;6;0.00
05-04-15;33;23;94;45;10;8;8;0.00
06-04-15;30;21;100;73;10;1;8;0.00
07-04-15;32;23;95;55;10;1;6;0.00
08-04-15;32;23;94;54;10;10;5;13.97
09-04-15;29;23;94;72;10;3;5;0.00
10-04-15;32;23;95;58;10;1;6;0.00
11-04-15;27;23;100;87;10;1;10;0.00
12-04-15;31;22;95;51;10;8;3;0.00
13-04-15;32;24;94;62;10;8;3;0.00
14-04-15;34;23;100;44;10;8;5;0.00
15-04-15;31;23;100;56;10;4;6;0.00
16-04-15;33;24;94;61;10;8;8;0.00
17-04-15;31;23;94;54;10;8;8;0.00
18-04-15;32;23;94;46;10;8;5;0.00
19-04-15;34;24;95;55;10;5;5;0.00
20-04-15;31;23;94;51;10;2;6;0.00
21-04-15;33;23;94;61;10;1;11;0.00
22-04-15;29;22;94;66;10;1;10;0.00
