PKT,MaxTemperatureC,MeanTemperatureC,MinTemperatureC,DewPointC,MeanDewPointC,MinDewpointC,MaxHumidity,MeanHumidity,MinHumidity,MaxSeaLeve Pressure,MeanSeaLevelPressure,MinSeaLevelPressure,MaxVisibility,MeanVisibility,MinVisibility,MaxWindSpeed,MeanWindSpeed,MaxGustSpeed,Precipitationmm,CloudCover,Events,WindDirDegrees
1,24,19,13,3,-1,-5,33,25,10,1019,1017,1015,6,3,0,55,26,,0.00,,,18
1,26,20,14,10,4,-2,48,35,25,1020,1017,1015,6,5,2,39,18,,0.00,,,23
1,27,19,12,14,8,3,70,46,20,1019,1017,1015,6,5,3,23,8,,0.00,,,309
1,28,20,13,14,9,4,82,54,23,1020,1018,1016,8,6,3,16,8,,0.00,1,,70
1,27,20,13,16,9,6,83,54,25,1021,1018,1016,6,5,3,14,8,,0.00,,,314
1,27,20,13,18,14,10,88,66,29,1018,1016,1014,9,5,1,34,10,,0.00,2,,282
1,29,22,15,19,15,10,88,70,30,1016,1015,1013,6,4,2,21,6,,0.00,1,,9
1,28,21,13,16,12,8,83,62,32,1019,1016,1015,5,4,2,16,6,,0.00,2,,42
1,27,21,14,19,15,12,94,75,42,1020,1017,1015,6,3,0,26,8,,0.00,2,Fog,77
1,28,21,13,16,11,8,86,55,26,1021,1019,1017,5,3,1,14,8,,0.00,1,,78
1,27,20,13,17,13,1,78,63,44,1021,1018,1016,7,4,1,224,23,,0.00,2,,283
1,27,21,14,19,16,13,94,70,42,1019,1016,1014,7,5,2,27,10,,0.00,2,,260
1,30,22,14,21,15,8,94,61,25,1016,1014,1010,7,5,1,23,10,,0.00,3,,290
1,26,20,14,14,1,-7,68,31,6,1019,1016,1014,6,4,2,39,13,,0.00,,,33
1,24,18,13,8,3,-4,63,38,16,1022,1020,1018,6,5,2,37,18,,0.00,,,40
1,25,18,10,8,4,0,71,43,15,1023,1020,1018,8,5,3,27,14,,0.00,,,47
1,25,18,10,7,3,-5,71,43,15,1022,1019,1017,7,5,3,16,8,,0.00,,,46
1,27,18,9,21,2,-5,99,39,10,1021,1018,1015,8,6,3,21,8,,0.00,,,36
1,27,18,9,8,2,-2,62,36,9,1018,1016,1013,7,6,3,23,8,,0.00,1,,47
1,26,19,12,16,8,3,73,46,18,1015,1014,1012,6,5,3,27,18,,1.02,5,Rain,76
1,25,20,14,14,9,3,88,55,25,1019,1017,1015,6,5,3,11,8,,0.25,5,Rain,8
1,24,20,15,11,8,5,68,47,31,1021,1019,1017,6,5,2,27,11,,0.00,3,,49
1,24,19,14,10,7,3,67,46,19,1022,1020,1018,6,5,3,130,14,,0.00,3,,44
1,23,18,12,9,6,4,71,46,21,1023,1020,1018,7,5,3,121,14,,0.00,1,,45
1,25,18,11,11,7,4,63,47,27,1022,1020,1018,6,5,3,23,10,,0.00,2,,37
1,26,19,11,12,6,1,72,46,21,1023,1020,1018,7,5,3,19,6,,0.00,3,,49
1,25,18,11,9,1,-9,72,37,7,1022,1020,1015,10,6,3,19,10,,0.00,,,44
1,23,17,11,8,-2,-5,55,28,10,1021,1019,1016,10,6,3,24,10,,0.00,,,48
1,26,18,10,15,6,-2,77,47,21,1021,1019,1017,7,5,3,24,8,,0.00,,,353
1,28,19,11,15,5,-2,92,44,12,1023,1020,1018,7,5,3,23,8,,0.00,,,41
1,27,19,11,17,12,5,78,59,42,1020,1016,1014,7,5,3,27,11,,0.00,1,,262
2,27,19,12,20,17,16,83,72,53,1015,1014,1012,7,5,3,29,11,,0.00,4,,236
2,26,21,17,18,9,6,88,46,22,1019,1015,1012,6,4,3,35,16,,0.00,3,,59
2,27,21,14,11,7,5,63,42,21,1023,1021,1019,7,5,3,82,16,,0.00,1,,47
2,28,21,13,10,6,2,63,40,15,1024,1022,1020,8,5,3,29,11,,0.00,,,44
2,28,21,14,11,6,1,67,39,18,1021,1019,1016,8,6,3,19,10,,0.00,2,,43
2,28,20,12,17,7,1,73,41,19,1019,1016,1014,7,6,3,21,8,,0.00,,,309
2,27,20,13,16,9,5,77,50,21,1017,1015,1013,7,5,3,29,8,,0.00,1,,325
2,27,21,14,18,8,5,77,48,20,1020,1017,1015,7,5,3,23,10,,0.00,3,,45
2,27,21,14,11,5,1,63,37,12,1023,1020,1017,6,5,3,37,16,,0.00,,,33
2,28,22,16,8,2,-1,45,27,12,1023,1020,1017,6,5,3,23,13,,0.00,,,14
2,28,21,13,16,7,2,68,40,18,1020,1017,1015,6,5,2,21,10,,0.00,,,297
2,31,23,14,19,14,9,88,60,27,1018,1016,1013,6,5,2,34,10,,0.00,3,,248
2,29,22,16,20,18,16,88,70,45,1016,1014,1012,7,6,3,34,19,,0.00,3,,256
2,30,26,22,22,19,18,85,70,48,1013,1011,1010,6,5,3,29,18,,0.00,5,,257
2,28,24,20,21,18,17,84,70,50,1014,1012,1009,6,5,3,23,11,,0.00,3,,270
2,31,26,21,21,18,10,95,66,27,1014,1012,1010,6,5,3,37,16,,0.00,2,,259
2,31,25,19,21,17,12,94,67,25,1016,1013,1011,6,4,2,26,13,,0.00,1,,216
2,29,24,19,21,18,8,94,70,48,1014,1011,1009,6,5,2,21,10,,0.00,2,,228
2,29,24,19,21,19,17,88,73,49,1012,1010,1008,7,5,2,24,11,,0.00,3,,237
2,31,25,19,22,20,18,90,73,48,1015,1012,1010,6,5,3,19,10,,0.00,2,,256
2,33,26,18,21,14,6,94,56,20,1018,1015,1012,6,3,0,26,8,,0.00,4,Fog,34
2,34,27,19,20,14,11,76,49,25,1017,1014,1012,6,5,3,23,10,,0.00,4,,123
2,29,24,20,21,17,14,85,63,39,1015,1013,1012,7,5,3,34,14,,0.00,3,,230
2,27,23,19,16,7,0,61,37,16,1014,1012,1009,6,5,3,40,26,,0.00,4,,252
2,25,21,17,6,-3,-8,38,20,5,1015,1012,1010,8,6,3,29,21,32,0.00,2,,269
2,27,21,14,9,-1,-9,48,26,6,1015,1012,1010,10,6,3,27,10,,0.00,,,306
2,28,21,13,13,6,-5,52,36,12,1014,1012,1010,8,6,3,19,8,,0.00,4,Rain-Thunderstorm,70
2,22,18,14,14,8,6,68,49,27,1015,1011,1007,7,5,3,47,21,48,0.00,7,Rain-Thunderstorm,35
3,23,19,15,9,6,5,59,43,27,1012,1009,1001,9,6,3,52,31,61,0.00,3,Thunderstorm,31
3,26,20,14,14,9,3,82,50,16,1015,1013,1011,8,6,3,34,13,,0.00,2,,195
3,27,22,17,15,11,7,60,49,34,1016,1014,1012,8,6,3,29,13,,0.00,3,,257
3,27,21,15,17,13,11,77,58,35,1015,1013,1011,8,6,3,32,11,,0.00,2,,240
3,28,22,16,20,17,15,83,66,43,1016,1014,1012,7,6,3,27,14,,0.00,4,,232
3,30,24,18,19,16,12,94,62,33,1019,1016,1014,8,5,3,122,11,,0.00,2,,99
3,29,24,19,19,10,-4,78,46,6,1016,1014,1012,6,4,1,26,10,,0.00,4,,275
3,30,24,18,11,-3,-14,49,20,4,1018,1016,1014,8,5,2,32,14,,0.00,2,,319
3,30,22,15,11,-2,-14,59,23,4,1022,1020,1016,7,6,3,32,11,,0.00,,,49
3,28,22,16,6,0,-7,37,22,8,1023,1020,1017,7,5,3,40,23,,0.00,,,42
3,30,23,16,6,2,-3,45,25,8,1020,1017,1014,8,6,3,27,13,35,0.00,3,,37
3,33,26,18,10,2,-1,31,21,8,1019,1016,1014,8,6,3,48,16,64,0.00,2,,45
3,28,23,19,14,9,1,73,40,18,1016,1014,1011,7,5,3,23,11,,0.51,4,Rain-Thunderstorm,306
3,27,22,18,17,11,4,88,52,24,1015,1013,1011,9,6,3,40,13,,1.02,4,Rain-Hail-Thunderstorm,249
3,27,21,15,14,10,7,63,48,30,1015,1013,1011,8,6,3,24,10,,0.00,2,,117
3,34,25,16,19,13,3,83,54,19,1019,1016,1014,7,6,3,27,10,,0.00,1,,284
3,33,26,18,19,13,4,88,52,14,1021,1018,1016,9,6,3,24,8,,0.00,2,,348
3,32,25,18,17,11,5,68,42,18,1017,1015,1012,8,6,3,26,8,,0.00,1,,266
3,30,25,20,21,18,14,88,65,50,1015,1014,1012,8,6,3,32,11,,0.00,1,,247
3,34,27,21,22,17,14,78,51,31,1016,1014,1012,7,6,3,26,10,,0.00,,,244
3,35,29,23,22,18,12,83,58,25,1017,1015,1013,7,5,3,21,6,,0.00,1,,230
3,37,29,21,20,16,12,78,47,20,1017,1014,1012,7,5,3,23,8,,0.00,2,,262
3,39,31,23,19,14,5,73,45,13,1014,1012,1010,7,6,3,27,8,,0.00,,,273
3,34,29,23,22,18,13,83,57,29,1016,1011,1009,7,6,3,34,13,,0.00,2,,255
3,36,28,21,23,19,13,88,59,26,1012,1011,1009,7,5,2,24,8,,0.00,4,,198
3,38,30,22,20,15,6,61,39,15,1014,1012,1010,7,6,3,24,6,,0.00,5,,339
3,39,32,25,19,16,12,61,39,18,1014,1012,1010,7,6,3,27,10,,0.00,2,,311
3,37,31,25,21,16,12,65,43,22,1012,1010,1009,7,6,3,37,11,,0.00,4,,254
3,35,30,25,18,9,4,51,29,13,1011,1009,1006,7,6,3,37,13,,0.00,3,,272
3,35,28,21,18,9,-1,73,36,8,1012,1009,1007,7,6,3,37,13,,0.00,,,276
3,33,27,21,20,16,9,74,52,31,1013,1010,1008,8,6,3,24,8,,0.00,,,251
4,31,27,23,23,21,19,79,69,52,1010,1008,1006,7,6,3,37,21,,0.00,4,,245
4,31,28,24,23,22,20,83,73,51,1009,1007,1006,7,5,3,34,21,,0.00,4,,244
4,29,27,24,24,22,21,83,73,64,1007,1005,1003,7,5,3,40,27,,0.00,5,,234
4,32,28,24,23,20,18,74,65,47,1007,1005,1003,4,4,2,27,16,,0.00,4,,241
4,31,27,23,21,19,17,78,61,44,1008,1007,1004,6,5,3,24,13,,0.00,2,,243
4,32,28,24,22,19,17,83,63,43,1009,1007,1005,6,5,3,29,13,,0.00,1,,242
4,35,29,24,23,19,13,83,60,28,1010,1008,1007,7,5,3,26,8,,0.00,,,250
4,37,30,23,21,16,10,88,46,18,1015,1011,1009,7,5,3,23,8,,0.00,3,,269
4,38,31,23,16,8,3,45,25,8,1013,1011,1009,7,5,3,21,10,,0.00,1,,323
4,39,31,24,18,7,1,45,23,5,1010,1009,1006,6,5,3,26,11,,0.00,2,,276
4,34,30,25,24,20,12,83,60,19,1011,1009,1007,6,5,3,29,14,,0.00,2,,240
4,37,31,25,23,19,11,83,56,16,1013,1011,1008,7,5,3,23,13,,0.00,2,,116
4,39,32,24,23,14,6,78,39,10,1014,1012,1009,7,6,3,19,10,,0.00,3,,245
4,38,31,24,21,11,5,57,28,12,1013,1011,1008,8,6,3,34,11,,0.00,1,,260
4,40,32,25,13,8,0,34,21,10,1013,1011,1009,9,6,3,23,11,,0.00,2,,279
4,41,33,27,20,11,6,42,26,11,1014,1012,1010,7,6,3,23,11,,0.00,,,270
4,36,32,27,23,19,14,66,46,32,1013,1010,1008,7,6,3,26,13,,0.00,,,249
4,35,31,27,23,20,16,66,53,38,1008,1006,1003,7,6,3,29,19,,0.00,2,,234
4,35,31,27,22,18,12,66,45,23,1008,1006,1003,7,6,3,34,18,,0.00,,,227
4,39,33,27,22,17,9,61,41,18,1010,1008,1006,6,5,3,27,19,,0.00,,,237
4,37,31,25,22,15,5,61,37,13,1011,1009,1008,7,6,3,24,13,,0.00,,,230
4,37,31,26,22,17,3,74,47,8,1009,1007,1005,7,6,3,29,16,,0.00,,,244
4,37,31,26,22,18,11,70,51,16,1009,1007,1006,7,6,3,27,19,,0.00,,,236
4,36,30,25,24,21,17,74,59,34,1009,1007,1005,7,6,3,26,16,,0.00,,,233
4,36,31,25,25,22,20,83,64,39,1008,1005,1003,7,6,3,26,13,,0.00,,,230
4,37,32,26,26,23,15,84,64,27,1008,1006,1004,7,6,3,34,13,,0.00,3,,230
4,34,31,27,26,24,23,84,69,52,1009,1008,1006,7,5,3,26,16,,0.00,3,,229
4,38,32,26,26,21,14,79,54,27,1010,1008,1007,6,4,3,29,18,,0.00,3,,234
4,36,30,25,25,21,17,78,58,34,1008,1007,1005,6,5,3,27,14,,0.00,,,230
4,39,33,27,25,19,8,79,47,16,1009,1007,1001,9,6,3,27,18,,0.00,,,237
5,43,34,25,22,12,0,57,29,5,1010,1008,1006,7,6,3,23,8,,0.00,,,253
5,39,32,26,31,18,11,74,43,24,1009,1007,1005,7,6,3,21,13,,0.00,,,233
5,35,30,26,24,21,11,79,55,35,1009,1007,1005,7,6,3,24,13,,0.00,1,,226
5,35,30,26,25,23,20,84,64,43,1010,1009,1007,7,6,3,23,14,,0.00,1,,225
5,35,31,26,26,23,21,79,66,42,1009,1008,1006,7,6,3,26,14,,0.00,2,,246
5,35,31,26,25,23,21,82,68,46,1008,1006,1005,7,6,3,27,16,,0.00,3,,244
5,34,31,27,26,23,22,79,66,52,1008,1007,1006,6,6,3,35,19,,0.00,3,,229
5,34,31,27,26,23,21,84,68,49,1009,1007,1005,7,5,3,27,18,,0.00,2,,226
5,35,31,27,26,23,21,84,67,49,1007,1005,1004,7,6,3,27,16,,0.00,4,,214
5,35,31,27,26,24,21,79,66,46,1007,1006,1004,8,6,3,26,18,,0.00,4,,235
5,35,31,28,28,24,22,77,67,48,1007,1006,1004,7,6,3,200,19,,0.00,4,,230
5,37,32,28,27,24,21,84,65,41,1008,1006,1004,7,6,3,27,16,,0.00,3,,218
5,35,32,28,27,24,22,84,68,52,1008,1006,1004,7,5,3,24,11,,0.00,2,,221
5,36,31,27,27,24,20,86,66,41,1010,1008,1006,7,6,3,23,13,,0.00,1,,214
5,38,33,28,26,22,17,82,61,26,1010,1008,1007,7,6,3,26,18,,0.00,1,,240
5,35,31,27,28,24,22,87,68,49,1007,1005,1003,8,6,3,34,16,52,0.00,2,,239
5,35,31,27,26,24,11,84,65,27,1004,1003,1001,7,6,3,29,21,,0.00,2,,233
5,36,32,28,27,24,22,79,65,47,1005,1003,1002,7,6,3,26,19,,0.00,4,,226
5,36,32,28,26,24,22,74,65,48,1006,1005,1003,7,6,3,27,19,,0.00,5,,222
