GMT,Max TemperatureC,Min TemperatureC,Max Humidity,Min Humidity,Max VisibilityKm,Min VisibilitykM,Precipitationmm,Events
01-01-2015,28,19,90,15,10,8,0.00,
02-01-2015,26,18,64,10,8,6,0.00,
03-01-2015,29,19,75,13,8,6,0.00,
04-01-2015,29,22,69,11,8,6,0.00,1
05-01-2015,26,22,78,31,6,2,0.00,
06-01-2015,25,21,82,28,4,2,0.00,
07-01-2015,24,21,79,44,10,3,0.00,
08-01-2015,23,20,73,45,10,8,0.00,
09-01-2015,23,20,78,41,8,6,0.00,
10-01-2015,23,19,88,50,8,3,0.00,
11-01-2015,27,19,88,34,6,2,0.00,
12-01-2015,23,19,94,53,4,1,0.00,
13-01-2015,23,19,94,38,10,3,0.00,
14-01-2015,23,18,92,65,6,3,0.00,
15-01-2015,23,18,98,65,6,3,0.00,
16-01-2015,24,18,95,56,10,6,0.00,
17-01-2015,24,18,96,50,10,8,0.00,
18-01-2015,23,19,83,44,10,8,0.00,
19-01-2015,23,19,83,51,10,8,0.00,
20-01-2015,23,18,83,57,10,7,0.00,
21-01-2015,22,18,98,50,10,8,0.00,
22-01-2015,22,18,89,43,10,8,0.00,
23-01-2015,22,19,88,43,9,7,0.00,
24-01-2015,22,18,86,53,10,8,0.00,
25-01-2015,22,17,96,53,10,8,0.00,
26-01-2015,24,17,98,30,10,8,0.00,
27-01-2015,30,18,83,9,8,4,0.00,
28-01-2015,24,18,78,27,8,6,0.00,
29-01-2015,22,17,83,33,10,8,0.00,
30-01-2015,22,17,83,25,8,8,0.00,
31-01-2015,22,17,92,50,10,8,0.00,
01-02-2015,22,17,100,69,10,8,0.00,
02-02-2015,21,17,100,77,10,8,0.00,
03-02-2015,22,17,100,73,10,8,0.00,
04-02-2015,21,17,98,68,10,8,0.00,
05-02-2015,22,17,98,73,10,8,0.00,
06-02-2015,22,17,99,69,10,8,0.00,
07-02-2015,27,18,100,34,10,8,0.00,
08-02-2015,23,17,99,61,10,8,0.00,
09-02-2015,23,17,100,73,10,8,0.00,
10-02-2015,22,17,100,72,10,7,0.00,
11-02-2015,22,17,100,69,10,7,0.00,
12-02-2015,23,17,100,50,10,8,0.00,
13-02-2015,23,18,100,61,10,8,0.00,
14-02-2015,24,18,94,36,10,6,0.00,1
15-02-2015,23,18,90,50,10,8,0.00,1
16-02-2015,27,17,83,23,10,8,0.00,
17-02-2015,23,18,91,47,10,8,0.00,
18-02-2015,22,18,90,64,10,8,0.00,
19-02-2015,22,17,88,60,10,6,0.00,
20-02-2015,21,17,88,51,9,6,0.00,
21-02-2015,21,16,88,47,10,8,0.00,
22-02-2015,21,16,88,47,10,8,0.00,
23-02-2015,22,16,88,45,10,8,0.00,
24-02-2015,22,16,89,57,10,8,0.00,
25-02-2015,23,16,94,59,10,7,0.00,
26-02-2015,27,16,94,15,10,2,0.00,
27-02-2015,24,20,58,10,3,2,0.00,
28-02-2015,23,19,73,23,4,2,0.00,
01-03-2015,25,17,83,24,10,5,0.00,
02-03-2015,26,17,87,29,10,8,0.00,
03-03-2015,32,15,83,14,10,6,0.00,
04-03-2015,25,18,76,32,8,8,0.00,
05-03-2015,24,16,96,50,10,8,0.00,
06-03-2015,23,18,100,65,10,6,0.00,
07-03-2015,23,18,99,69,10,1,0.00,
08-03-2015,22,18,99,73,10,7,0.00,
09-03-2015,22,18,88,64,10,8,0.00,
10-03-2015,22,17,94,64,10,8,0.00,
11-03-2015,22,17,94,64,10,8,0.00,
12-03-2015,24,18,94,50,9,4,0.00,
13-03-2015,29,19,81,29,8,4,0.00,
14-03-2015,26,20,81,30,10,8,0.00,
15-03-2015,24,19,83,47,10,8,0.00,
16-03-2015,23,18,94,73,10,8,0.00,
17-03-2015,24,18,100,67,10,8,0.00,
18-03-2015,24,18,96,61,10,6,0.00,
19-03-2015,24,19,94,57,10,8,0.00,
20-03-2015,23,18,94,53,10,8,0.00,
21-03-2015,22,18,92,62,10,8,0.00,
22-03-2015,25,18,88,65,10,8,0.00,
23-03-2015,22,18,83,60,10,8,0.00,
24-03-2015,22,17,82,56,10,8,0.00,
25-03-2015,22,17,95,57,10,8,0.00,
26-03-2015,25,18,83,36,9,9,0.00,
27-03-2015,25,18,83,47,,,0.00,
28-03-2015,26,19,73,44,,,0.00,
29-03-2015,33,19,78,20,8,4,0.00,
30-03-2015,29,19,70,20,8,4,0.00,
31-03-2015,30,19,75,20,6,2,0.00,
01-04-2015,27,19,88,33,8,4,0.00,
02-04-2015,25,19,91,57,10,6,0.00,
