D;M;A;Max TemperatureC;Mean TemperatureC;Min TemperatureC;Dew PointC;MeanDew PointC;Min DewpointC;Max Humidity; Mean Humidity; Min Humidity; Max Sea Level PressurehPa; Mean Sea Level PressurehPa; Min Sea Level PressurehPa; Max VisibilityKm; Mean VisibilityKm; Min VisibilitykM; Max Wind SpeedKm/h; Mean Wind SpeedKm/h; Max Gust SpeedKm/h;Precipitationmm; CloudCover; Events;WindDirDegrees
1;1;2015;4;1;-2;-1;-2;-3;93;76;55;1037;1033;1027;26;11;3;35;16;50;0.00;;;204
2;1;2015;9;6;2;7;2;-1;93;75;49;1035;1028;1023;31;14;3;37;29;55;0.25;5;Rain;245
3;1;2015;4;2;1;2;1;-1;100;85;66;1034;1025;1015;19;9;2;27;14;;13.97;6;Rain-Snow;217
4;1;2015;5;2;-1;2;1;-2;93;86;73;1038;1034;1027;14;9;3;14;11;;0.00;4;Fog;249
5;1;2015;4;1;-2;1;-2;-3;93;83;66;1037;1032;1027;26;11;5;14;10;;0.00;3;Fog;197
6;1;2015;4;0;-3;3;-2;-5;93;86;69;1028;1023;1021;11;7;2;29;8;;0.00;6;Fog-Rain;206
7;1;2015;5;3;1;3;2;-1;93;85;72;1030;1027;1025;14;10;6;29;14;;0.00;5;Rain;214
8;1;2015;9;6;2;8;4;2;93;87;79;1029;1023;1016;19;8;3;37;26;53;19.05;6;Rain;228
9;1;2015;14;9;5;12;7;4;93;84;69;1028;1021;1016;31;11;3;45;31;66;3.05;6;Rain;233
10;1;2015;12;8;4;11;7;-1;94;77;54;1019;1015;1011;31;12;3;50;39;77;4.06;6;Rain;259
11;1;2015;6;4;3;4;1;-1;87;70;54;1025;1021;1016;31;15;10;35;24;48;0.00;3;Rain;253
12;1;2015;10;8;5;6;4;3;87;75;60;1023;1017;1011;31;15;7;45;34;71;0.00;6;Rain;221
13;1;2015;10;8;6;7;6;3;93;80;65;1012;1006;1003;31;12;3;45;35;69;5.08;6;Rain;223
14;1;2015;6;4;2;3;2;1;93;82;70;1013;1009;1006;31;15;6;37;26;58;3.05;4;Rain-Snow;224
15;1;2015;9;6;3;7;5;2;87;79;67;1009;999;994;31;12;5;50;37;76;3.05;6;Rain;208
16;1;2015;7;6;4;4;2;1;93;77;61;1010;1005;1002;31;17;6;34;21;;1.02;3;Rain-Snow;219
17;1;2015;4;2;-1;2;-1;-2;93;82;62;1017;1014;1010;27;12;8;24;13;;0.00;3;Rain;219
18;1;2015;5;3;1;2;0;-1;93;80;61;1015;1012;1011;31;12;3;26;19;;2.03;5;Rain-Snow;202
19;1;2015;2;1;-1;1;0;-2;100;92;76;1013;1012;1011;13;5;1;11;3;;2.03;6;Fog-Rain-Snow;20
20;1;2015;3;0;-2;1;-1;-2;100;90;79;1013;1012;1011;14;6;2;11;5;;0.00;6;Rain;177
21;1;2015;2;0;-2;-1;-3;-4;93;80;63;1013;1011;1010;16;9;5;13;8;;0.00;5;;99
22;1;2015;-1;-2;-3;-2;-3;-4;93;89;79;1023;1017;1013;5;4;2;19;8;;0.00;6;;31
23;1;2015;-1;-2;-3;-2;-3;-4;100;90;80;1028;1025;1023;5;3;0;16;5;;0.00;6;Fog;146
24;1;2015;5;1;-2;2;-1;-3;93;83;61;1029;1023;1017;31;9;1;26;18;;4.06;5;Rain-Snow;258
25;1;2015;4;2;-1;3;1;-1;94;89;78;1032;1030;1027;14;9;6;19;11;;2.03;5;Rain;232
26;1;2015;8;6;3;8;4;2;100;89;68;1027;1022;1019;26;8;2;21;16;;2.03;7;Rain;262
27;1;2015;6;3;1;3;2;0;93;85;70;1026;1024;1022;23;12;9;19;13;;0.00;3;Rain;273
28;1;2015;7;4;2;6;3;-2;100;85;58;1023;1008;997;26;11;3;45;21;66;2.03;6;Rain-Thunderstorm;226
29;1;2015;4;2;1;2;0;-2;93;80;63;1001;986;973;31;15;5;40;27;58;1.02;5;Rain-Snow;230
30;1;2015;3;1;-1;1;-1;-2;93;86;76;979;977;974;19;10;2;26;16;;0.76;5;Rain-Snow;240
31;1;2015;4;2;0;1;-1;-2;93;84;68;987;982;979;14;11;8;21;14;;0.00;3;Rain;221
1;2;2015;4;2;-1;2;0;-2;93;85;73;999;991;986;31;11;2;26;14;;4.06;6;Rain-Snow;277
2;2;2015;3;2;0;1;-1;-3;93;79;57;1004;1002;999;31;13;10;24;16;;0.00;4;Rain-Snow;273
3;2;2015;3;1;-2;0;-1;-3;93;86;68;1010;1005;1002;19;11;8;11;8;;0.00;3;Rain;266
4;2;2015;5;1;-3;0;-2;-4;96;84;57;1020;1015;1010;26;12;6;14;6;;0.00;3;Rain;351
5;2;2015;1;-2;-4;-2;-4;-6;100;84;61;1026;1022;1020;31;10;1;24;6;;0.51;4;Fog-Snow;39
6;2;2015;2;-1;-3;-4;-5;-6;86;70;48;1031;1027;1025;26;13;10;29;23;47;0.00;4;;52
7;2;2015;4;0;-4;2;-3;-7;93;80;40;1034;1032;1030;19;9;3;18;10;;0.00;6;Rain;17
