D,M,A,Max TemperatureC,Min TemperatureC,Max Humidity, Min Humidity, Max VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h,Precipitationmm, CloudCover, Events,PromedioTMax,PromedioTMin
1,1,2015,1,-8,100,70,10,0,10,0,4,8,49,-36
2,1,2015,1,-9,100,86,19,0,10,0,5,9,49,-36
3,1,2015,3,0,100,84,11,0,19,6,6,5,49,-36
4,1,2015,4,-1,100,34,29,2,29,1,6,6,49,-36
5,1,2015,1,-6,93,36,31,6,35,0,5,6,49,-36
6,1,2015,5,-7,93,50,29,7,10,0,5,0,49,-36
7,1,2015,4,-8,100,55,31,8,11,0,2,0,49,-36
8,1,2015,2,-8,100,52,27,5,11,0,6,0,49,-36
9,1,2015,11,-6,100,37,31,0,32,0,6,5,49,-36
10,1,2015,18,3,100,24,18,0,39,0,5,5,49,-36
11,1,2015,9,3,87,29,29,10,47,3,6,6,49,-36
12,1,2015,9,-2,87,38,31,8,35,0,6,6,49,-36
13,1,2015,9,-5,93,26,29,10,21,0,3,0,49,-36
14,1,2015,8,-2,100,37,31,7,24,1,6,1,49,-36
15,1,2015,9,-1,100,37,31,1,27,0,6,2,49,-36
16,1,2015,13,-1,87,34,31,10,35,0,4,0,49,-36
17,1,2015,6,0,100,41,14,2,29,16,6,6,49,-36
18,1,2015,4,-2,100,75,27,1,8,0,5,6,49,-36
19,1,2015,3,-5,100,53,19,8,18,0,3,0,49,-36
20,1,2015,4,-4,93,59,31,8,14,0,6,0,49,-36
21,1,2015,3,-6,100,56,31,6,11,0,5,0,49,-36
22,1,2015,8,-3,100,53,23,9,23,0,5,0,49,-36
23,1,2015,2,0,93,71,11,5,11,0,6,6,49,-36
24,1,2015,2,-1,100,74,18,6,14,0,6,3,49,-36
25,1,2015,0,-3,100,74,11,1,13,2,6,3,49,-36
26,1,2015,3,-5,100,42,29,1,8,2,4,3,49,-36
27,1,2015,1,-3,100,79,26,1,21,3,6,3,49,-36
28,1,2015,3,-4,100,63,31,1,21,0,6,3,49,-36
29,1,2015,2,-5,100,70,31,3,21,1,6,3,49,-36
30,1,2015,2,-6,100,35,14,1,37,1,5,3,49,-36
31,1,2015,4,-7,100,52,31,2,11,1,5,3,49,-36
1,2,2015,2,-9,100,48,31,2,14,3,5,3,50,-49
2,2,2015,3,-5,100,65,31,2,11,3,6,3,50,-49
3,2,2015,3,-7,86,39,31,8,11,0,5,3,50,-49
4,2,2015,-3,-8,86,58,29,6,11,0,6,0,50,-49
5,2,2015,-2,-5,86,59,31,8,18,0,6,3,50,-49
6,2,2015,-2,-5,93,64,11,3,16,0,6,3,50,-49
7,2,2015,1,-8,93,51,11,5,13,0,6,0,50,-49
8,2,2015,0,-9,100,60,10,1,27,6,6,3,50,-49
9,2,2015,-1,-7,100,59,24,3,34,0,6,8,50,-49
10,2,2015,5,-9,100,53,26,1,14,0,2,2,50,-49
11,2,2015,8,-9,100,53,31,0,10,0,1,2,50,-49
12,2,2015,8,-9,100,35,31,0,8,0,1,8,50,-49
13,2,2015,11,-9,100,33,31,2,8,0,0,2,50,-49
14,2,2015,10,-5,86,29,29,10,34,0,5,0,50,-49
15,2,2015,11,-2,86,24,31,9,24,0,4,0,50,-49
16,2,2015,11,-3,87,30,31,8,23,0,0,0,50,-49
17,2,2015,13,-2,87,24,31,8,21,0,1,0,50,-49
18,2,2015,4,-3,93,58,10,6,13,0,5,0,50,-49
19,2,2015,11,-6,100,22,31,5,8,0,0,0,50,-49
20,2,2015,11,-6,93,20,31,10,19,0,0,0,50,-49
21,2,2015,9,-3,75,27,23,10,35,0,5,0,50,-49
22,2,2015,4,0,100,54,31,1,13,2,6,6,50,-49
23,2,2015,9,-2,100,35,31,7,32,0,5,1,50,-49
24,2,2015,3,0,100,82,19,3,19,7,7,1,50,-49
25,2,2015,4,-1,100,67,19,3,13,2,7,3,50,-49
26,2,2015,8,-1,94,40,31,6,14,0,5,6,50,-49
27,2,2015,4,-4,100,36,13,5,34,3,4,6,50,-49
28,2,2015,7,-2,100,61,31,3,11,0,5,6,50,-49
1,3,2015,9,-3,100,45,31,3,24,0,5,0,12,0
2,3,2015,6,2,100,80,31,5,27,9,6,1,12,0
3,3,2015,11,-1,100,19,27,7,27,0,3,3,12,0
4,3,2015,7,-1,100,51,31,1,23,1,6,3,12,0
5,3,2015,2,-1,100,78,31,0,16,4,6,3,12,0
6,3,2015,6,-3,93,31,31,10,14,0,3,3,12,0
7,3,2015,11,-4,93,34,31,9,13,0,0,0,12,0
8,3,2015,13,-3,100,28,27,10,13,0,0,0,12,0
9,3,2015,14,-2,93,20,31,10,14,0,0,0,12,0
10,3,2015,16,-3,93,15,23,10,11,0,0,0,12,0
11,3,2015,8,1,93,29,31,10,21,1,6,1,12,0
12,3,2015,9,-1,93,24,31,8,19,0,5,0,12,0
13,3,2015,10,-4,86,27,31,10,24,0,1,0,12,0
14,3,2015,11,-4,93,28,21,6,21,0,1,0,12,0
15,3,2015,12,-3,93,22,31,5,35,0,2,0,12,0
16,3,2015,14,3,70,24,31,10,35,0,4,0,12,0
17,3,2015,12,2,81,31,31,10,26,0,6,0,12,0
18,3,2015,19,-1,93,22,31,10,21,0,5,0,12,0
19,3,2015,17,3,87,22,19,10,24,0,3,0,12,0
20,3,2015,16,-1,93,26,24,6,19,0,1,0,12,0
21,3,2015,11,0,93,41,31,7,23,0,6,1,12,0
22,3,2015,12,2,100,51,29,6,21,1,4,1,12,0
23,3,2015,17,1,100,24,31,6,24,0,3,0,12,0
24,3,2015,15,0,100,25,31,8,27,0,3,0,12,0
25,3,2015,13,2,87,37,31,10,23,0,6,1,12,0
26,3,2015,11,6,100,63,27,8,14,3,6,1,12,0
27,3,2015,10,4,93,27,24,9,16,2,6,1,12,0
28,3,2015,14,2,93,19,31,10,13,0,4,1,12,0
29,3,2015,16,3,81,34,10,10,27,0,6,1,12,0
30,3,2015,10,5,93,62,31,7,29,10,7,1,12,0
31,3,2015,21,4,100,16,31,6,55,4,6,1,12,0
1,4,2015,5,1,93,59,31,3,39,3,6,6,15,15
2,4,2015,4,1,100,87,23,3,21,11,6,6,15,15
3,4,2015,11,0,100,27,31,6,11,0,5,0,15,15
4,4,2015,6,3,100,72,26,10,13,6,6,1,15,15
5,4,2015,6,1,100,60,31,4,26,1,6,6,15,15
6,4,2015,6,-1,100,46,31,1,29,4,6,6,15,15
7,4,2015,8,-3,100,31,31,0,14,0,4,8,15,15
8,4,2015,15,-4,93,15,31,10,13,0,3,0,15,15
9,4,2015,21,-1,93,18,31,10,14,0,0,0,15,15
10,4,2015,23,1,93,17,31,10,14,0,0,0,15,15
11,4,2015,18,4,87,24,29,10,23,1,5,1,15,15
12,4,2015,22,7,93,18,31,10,16,0,5,0,15,15
13,4,2015,21,3,93,17,31,10,35,0,3,0,15,15
14,4,2015,20,6,81,13,24,10,27,0,4,0,15,15
15,4,2015,26,3,81,9,31,10,16,0,0,0,15,15
16,4,2015,25,4,76,10,14,10,13,0,8,0,15,15
17,4,2015,15,10,94,42,31,8,13,2,6,1,15,15
18,4,2015,9,2,94,35,31,8,23,1,6,1,15,15
19,4,2015,17,-2,93,16,31,9,23,0,0,0,15,15
20,4,2015,19,1,87,19,31,10,14,0,2,0,15,15
21,4,2015,21,2,87,13,31,10,14,0,1,0,15,15
22,4,2015,23,3,81,11,31,10,32,0,0,0,15,15
23,4,2015,11,6,87,41,21,10,23,0,5,1,15,15
24,4,2015,21,4,94,26,26,5,14,0,3,1,15,15
25,4,2015,20,4,81,22,31,10,27,0,6,0,15,15
26,4,2015,21,8,87,23,31,10,32,0,4,0,15,15
27,4,2015,19,9,76,31,10,10,40,0,5,0,15,15
28,4,2015,13,7,88,39,29,7,37,3,6,1,15,15
29,4,2015,17,1,93,23,31,10,16,0,4,0,15,15
30,4,2015,16,7,100,36,31,5,19,6,6,1,15,15
1,5,2015,13,8,100,75,31,10,24,1,6,1,19,12
2,5,2015,19,10,100,41,29,9,26,1,5,1,19,12
3,5,2015,19,11,100,59,31,8,21,2,6,1,19,12
4,5,2015,23,13,100,42,14,10,21,1,6,1,19,12
5,5,2015,26,12,100,25,31,10,37,0,6,0,19,12
6,5,2015,16,8,100,62,31,6,24,10,4,1,19,12
7,5,2015,21,7,95,34,31,10,23,0,4,1,19,12
8,5,2015,24,8,93,26,31,10,27,1,4,7,19,12
9,5,2015,17,11,100,57,19,5,14,2,6,7,19,12
10,5,2015,21,9,100,27,31,10,23,0,4,0,19,12
11,5,2015,27,7,93,13,27,10,19,0,0,0,19,12
12,5,2015,31,8,87,10,31,10,14,0,0,0,19,12
13,5,2015,30,11,94,18,29,10,29,1,5,7,19,12
14,5,2015,21,12,100,45,31,10,27,0,5,1,19,12
15,5,2015,13,11,100,72,29,5,13,11,7,1,19,12
16,5,2015,21,12,100,49,19,2,11,1,5,1,19,12
17,5,2015,22,10,94,31,31,10,24,0,4,0,19,12
18,5,2015,28,12,88,19,31,10,27,0,4,0,19,12
19,5,2015,15,11,100,71,31,3,14,11,6,1,19,12
20,5,2015,6,4,100,87,26,5,13,28,7,1,19,12
21,5,2015,10,4,100,66,31,5,13,4,6,1,19,12
22,5,2015,9,6,100,76,31,6,8,4,6,1,19,12
23,5,2015,11,7,100,75,26,5,11,7,7,1,19,12
24,5,2015,16,7,100,54,31,10,14,0,6,1,19,12
25,5,2015,17,8,100,47,31,10,21,3,6,0,19,12
26,5,2015,14,9,100,57,31,8,14,2,6,1,19,12
27,5,2015,14,7,100,43,31,10,14,1,5,1,19,12
28,5,2015,23,3,94,11,31,10,21,0,1,0,19,12
29,5,2015,26,6,87,17,24,10,29,1,4,1,19,12
30,5,2015,23,11,94,34,31,10,23,1,5,1,19,12
31,5,2015,23,12,88,39,31,10,14,0,6,1,19,12
1,6,2015,28,9,94,25,31,10,16,2,5,7,24,24
2,6,2015,28,14,94,23,31,10,19,0,4,0,24,24
3,6,2015,28,13,94,32,29,2,19,1,4,1,24,24
4,6,2015,30,14,94,29,31,10,23,0,2,4,24,24
5,6,2015,32,15,88,30,31,10,24,0,2,4,24,24
6,6,2015,31,16,100,28,31,6,27,35,3,7,24,24
7,6,2015,28,13,100,37,31,7,35,19,2,7,24,24
8,6,2015,24,15,100,44,31,10,26,3,5,7,24,24
9,6,2015,21,13,100,63,31,5,19,3,6,7,24,24
10,6,2015,24,13,94,49,29,10,16,0,5,0,24,24
11,6,2015,26,14,100,50,31,6,26,1,3,7,24,24
12,6,2015,29,13,100,22,31,7,39,0,2,0,24,24
13,6,2015,29,16,82,22,31,10,29,1,4,7,24,24
14,6,2015,24,14,94,36,31,8,29,1,5,7,24,24
15,6,2015,18,15,100,69,21,6,18,10,6,1,24,24
16,6,2015,17,14,100,71,19,6,13,2,6,1,24,24
17,6,2015,20,13,100,41,31,6,18,0,5,0,24,24
18,6,2015,20,9,94,38,24,5,14,0,5,1,24,24
19,6,2015,18,12,100,51,31,5,19,1,6,1,24,24
20,6,2015,13,10,94,61,27,8,21,7,6,1,24,24
21,6,2015,17,9,100,54,31,10,14,1,6,1,24,24
22,6,2015,25,11,100,31,27,10,27,0,6,1,24,24
23,6,2015,21,11,100,32,31,8,27,2,5,1,24,24
24,6,2015,21,11,77,29,31,10,21,0,4,0,24,24
25,6,2015,24,8,93,32,29,10,27,0,5,0,24,24
26,6,2015,26,10,88,22,26,10,24,0,3,0,24,24
27,6,2015,24,13,100,37,31,10,21,3,5,7,24,24
28,6,2015,25,13,100,28,31,10,24,0,4,1,24,24
29,6,2015,26,12,88,24,31,10,19,0,5,0,24,24
30,6,2015,29,12,88,27,31,10,24,0,3,0,24,24
1,7,2015,32,13,88,21,31,10,24,0,1,0,28,13
2,7,2015,32,16,88,29,31,10,21,0,1,4,28,13
3,7,2015,27,17,88,45,31,10,32,4,4,7,28,13
4,7,2015,34,15,100,28,31,10,16,0,3,0,28,13
5,7,2015,36,16,88,21,31,10,11,0,1,0,28,13
6,7,2015,31,18,78,33,31,10,21,0,3,7,28,13
7,7,2015,37,19,88,19,31,10,19,5,2,7,28,13
8,7,2015,21,16,94,76,26,0,23,14,5,7,28,13
9,7,2015,23,14,94,27,31,10,21,0,5,0,28,13
10,7,2015,26,10,88,26,31,10,23,0,2,0,28,13
11,7,2015,32,11,88,17,31,10,35,0,2,0,28,13
12,7,2015,31,14,82,20,31,10,21,0,3,0,28,13
13,7,2015,23,16,88,47,31,1,19,1,6,1,28,13
14,7,2015,28,16,88,30,31,10,23,0,4,1,28,13
15,7,2015,30,14,88,32,31,10,24,0,1,0,28,13
16,7,2015,32,16,88,28,31,10,21,0,2,4,28,13
17,7,2015,34,16,100,21,27,10,58,9,4,7,28,13
18,7,2015,31,14,100,29,31,10,19,0,3,4,28,13
19,7,2015,32,17,94,34,31,10,29,9,5,7,28,13
