D,M,Max TemperatureC,Min TemperatureC,Max Humidity,Min Humidity,Max Sea Level PressurehPa,Min Sea Level PressurehPa,Max Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,Events
1,1,4,-2,93,55,1037,1027,35,50,0,0
2,1,9,2,93,49,1035,1023,37,55,25,6
3,1,4,1,100,66,1034,1015,27,0,1397,9
4,1,5,-1,93,73,1038,1027,14,0,0,1
5,1,4,-2,93,66,1037,1027,14,0,0,1
6,1,4,-3,93,69,1028,1021,29,0,0,2
7,1,5,1,93,72,1030,1025,29,0,0,6
8,1,9,2,93,79,1029,1016,37,53,1905,6
9,1,14,5,93,69,1028,1016,45,66,305,6
10,1,12,4,94,54,1019,1011,50,77,406,6
11,1,6,3,87,54,1025,1016,35,48,0,6
12,1,10,5,87,60,1023,1011,45,71,0,6
13,1,10,6,93,65,1012,1003,45,69,508,6
14,1,6,2,93,70,1013,1006,37,58,305,9
15,1,9,3,87,67,1009,994,50,76,305,6
16,1,7,4,93,61,1010,1002,34,0,102,9
17,1,4,-1,93,62,1017,1010,24,0,0,6
18,1,5,1,93,61,1015,1011,26,0,203,9
19,1,2,-1,100,76,1013,1011,11,0,203,3
20,1,3,-2,100,79,1013,1011,11,0,0,6
21,1,2,-2,93,63,1013,1010,13,0,0,0
22,1,-1,-3,93,79,1023,1013,19,0,0,0
23,1,-1,-3,100,80,1028,1023,16,0,0,1
24,1,5,-2,93,61,1029,1017,26,0,406,9
25,1,4,-1,94,78,1032,1027,19,0,203,6
26,1,8,3,100,68,1027,1019,21,0,203,6
27,1,6,1,93,70,1026,1022,19,0,0,6
28,1,7,2,100,58,1023,997,45,66,203,10
29,1,4,1,93,63,1001,973,40,58,102,9
30,1,3,-1,93,76,979,974,26,0,76,9
31,1,4,0,93,68,987,979,21,0,0,6
1,2,4,-1,93,73,999,986,26,0,406,9
2,2,3,0,93,57,1004,999,24,0,0,9
3,2,3,-2,93,68,1010,1002,11,0,0,6
4,2,5,-3,96,57,1020,1010,14,0,0,6
5,2,1,-4,100,61,1026,1020,24,0,51,5
6,2,2,-3,86,48,1031,1025,29,47,0,0
7,2,4,-4,93,40,1034,1030,18,0,0,6
8,2,6,1,93,42,1035,1030,32,48,0,6
9,2,5,1,94,80,1034,1031,19,0,0,6
10,2,6,3,100,77,1034,1029,11,0,0,6
11,2,4,-1,100,70,1030,1022,16,0,0,0
12,2,7,-3,100,54,1023,1019,8,0,0,1
13,2,11,-2,100,46,1020,1006,26,0,0,6
14,2,10,5,93,61,1008,1005,23,0,203,6
15,2,9,-2,100,50,1019,1008,14,0,0,0
16,2,6,-2,100,74,1022,1016,14,0,0,1
17,2,7,-1,100,67,1042,1022,16,0,25,2
18,2,4,-2,94,80,1042,1034,14,0,0,1
19,2,6,-1,93,63,1035,1019,32,0,0,0
20,2,6,3,93,67,1020,997,35,40,711,6
21,2,6,1,93,61,1005,996,29,0,102,6
22,2,6,-1,94,57,1012,999,40,60,203,2
23,2,10,2,93,44,1000,993,43,61,305,10
24,2,8,2,93,56,1016,997,35,53,203,9
25,2,6,1,100,75,1020,1014,23,0,203,2
26,2,9,2,100,70,1020,1008,29,48,406,2
27,2,7,-1,93,44,1023,1010,29,0,0,6
28,2,9,-1,93,38,1022,1006,37,55,0,0
1,3,10,5,93,53,1007,998,42,77,203,6
2,3,8,3,87,40,1017,999,37,58,203,7
3,3,8,2,87,59,1023,1015,35,0,102,6
4,3,7,2,87,52,1035,1021,27,39,0,0
5,3,9,1,93,43,1040,1035,16,0,0,0
6,3,9,1,93,54,1038,1033,19,0,0,0
7,3,14,2,87,22,1034,1026,26,0,0,0
8,3,17,4,87,22,1027,1022,19,0,0,0
9,3,12,7,93,63,1029,1025,16,0,0,6
10,3,12,3,93,42,1032,1025,19,0,0,6
11,3,10,-1,100,23,1033,1029,11,0,0,1
12,3,12,-2,87,21,1032,1025,18,0,0,0
13,3,10,-1,93,36,1026,1022,19,0,0,0
14,3,7,-1,93,53,1028,1024,21,0,25,6
15,3,6,3,93,67,1028,1024,14,0,25,6
16,3,10,0,100,51,1025,1022,10,0,0,1
17,3,17,-1,100,26,1025,1023,11,0,0,1
18,3,8,3,100,62,1030,1024,21,0,0,1
19,3,7,4,93,77,1030,1028,13,0,0,6
20,3,7,4,97,67,1029,1021,14,0,0,0
21,3,8,3,93,60,1023,1019,29,0,0,6
22,3,7,2,81,51,1026,1021,23,0,0,0
23,3,11,-2,93,40,1022,1012,13,0,0,0
24,3,11,-1,95,37,1013,1007,11,0,610,6
25,3,6,3,100,78,1011,1006,21,0,203,6
26,3,7,0,94,65,1011,1005,29,45,305,2
27,3,11,2,87,39,1024,1011,27,0,0,0
28,3,12,1,94,66,1024,1009,35,53,76,6
29,3,11,8,94,65,1009,995,55,80,991,6
30,3,9,6,87,36,1013,998,40,60,25,6
31,3,12,6,94,28,1014,996,55,84,0,6
1,4,9,5,71,32,1022,1014,40,66,0,6
2,4,8,2,100,35,1025,1011,34,55,76,6
3,4,8,0,93,53,1025,1016,18,0,0,6
4,4,8,3,95,49,1024,1015,24,0,102,6
5,4,11,-1,93,31,1029,1023,13,0,0,0
6,4,10,-1,93,55,1035,1028,10,0,0,0
7,4,13,-1,93,33,1038,1034,13,0,0,1
8,4,14,1,100,48,1035,1031,14,0,0,0
9,4,18,2,93,24,1031,1024,10,0,0,1
10,4,22,3,93,16,1025,1016,13,0,0,0
11,4,13,5,94,48,1028,1015,32,50,305,6
12,4,16,4,93,31,1030,1025,32,0,0,0
13,4,13,7,87,39,1034,1026,29,0,0,6
14,4,21,4,93,28,1031,1022,29,45,0,0
15,4,24,8,87,21,1023,1014,21,0,0,0
16,4,18,5,93,39,1017,1013,19,0,0,6
17,4,14,6,81,37,1023,1014,26,0,0,6
18,4,14,1,93,25,1028,1024,26,0,0,0
19,4,14,1,100,36,1026,1021,16,0,0,0
20,4,18,3,93,25,1029,1022,18,0,0,0
21,4,19,4,93,26,1033,1029,21,0,0,0
22,4,14,3,100,44,1033,1024,21,0,0,0
