M,D,Max TemperatureC,Min TemperatureC,Max Humidity,Min Humidity,Max VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Events
1,1,31,22,94,62,10,5,14,5,1
1,2,32,23,94,56,10,0,32,8,2
1,3,27,23,95,72,10,1,16,6,2
1,4,31,22,100,65,10,1,13,6,1
1,5,29,23,94,67,10,0,26,8,2
1,6,28,21,96,73,10,1,13,6,2
1,7,28,22,94,71,10,5,13,3,1
1,8,28,22,94,65,10,2,13,6,2
1,9,29,22,94,74,10,1,10,2,2
1,10,29,22,94,63,10,1,13,3,1
1,11,33,23,94,59,27,0,111,3,7
1,12,29,22,96,70,10,3,167,6,2
1,13,32,22,95,60,10,8,10,3,3
1,14,33,24,94,49,10,6,19,6,2
1,15,32,22,96,54,10,8,13,3,4
1,16,32,23,97,60,10,4,26,3,5
1,17,34,22,96,49,10,3,19,3,6
1,18,30,22,94,68,10,5,21,10,2
1,19,33,23,100,49,10,0,19,3,7
1,20,30,23,94,59,10,2,13,5,2
1,21,29,23,95,74,10,1,13,3,2
1,22,31,22,95,70,10,0,35,5,1
1,23,31,22,94,62,10,5,26,3,5
1,24,31,22,97,70,10,1,111,6,2
1,25,32,23,100,58,10,0,21,3,7
1,26,33,23,97,55,10,5,23,5,7
1,27,30,23,95,74,10,6,13,3,8
1,28,31,22,94,62,10,0,13,5,7
1,29,30,23,95,65,10,8,8,2,7
1,30,29,22,94,72,10,5,13,6,2
1,31,32,22,97,62,10,2,19,6,1
2,1,31,22,95,52,10,8,10,5,7
2,2,30,22,94,59,10,1,34,6,5
2,3,32,22,94,54,10,1,27,5,1
2,4,32,21,94,47,10,0,16,5,1
2,5,31,23,94,59,10,8,13,8,3
2,6,32,23,96,62,10,7,10,3,7
2,7,34,22,94,52,10,6,14,6,8
2,8,33,24,95,55,10,3,24,2,1
2,9,32,22,94,60,10,2,19,6,5
2,10,32,23,95,54,10,0,16,2,7
2,11,32,24,99,55,27,2,111,6,9
2,12,32,22,100,59,10,1,19,6,8
2,13,32,23,96,63,10,0,21,5,8
2,14,30,23,96,70,10,7,13,5,8
2,15,32,24,94,53,10,8,10,6,5
2,16,31,23,100,59,10,3,19,6,5
2,17,32,24,94,62,10,8,10,3,5
2,18,34,23,100,54,10,1,14,5,7
2,19,34,23,94,51,10,10,16,6,3
2,20,34,23,100,49,10,5,21,3,3
2,21,35,25,94,38,10,8,16,5,7
2,22,32,23,94,58,10,2,26,8,2
2,23,34,24,94,49,10,10,14,5,3
2,24,29,23,100,72,10,0,13,3,7
2,25,31,23,94,63,10,2,29,8,8
2,26,32,23,94,58,10,3,19,3,7
2,27,32,22,94,56,10,1,24,6,8
2,28,31,23,94,57,10,5,14,6,8
3,1,27,22,94,68,10,3,24,5,1
3,2,34,22,94,47,10,0,16,3,8
3,3,33,23,95,59,10,8,14,5,2
3,4,33,23,95,52,10,6,23,3,3
3,5,27,23,100,86,10,4,18,5,5
3,6,30,22,94,66,10,4,10,3,1
3,7,27,23,96,74,10,0,16,5,2
3,8,32,22,95,59,10,3,16,6,1
3,9,31,23,95,70,10,5,16,5,2
3,10,33,23,95,59,10,2,19,8,5
3,11,30,22,94,74,10,1,13,6,2
