D,M,A,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
1,1,2015,1,-4,-8,-3,-4,-8,100,92,70,1042,1036,1035,10,6,0,10,3,,0.25,4,Fog-Snow,251
2,1,2015,1,-4,-9,1,-4,-10,100,95,86,1041,1033,1030,19,7,0,10,3,,0.25,5,Fog-Rain-Snow,237
3,1,2015,3,1,0,2,1,0,100,97,84,1036,1026,1016,11,5,0,19,5,,6.10,6,Fog-Rain,265
4,1,2015,4,2,-1,4,-2,-8,100,77,34,1035,1027,1015,29,10,2,29,10,50,1.02,6,Rain-Snow,270
5,1,2015,1,-3,-6,-3,-5,-7,93,74,36,1038,1032,1029,31,12,6,35,14,58,0.00,5,Rain-Snow,272
6,1,2015,5,-1,-7,-3,-5,-7,93,81,50,1033,1027,1023,29,13,7,10,3,,0.00,5,,255
7,1,2015,4,-2,-8,-4,-6,-8,100,83,55,1036,1029,1026,31,12,8,11,3,,0.00,2,,251
8,1,2015,2,-3,-8,-3,-6,-9,100,86,52,1037,1031,1028,27,11,5,11,3,,0.00,6,,245
9,1,2015,11,3,-6,4,-2,-6,100,82,37,1037,1028,1021,31,10,0,32,6,52,0.00,6,Fog-Rain,262
10,1,2015,18,11,3,5,3,0,100,59,24,1023,1017,1014,18,10,0,39,10,60,0.00,5,Fog-Rain,257
11,1,2015,9,6,3,5,-1,-8,87,55,29,1027,1017,1010,29,11,10,47,18,82,3.05,6,Rain-Snow,263
12,1,2015,9,3,-2,-1,-2,-4,87,72,38,1031,1026,1023,31,12,8,35,14,,0.00,6,Rain-Snow,255
13,1,2015,9,2,-5,-4,-4,-6,93,69,26,1028,1021,1016,29,14,10,21,8,,0.00,3,,250
14,1,2015,8,3,-2,3,-1,-4,100,77,37,1023,1018,1014,31,12,7,24,13,,1.02,6,Rain,258
15,1,2015,9,4,-1,1,-1,-4,100,83,37,1023,1016,1012,31,9,1,27,10,35,0.00,6,Fog,254
16,1,2015,13,6,-1,3,-1,-3,87,64,34,1017,1009,1005,31,12,10,35,19,61,0.00,4,,222
17,1,2015,6,3,0,3,1,0,100,84,41,1020,1012,1005,14,8,2,29,11,48,16.00,6,Rain-Snow,121
18,1,2015,4,1,-2,1,-1,-2,100,92,75,1020,1016,1013,27,9,1,8,5,,0.51,5,Rain-Snow,145
19,1,2015,3,-1,-5,-2,-3,-5,100,85,53,1017,1012,1010,19,10,8,18,5,,0.00,3,,243
20,1,2015,4,0,-4,-2,-4,-5,93,83,59,1014,1010,1007,31,13,8,14,5,,0.00,6,,258
21,1,2015,3,-2,-6,-3,-4,-6,100,85,56,1015,1010,1007,31,11,6,11,3,,0.00,5,,246
22,1,2015,8,2,-3,0,-2,-4,100,83,53,1016,1010,1008,23,11,9,23,8,,0.00,5,,279
23,1,2015,2,1,0,-1,-2,-2,93,85,71,1024,1018,1014,11,10,5,11,5,,0.25,6,Rain-Snow,60
24,1,2015,2,1,-1,0,-1,-1,100,90,74,1024,1019,1016,18,9,6,14,3,,0.51,6,Snow,70
25,1,2015,0,-2,-3,-1,-2,-4,100,91,74,1031,1025,1021,11,7,1,13,5,,2.03,6,Snow,85
26,1,2015,3,-1,-5,-2,-5,-7,100,79,42,1031,1025,1019,29,9,1,8,3,,2.03,4,Snow,181
27,1,2015,1,-1,-3,0,-2,-2,100,93,79,1023,1019,1017,26,5,1,21,5,,3.05,6,Snow,75
28,1,2015,3,-1,-4,-1,-3,-5,100,89,63,1024,1016,1004,31,9,1,21,5,,0.25,6,Snow,265
29,1,2015,2,-1,-5,-1,-2,-4,100,89,70,1007,996,981,31,9,3,21,13,,0.51,6,Snow,277
30,1,2015,2,-2,-6,-1,-5,-8,100,76,35,984,979,975,14,9,1,37,14,55,1.02,5,Snow,265
31,1,2015,4,-2,-7,-3,-5,-8,100,85,52,992,985,981,31,10,2,11,5,,0.76,5,Snow,257
1,2,2015,2,-3,-9,-3,-7,-9,100,84,48,999,992,989,31,9,2,14,5,,3.05,5,Snow,225
2,2,2015,3,-1,-5,-1,-3,-5,100,90,65,1006,1000,997,31,9,2,11,5,,3.05,6,Snow,302
3,2,2015,3,-2,-7,-4,-7,-10,86,71,39,1008,1002,1000,31,12,8,11,5,,0.00,5,Snow,142
4,2,2015,-3,-6,-8,-6,-7,-8,86,76,58,1016,1008,1004,29,10,6,11,8,,0.00,6,,223
5,2,2015,-2,-3,-5,-6,-7,-8,86,78,59,1016,1011,1009,31,11,8,18,10,,0.00,6,Snow,78
6,2,2015,-2,-3,-5,-4,-6,-7,93,80,64,1023,1015,1011,11,9,3,16,6,,0.00,6,Snow,73
7,2,2015,1,-4,-8,-6,-7,-9,93,76,51,1029,1023,1019,11,10,5,13,8,,0.00,6,,69
8,2,2015,0,-4,-9,-3,-6,-10,100,91,60,1030,1022,1018,10,4,1,27,5,58,6.10,6,Snow,308
9,2,2015,-1,-4,-7,-4,-6,-8,100,84,59,1034,1028,1026,24,10,3,34,11,,0.00,6,Fog-Snow,70
10,2,2015,5,-2,-9,-2,-6,-10,100,86,53,1035,1030,1027,26,10,1,14,5,,0.00,2,Fog,248
11,2,2015,8,-1,-9,1,-4,-9,100,88,53,1033,1026,1023,31,9,0,10,3,,0.00,1,Fog,242
12,2,2015,8,0,-9,-2,-4,-9,100,83,35,1029,1023,1020,31,9,0,8,3,,0.25,1,Fog-Snow,216
13,2,2015,11,1,-9,-3,-6,-9,100,75,33,1028,1020,1015,31,12,2,8,3,21,0.00,0,Fog,220
