D, M, A,maxTemp,minTemp,maxRocio,minRocio,Humedad,velViento,dirViento,Events
01, 01, 2015,6,2,4,-1,81,23,209,Rain-Snow
02, 01, 2015,3,-1,1,-5,78,14,200,Snow
03, 01, 2015,2,-2,0,-4,79,19,201,Snow
04, 01, 2015,0,-2,-2,-8,69,23,190,Rain
05, 01, 2015,-4,-7,-8,-12,62,24,191,
06, 01, 2015,0,-8,-3,-12,64,32,211,Snow
07, 01, 2015,1,-2,0,-3,87,18,204,Rain-Snow
08, 01, 2015,4,-2,-1,-5,78,18,181,Fog-Rain-Snow
09, 01, 2015,0,-3,-1,-7,84,24,193,Snow
10, 01, 2015,-4,-8,-6,-15,70,39,186,Snow
11, 01, 2015,-8,-14,-13,-19,57,19,173,
12, 01, 2015,-8,-14,-16,-20,58,8,109,
13, 01, 2015,-4,-14,-10,-20,60,24,185,Snow
14, 01, 2015,-3,-7,-8,-11,60,31,186,
15, 01, 2015,-5,-9,-8,-12,69,24,198,
16, 01, 2015,-1,-10,-4,-11,79,6,100,Rain-Snow
17, 01, 2015,0,-4,-2,-7,76,6,76,Snow
18, 01, 2015,-1,-9,-1,-14,64,23,58,Rain-Snow
19, 01, 2015,-7,-12,-10,-16,72,8,194,
20, 01, 2015,-8,-12,-9,-14,80,8,170,
21, 01, 2015,-7,-12,-10,-13,83,5,129,
22, 01, 2015,-6,-11,-9,-12,83,5,198,
23, 01, 2015,-4,-11,-11,-15,72,8,176,
24, 01, 2015,-4,-10,-6,-15,60,24,196,Snow
25, 01, 2015,2,-6,0,-6,79,26,195,Rain-Snow
26, 01, 2015,4,0,0,-6,68,29,197,Rain-Snow
27, 01, 2015,2,1,-1,-4,71,37,195,Rain-Snow
28, 01, 2015,-1,-7,-3,-9,79,10,85,
29, 01, 2015,-4,-5,-8,-16,47,29,67,
30, 01, 2015,-4,-7,-10,-14,53,19,90,Rain-Snow
31, 01, 2015,-3,-9,-8,-12,67,10,186,
01, 02, 2015,-4,-8,-9,-16,52,10,112,
02, 02, 2015,-6,-7,-13,-19,42,10,111,
03, 02, 2015,-7,-8,-12,-15,57,16,173,Rain
04, 02, 2015,-5,-9,-9,-15,63,26,200,
05, 02, 2015,3,-6,0,-12,74,37,206,Rain-Snow
06, 02, 2015,2,-2,1,-8,83,26,229,Rain-Snow
07, 02, 2015,2,-6,1,-7,81,35,238,Rain-Snow
08, 02, 2015,-5,-7,-7,-12,80,27,244,Rain-Snow
09, 02, 2015,5,-8,1,-10,81,26,236,Rain-Snow
10, 02, 2015,1,-2,-1,-8,70,35,251,Rain-Snow
11, 02, 2015,1,-3,-2,-9,72,40,244,Rain-Snow
12, 02, 2015,-3,-5,-3,-11,82,19,282,Rain-Snow
13, 02, 2015,-6,-8,-6,-11,81,24,254,Snow
14, 02, 2015,-5,-8,-7,-10,85,13,209,Snow
15, 02, 2015,2,-7,-4,-12,59,27,197,
16, 02, 2015,4,0,-3,-6,58,26,193,
17, 02, 2015,3,1,-3,-7,54,32,189,
18, 02, 2015,0,-3,-1,-7,82,26,213,Snow
19, 02, 2015,3,-2,1,-8,82,18,207,Fog-Rain-Snow
20, 02, 2015,3,1,1,-2,80,21,198,Rain-Snow
21, 02, 2015,2,1,0,-2,81,18,220,Rain-Snow
22, 02, 2015,1,-6,0,-8,87,13,23,Rain-Snow
23, 02, 2015,0,-8,-5,-10,76,6,141,Snow
24, 02, 2015,3,-3,-1,-6,71,18,199,Rain-Snow
25, 02, 2015,2,0,0,-3,86,14,314,Rain-Snow
26, 02, 2015,3,-2,-2,-6,75,11,88,Rain
27, 02, 2015,3,-2,0,-2,82,21,202,Rain-Snow
28, 02, 2015,4,1,0,-4,61,27,189,
01, 03, 2015,4,2,-1,-5,61,29,192,Snow
02, 03, 2015,5,2,-1,-4,60,27,195,
03, 03, 2015,3,1,1,-3,81,16,203,Rain-Snow
04, 03, 2015,0,-4,0,-5,95,6,204,Fog
05, 03, 2015,2,-4,-3,-8,72,19,204,
06, 03, 2015,3,-1,1,-7,75,34,207,Rain-Snow
07, 03, 2015,4,1,0,-4,64,32,196,Rain-Snow
08, 03, 2015,2,0,0,-3,83,42,213,Rain-Snow
09, 03, 2015,3,0,0,-5,79,37,237,Rain-Snow-Hail
10, 03, 2015,2,-1,-1,-5,77,26,205,Rain-Snow
11, 03, 2015,3,-2,0,-4,79,16,202,Rain-Snow
12, 03, 2015,6,1,0,-6,59,35,218,Rain-Snow
13, 03, 2015,7,1,1,-6,61,40,219,Rain-Snow
14, 03, 2015,4,3,3,-2,76,31,224,Rain-Snow-Hail
15, 03, 2015,7,3,-1,-6,50,32,214,
16, 03, 2015,7,4,-2,-6,44,48,224,
17, 03, 2015,4,3,2,-4,68,37,210,Rain
18, 03, 2015,5,2,2,-1,76,29,211,Rain
19, 03, 2015,3,-2,1,-10,80,34,255,Rain-Snow-Hail
20, 03, 2015,-4,-7,-7,-11,70,18,20,Rain-Snow
21, 03, 2015,-3,-8,-7,-11,69,11,175,Rain-Snow
22, 03, 2015,0,-4,0,-9,76,27,190,Rain-Snow
23, 03, 2015,1,-4,0,-10,84,19,63,Rain-Snow
24, 03, 2015,-1,-7,-4,-12,65,16,235,Snow
25, 03, 2015,1,-4,-1,-8,85,23,195,Rain-Snow
26, 03, 2015,3,-5,-1,-13,62,14,195,Snow
27, 03, 2015,2,-5,-2,-12,54,27,186,Snow
28, 03, 2015,3,-1,-1,-5,73,29,197,Rain-Snow
29, 03, 2015,5,-1,-2,-6,57,23,191,
30, 03, 2015,4,2,-1,-3,65,23,201,
31, 03, 2015,2,-2,0,-4,84,6,102,Rain-Snow
01, 04, 2015,2,-4,-2,-5,77,6,191,
02, 04, 2015,3,-1,0,-3,84,10,239,Rain-Snow
03, 04, 2015,2,-1,0,-4,76,8,35,Rain-Snow
04, 04, 2015,4,-1,-2,-4,69,10,118,
05, 04, 2015,4,-4,-1,-7,62,18,181,Rain-Snow
06, 04, 2015,3,2,1,-1,84,37,209,Rain-Snow
07, 04, 2015,4,1,3,0,87,23,229,Rain-Snow
08, 04, 2015,4,0,1,-2,79,29,265,Rain-Snow
09, 04, 2015,3,0,0,-3,77,14,240,Rain-Snow
10, 04, 2015,3,-1,0,-5,77,14,245,Rain-Snow
11, 04, 2015,3,-1,0,-5,78,19,219,Rain-Snow
12, 04, 2015,5,-2,1,-6,65,6,201,Rain
13, 04, 2015,3,1,1,-7,82,6,245,Rain-Snow
14, 04, 2015,4,-2,-1,-4,67,6,238,Snow
15, 04, 2015,6,1,-1,-6,53,16,191,
16, 04, 2015,6,-3,-1,-5,63,5,26,
17, 04, 2015,4,-1,2,-3,82,11,205,Rain
18, 04, 2015,6,3,3,1,86,16,207,Rain
19, 04, 2015,4,2,2,-3,71,27,290,Rain
20, 04, 2015,6,2,4,-1,86,19,231,Rain
21, 04, 2015,6,4,4,1,79,23,226,Rain
22, 04, 2015,4,1,2,-3,77,29,211,Rain-Snow
23, 04, 2015,6,1,-1,-3,69,16,11,Rain
24, 04, 2015,6,0,0,-4,66,10,9,
25, 04, 2015,3,-1,-3,-11,44,13,113,
26, 04, 2015,5,-3,-6,-8,46,10,208,
27, 04, 2015,5,-3,-3,-6,56,11,47,
28, 04, 2015,2,-3,-3,-7,64,21,24,Rain-Snow
29, 04, 2015,3,-5,-6,-11,48,11,191,
30, 04, 2015,4,-5,-6,-11,48,8,53,
01, 05, 2015,6,-1,-2,-7,55,19,39,
02, 05, 2015,6,0,0,-5,66,10,53,Rain-Snow
03, 05, 2015,4,1,-1,-6,60,13,39,Rain
04, 05, 2015,4,-1,-2,-6,60,11,279,Snow
05, 05, 2015,7,-1,1,-8,59,13,193,Rain
06, 05, 2015,10,1,4,-2,65,11,20,Rain
07, 05, 2015,10,4,6,1,80,10,179,Rain
08, 05, 2015,13,2,4,1,65,5,297,
09, 05, 2015,7,5,5,3,84,8,265,Rain
10, 05, 2015,9,4,3,-2,63,23,215,Rain
11, 05, 2015,7,2,2,-4,60,21,267,Rain
12, 05, 2015,9,4,4,-2,61,10,20,Rain
13, 05, 2015,11,5,5,3,76,11,219,Rain
14, 05, 2015,5,3,2,-1,77,23,358,Rain
15, 05, 2015,3,1,0,-5,67,24,9,Rain-Snow
16, 05, 2015,6,1,-4,-7,46,11,42,
17, 05, 2015,8,0,-1,-6,49,11,209,
18, 05, 2015,11,4,1,-2,50,13,202,
19, 05, 2015,9,2,2,-3,66,8,220,Rain
20, 05, 2015,9,3,3,0,69,14,290,Rain
21, 05, 2015,7,4,4,2,77,10,236,Rain
22, 05, 2015,12,4,4,-4,60,14,208,Rain
23, 05, 2015,7,3,3,1,80,11,22,Rain
24, 05, 2015,5,2,1,-2,73,18,306,Rain
25, 05, 2015,6,2,2,-1,73,10,25,Rain
26, 05, 2015,11,2,2,-2,57,14,26,Rain
27, 05, 2015,15,5,4,0,53,13,34,Rain
28, 05, 2015,12,6,7,4,74,14,31,Rain
29, 05, 2015,9,6,5,3,74,13,27,Rain
30, 05, 2015,13,6,6,3,68,14,270,Rain
31, 05, 2015,14,5,6,3,62,16,35,
01, 06, 2015,15,8,5,-1,47,16,199,Rain
02, 06, 2015,9,7,6,4,77,21,199,Rain
03, 06, 2015,11,4,5,2,69,16,28,Rain
04, 06, 2015,6,3,3,1,79,13,224,Rain
05, 06, 2015,7,4,4,1,79,21,228,Rain
06, 06, 2015,8,3,3,1,76,19,243,Rain
07, 06, 2015,9,4,3,1,66,16,350,Rain
08, 06, 2015,8,4,4,0,73,11,252,Rain
09, 06, 2015,8,6,5,2,77,32,199,Rain
10, 06, 2015,7,5,6,3,82,23,208,Rain
11, 06, 2015,7,3,3,-1,76,18,251,Rain
12, 06, 2015,6,3,3,0,77,19,237,Rain
13, 06, 2015,7,3,3,1,78,35,221,Rain
14, 06, 2015,9,4,3,1,69,31,209,Rain
15, 06, 2015,12,5,4,1,61,10,325,Rain
16, 06, 2015,8,7,4,2,71,14,337,Rain
17, 06, 2015,9,5,4,2,77,8,38,Rain
18, 06, 2015,13,5,4,1,65,11,11,
19, 06, 2015,9,6,4,1,65,10,27,Rain
20, 06, 2015,11,4,4,1,60,8,270,
21, 06, 2015,12,6,6,2,66,10,32,
22, 06, 2015,13,7,6,3,69,10,342,
23, 06, 2015,11,7,9,5,85,21,25,Rain
24, 06, 2015,14,9,11,8,85,11,15,Fog-Rain
25, 06, 2015,11,8,8,5,89,19,26,Fog
26, 06, 2015,8,6,6,1,72,11,11,
27, 06, 2015,9,6,5,1,65,6,231,
28, 06, 2015,9,6,7,4,78,14,248,Rain
29, 06, 2015,9,4,5,2,73,14,275,Rain
30, 06, 2015,10,5,4,3,69,11,36,
01, 07, 2015,12,6,4,-2,56,13,25,
02, 07, 2015,13,7,8,2,68,10,20,Rain
03, 07, 2015,12,7,8,3,79,18,25,Rain
04, 07, 2015,11,6,5,2,66,16,2,
05, 07, 2015,10,6,5,3,71,8,12,
06, 07, 2015,13,7,6,3,68,18,40,Rain
07, 07, 2015,8,6,6,2,74,26,50,Rain
08, 07, 2015,13,6,7,3,74,13,21,Rain
09, 07, 2015,20,9,10,6,59,11,30,
10, 07, 2015,14,8,8,6,75,26,24,
11, 07, 2015,10,8,6,4,74,11,26,
12, 07, 2015,12,7,8,5,76,21,22,
13, 07, 2015,14,7,8,5,71,24,23,
14, 07, 2015,13,7,7,5,74,27,21,
15, 07, 2015,13,7,7,5,73,11,336,
16, 07, 2015,10,7,6,4,72,13,276,Rain
17, 07, 2015,13,7,7,5,70,14,201,Rain
18, 07, 2015,18,8,8,6,62,11,24,
19, 07, 2015,19,12,11,7,62,8,285,Rain
20, 07, 2015,14,10,11,8,85,13,302,Rain
21, 07, 2015,13,8,9,7,81,13,28,
22, 07, 2015,15,8,9,6,73,19,24,
23, 07, 2015,14,8,8,6,74,19,27,
24, 07, 2015,11,7,8,5,82,16,26,Rain
25, 07, 2015,13,7,8,6,78,19,23,
26, 07, 2015,17,8,9,7,68,16,20,
27, 07, 2015,17,12,10,7,65,14,168,Rain
28, 07, 2015,20,13,12,8,63,11,249,
29, 07, 2015,18,11,12,8,77,13,26,Rain
30, 07, 2015,22,12,14,11,76,11,86,Rain
31, 07, 2015,17,12,13,9,80,11,236,Rain
01, 08, 2015,11,10,10,9,88,6,141,Rain
02, 08, 2015,11,9,10,9,92,6,264,Rain
03, 08, 2015,10,9,9,8,92,11,257,Rain
04, 08, 2015,12,9,9,7,82,10,301,Rain
05, 08, 2015,20,6,13,6,71,10,276,Rain
06, 08, 2015,16,12,12,10,77,11,232,
07, 08, 2015,17,11,11,9,75,10,13,Rain
08, 08, 2015,14,10,11,8,78,8,263,Rain
09, 08, 2015,15,10,10,8,79,8,191,Rain
10, 08, 2015,16,8,12,7,75,3,275,Rain
11, 08, 2015,21,11,12,9,70,8,196,Rain
12, 08, 2015,14,9,12,6,78,21,222,Rain-Snow
13, 08, 2015,11,8,8,5,78,26,243,Rain-Snow
14, 08, 2015,11,8,9,7,86,16,235,Rain-Snow
15, 08, 2015,18,6,8,6,66,6,225,
16, 08, 2015,21,8,9,6,60,11,236,
17, 08, 2015,20,8,11,7,69,5,225,
18, 08, 2015,17,10,13,8,82,8,3,Fog
19, 08, 2015,18,8,12,8,85,5,8,Fog
20, 08, 2015,19,8,12,8,73,3,247,
21, 08, 2015,19,8,12,6,66,5,312,
22, 08, 2015,21,9,10,7,65,8,323,
23, 08, 2015,16,11,13,9,83,6,254,Rain
24, 08, 2015,16,10,13,9,87,10,5,Rain
25, 08, 2015,14,9,9,7,80,23,20,
26, 08, 2015,14,9,10,7,77,19,29,
27, 08, 2015,20,7,11,6,73,8,179,
28, 08, 2015,21,11,11,8,64,11,181,
29, 08, 2015,16,12,9,6,62,18,195,Rain
30, 08, 2015,15,11,9,6,63,31,198,Rain
31, 08, 2015,11,8,9,7,87,27,262,Rain
01, 09, 2015,8,7,7,4,84,11,276,Rain
02, 09, 2015,9,6,6,4,82,6,148,Rain
03, 09, 2015,9,7,7,4,82,14,225,Rain
04, 09, 2015,9,7,7,4,88,10,327,Rain
05, 09, 2015,9,6,8,5,89,8,37,Rain
06, 09, 2015,9,4,7,3,83,6,71,Rain
07, 09, 2015,9,3,7,3,82,13,223,Rain
08, 09, 2015,10,6,8,4,81,19,195,Rain-Snow
09, 09, 2015,11,9,9,7,83,26,247,Rain
10, 09, 2015,13,8,8,6,77,18,235,
11, 09, 2015,13,5,9,5,86,5,234,Fog
12, 09, 2015,14,5,10,5,90,6,229,Fog
13, 09, 2015,10,7,9,7,93,5,352,Fog
14, 09, 2015,16,7,9,6,79,5,292,
15, 09, 2015,14,6,9,5,79,5,34,
16, 09, 2015,14,4,8,4,79,6,38,Rain
17, 09, 2015,16,7,9,6,77,6,20,
18, 09, 2015,15,7,9,6,72,10,61,Rain
19, 09, 2015,12,9,10,8,90,8,205,Rain
20, 09, 2015,11,9,10,8,91,8,38,Rain
21, 09, 2015,13,7,9,6,86,13,37,
22, 09, 2015,14,6,8,4,77,5,51,
23, 09, 2015,11,8,9,6,86,5,193,Rain
24, 09, 2015,13,7,8,6,78,10,186,Rain
25, 09, 2015,12,3,7,3,80,6,55,
26, 09, 2015,11,8,10,6,87,8,8,Rain
27, 09, 2015,10,8,7,6,83,14,18,Rain
28, 09, 2015,11,7,7,4,77,14,195,Rain
29, 09, 2015,14,8,9,2,66,39,207,Rain-Snow
30, 09, 2015,8,5,4,0,74,37,231,Rain-Thunderstorm
01, 10, 2015,5,4,4,2,88,13,199,Rain
02, 10, 2015,7,3,4,1,82,11,37,Rain
03, 10, 2015,5,2,2,-3,77,18,233,Rain-Snow
04, 10, 2015,4,-1,1,-2,80,11,39,Rain-Snow
05, 10, 2015,6,-1,-1,-3,66,8,77,Rain-Snow
06, 10, 2015,5,-3,-1,-6,75,3,122,
07, 10, 2015,6,-3,-1,-6,68,3,99,
08, 10, 2015,8,-2,-1,-3,68,8,148,
09, 10, 2015,6,0,-1,-3,60,19,185,
10, 10, 2015,7,-2,2,-3,74,13,215,
11, 10, 2015,8,5,5,1,74,19,193,Rain
12, 10, 2015,9,4,8,3,92,10,202,Rain-Snow
13, 10, 2015,8,7,7,4,84,16,217,Rain-Snow
14, 10, 2015,9,6,7,2,82,24,196,Rain-Snow
15, 10, 2015,11,5,6,2,75,32,200,Rain
16, 10, 2015,7,4,4,-3,77,31,234,Rain-Snow
17, 10, 2015,8,4,7,3,89,24,222,Rain-Snow
18, 10, 2015,8,8,7,5,89,18,248,Rain-Snow
19, 10, 2015,8,7,6,5,83,24,199,Rain-Snow
20, 10, 2015,8,7,5,2,73,21,197,Rain-Snow
21, 10, 2015,7,5,3,1,69,31,207,Rain-Snow
22, 10, 2015,6,-1,2,-1,82,5,187,
23, 10, 2015,4,-2,2,-2,88,6,168,
24, 10, 2015,11,2,6,-3,59,27,195,Rain
25, 10, 2015,6,4,6,2,84,14,206,Rain
26, 10, 2015,2,-1,2,-8,81,16,234,Rain-Snow
27, 10, 2015,2,-1,1,-7,81,29,230,Rain-Snow
28, 10, 2015,4,1,2,-2,80,19,239,Rain
29, 10, 2015,3,-2,1,-5,75,8,46,Rain
30, 10, 2015,1,-3,-2,-5,79,6,194,
31, 10, 2015,6,-3,4,-4,80,11,201,Rain
01, 11, 2015,8,4,5,2,75,35,225,Rain
02, 11, 2015,6,3,4,2,84,21,218,Rain
03, 11, 2015,7,3,5,2,84,18,215,Rain
04, 11, 2015,3,1,4,-3,83,10,254,Rain
05, 11, 2015,3,1,2,-2,83,16,244,Rain
06, 11, 2015,0,-1,-1,-3,88,5,124,Rain
07, 11, 2015,5,-2,1,-3,81,8,156,Rain
08, 11, 2015,6,3,3,0,80,24,196,Rain
09, 11, 2015,7,1,1,-2,64,21,187,
10, 11, 2015,7,2,1,-2,63,31,197,
11, 11, 2015,5,1,0,-3,65,16,189,Fog
